-----
{
 "description": "The table refers to state wise culturable command area and potential created through surface flow scheme. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Nattab4.11.csv", 
 "title": "Download CSV for Statewise Culturable command area and potential created through Surface Flow Scheme for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Nattab4.11.csv"
}
-----
State,Culturable Command Area,Irrigation Potential Created - Kharif,Irrigation Potential Created - Rabi,Irrigation Potential Created - Perennial,Irrigation Potential Created - Others,Total - Irrigation Potential Created
ANDHRA PRADESH,1426499,1220903,431646,15613,711,1668873
ARUNACHAL PRADESH,44796,42771,5457,249,1644,50121
ASSAM,127312,121561,27968,226,1563,151318
BIHAR,654044,529830,201604,8425,10759,750618
GOA,9500,353,7765,1560,165,9843
GUJARAT,NA,NA,NA,NA,NA,NA
HARYANA,1891,1702,1813,0,0,3515
HIMACHAL PRADESH,84915,77712,75697,1709,82,155200
JAMMU & KASHMIR,266423,238012,72570,2200,0,312782
KARNATAKA,203617.31,157258.13,58277.28,24214.48,10047.06,249796.95
KERALA,137041,84557,98882,28527,22004,233970
MADHYA PRADESH,563298,400437,262466,7188,1694,671785
MAHARASHTRA,NA,NA,NA,NA,NA,NA
MANIPUR,21021,20115,5673,0,1064,26852
MEGHALAYA,60688,52188,15536,3726,1269,72719
MIZORAM,6482,5453,922,267,0,6642
NAGALAND,62845,64074,290,113,17,64494
ORISSA,569165,582563,103275,2852,9648,698338
PUNJAB,5558,3687,6417,37,110,10251
RAJASTHAN,130800,22118,119636,101,256,142111
SIKKIM,17201,11542,5830,1796,851,20019
TAMIL NADU,747818.82,410103.41,445894.84,42003.62,71874.14,969876.01
TRIPURA,7585,2752,5261,115,336,8464
UTTAR PRADESH,181718,128170,113344,9641,3370,254525
WEST BENGAL,381412,293085,125887,9324,30744,459040
ANDAMAN & NICOBARS,NA,NA,NA,NA,NA,NA
CHANDIGARH,NA,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,106,73,33,6,3,115
DAMAN & DIU,NA,NA,NA,NA,NA,NA
DELHI,3435,3070,3468,2,6,6546
LAKSHADWEEP,NA,NA,NA,NA,NA,NA
PONDICHERRY,13076,4343,9040,87,18,13488
