-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "PunjabNSDPconst.csv", 
 "title": "Download CSV for Punjab Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/PunjabNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","1296166","1320684","1315927","1410550","1335392","1374348","1478024","1516910","1531600","1478069","1563590","1633998"
"Foresty and Logging","3916","3776","4046","3846","4553","4328","5309","5792","5111","4930","5476","5543"
"Fishing","5112","6592","7121","8732","10079","12603","13173","14522","16251","18790","22994","26826"
"Mining and Quarrying","312","-30","-25","-26","133","122","101","68","242","699","719","797"
"Sub total of primary","1305506","1331022","1327069","1423102","1350157","1391401","1496607","1537292","1553204","1502488","1592779","1667164"
"Manufacturing","389805","408521","431257","449926","470252","505433","522815","559402","532376","558588","560632","569810"
"Registered","270826","278628","281060","288796","303331","332140","341176","369682","338575","362924","363399","370013"
"Unregistered","118979","129893","150197","161130","166921","173293","181639","189720","193801","195664","197233","199797"
"Construction","121370","122207","146966","134129","184560","227928","179704","197378","219793","241801","279312","322633"
"Electricity, Gas and water Supply","25335","25798","25554","28691","30000","36119","36987","26799","25969","27488","31356","33115"
"Sub total of secondary","536510","556526","603777","612746","684812","769480","739506","783579","778138","827877","871300","925558"
"Transport Storage and Communication","66193","70370","83327","97213","109075","131287","166767","153716","195571","236458","285480","329044"
"Railways","0","0","0","0","0","0","0","0","0","0","0","0"
"Transport by other means","66193","70370","83327","97213","109075","131287","166767","153716","195571","236458","285480","329044"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","0","0","0","0","0","0","0","0","0","0","0","0"
"Trade, hotels and restaurants","354717","359293","379721","408307","432163","448479","479640","512861","520509","530160","547781","559941"
"Banking and Insurance","94480","103467","121856","169760","191562","178507","203148","222564","225077","253383","272260","304006"
"Real estate, ownership of dwelling and business","115462","117657","119857","121917","123752","124928","125614","125783","125937","127117","130090","132223"
"Pubic Administration","104647","103236","105105","116152","134658","158238","165406","167844","169716","183750","209578","225946"
"Other Services","129241","132994","136350","139753","146442","152890","155992","159951","160654","161174","163746","168332"
"Sub total of tertiary","864740","887017","946216","1053102","1137652","1194329","1296567","1342719","1397464","1492042","1608935","1719492"
"State domestic product","2706756","2774565","2877062","3088950","3172621","3355210","3532680","3663590","3728806","3822407","4073014","4312214"

"Figures are in Rs. Lakh"
