-----
{
 "description": "The table refers to state wise distribution of surface flow schemes according to ownership. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Nattab4.2.csv", 
 "title": "Download CSV for Statewise Distribution of surface flow schemes according to ownership for 2nd census of minor irrigation scheme (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Nattab4.2.csv"
}
-----
State,Government owned,Cooperative Societies,Panchayat owned,Group of farmers,Individual farmers,Others,Total
ANDHRA PRADESH,53184,659,15238,987,7062,2823,79953
ARUNACHAL PRADESH,1539,17,31,778,1179,44,3588
ASSAM,848,50,103,613,732,1,2347
BIHAR,33133,134,1013,8540,24220,208,67248
GOA,44,33,0,920,2082,97,3176
GUJARAT,NA,NA,NA,NA,NA,NA,NA
HARYANA,2,1,2,332,173,0,510
HIMACHAL PRADESH,5082,23,389,7898,749,204,14345
JAMMU & KASHMIR,3069,808,70,3635,1163,399,9144
KARNATAKA,6160,21,13,798,31669,425,39086
KERALA,4138,118,1257,1227,3553,88,10381
MADHYA PRADESH,15962,194,2162,2479,33911,1416,56124
MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,240,0,0,0,0,0,240
MEGHALAYA,640,5,1,1412,12192,14,14264
MIZORAM,1,0,0,0,4774,0,4775
NAGALAND,1,0,0,474,13583,1,14059
ORISSA,12139,61,4027,2183,5569,124,24103
PUNJAB,8,2,4,1,377,2,394
RAJASTHAN,1857,16,196,783,233,17,3102
SIKKIM,615,0,1,235,0,3,854
TAMIL NADU,15710,341,4900,4762,51582,7428,84723
TRIPURA,270,3,22,52,246,7,600
UTTAR PRADESH,4445,72,7209,5229,6791,138,23884
WEST BENGAL,5509,467,3243,37296,19209,730,66454
ANDAMAN & NICOBARS,NA,NA,NA,NA,NA,NA,NA
CHANDIGARH,NA,NA,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,9,1,0,0,1,0,11
DAMAN & DIU,NA,NA,NA,NA,NA,NA,NA
DELHI,63,0,0,0,1292,28,1383
LAKSHADWEEP,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,68,3,21,262,16376,915,17645
ALL INDIA,164736,3029,39902,80896,238718,15112,542393
