-----
{
 "description": "This dataset consists of state-wise, variety-wise  prices of Wheat for the year 2012. It has the wholesale maximum price, minimum price and modal price on daily basis. This dataset is generated through the AGMARKNET Portal (http://agmarknet.nic.in) which disseminates daily market information of ...", 
 "file_name": "agmarkwheat2012.csv", 
 "title": "Download CSV for Variety-wise Daily Market Prices Data for Wheat for 2012(External Link that opens in a new window)", 
 "url": "http://agmarknet.nic.in/agmarkdata/agmarkwheat2012.csv"
}
-----
-----
{
 "description": "The Prevention of Money-laundering Act, 2002, and rule thereunder require every banking company, financial institution and intermediary, to furnish to FIU-IND information relating to -\rAll cash transactions of the value of more than rupees ten lakhs or its equivalent in foreign currency; \rAll ...", 
 "file_name": "CashTransactionReportsReceived.xls", 
 "title": "Download XLS for Cash Transaction Reports recieved in 2010-11 under Prevention of Money Laundering Act", 
 "url": "http://data.gov.in/sites/default/files/CashTransactionReportsReceived.xls"
}
-----
"Type of Reporting Entity ","CTRs Received 2007-08","CTRs Received 2008-09","CTRs Received 2009-10","CTRs Received 2010-11","CTR Receipt till 31st March 2011"
"Public Sector Banks",2062742.0,3108675.0,4413849.0,5463252.0,15970115.0
"Private Indian Banks",1654749.0,1980045.0,1784665.0,2442286.0,8994883.0
"Private Foreign Banks",84407.0,88239.0,84428.0,105288.0,422866.0
"Cooperative Banks & Others",158015.0,334191.0,411462.0,676281.0,1605478.0
"Total",3959913.0,5511150.0,6694404.0,8687107.0,26993342.0
