-----
{
 "description": "The table refers to Statewise Culturable Command Area and Potential Created through Surface Lift Schemes. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftNat5.12.csv", 
 "title": "Download CSV for Statewise Culturable Command Area and Potential Created through Surface Lift Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcliftNat5.12.csv"
}
-----
"State","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total - Irrigation potential created"
"ANDHRA PRADESH",146165,131210,53293,2827,1209,188539
"ARUNACHAL PRADESH",1581,929,279,7,374,1589
"ASSAM",62949,45888,17603,664,3091,67246
"BIHAR",51628,28067,33173,3217,2228,66685
"CHHATTISGARH",66151,48836,36133,286,194,85449
"GOA",3951,23,427,3272,302,4024
"GUJARAT",32503,19181,15990,2944,559,38674
"HARYANA",2334,1697,2213,4,0,3914
"HIMACHAL PRADESH",13458,11430,11573,377,118,23498
"JAMMU & KASHMIR",25053,25588,7230,269,357,33444
"JHARKHAND",28481,25605,20994,1422,613,48634
"KARNATAKA",298986,214826,32040,64406,32978,344250
"KERALA",72341,35031,34659,25941,37421,133052
"MADHYA PRADESH",729399,105228,646604,2846,11161,765839
"MAHARASHTRA",318438,128971,123146,118150,16738,387005
"MANIPUR",4361,2460,2970,20,850,6300
"MEGHALAYA",922,756,230,0,0,986
"MIZORAM",280,223,22,0,71,316
"NAGALAND",359,278,99,0,0,377
"ORISSA",220749,174860,122993,4730,715,303298
"PUNJAB",5323,5318,5318,3,21,10660
"RAJASTHAN",21605,4320,20815,20,379,25534
"TAMIL NADU",21174,16441,8325,4661,1990,31417
"TRIPURA",29920,18273,20293,620,3498,42684
"UTTAR PRADESH",29898,10309,22596,5137,400,38442
"UTTARANCHAL",9742,7511,7042,966,940,16459
"WEST BENGAL",385431,242125,160170,31601,166265,600161
"ANDAMAN & NICOBARS",3823,3696,864,174,59,4793
"DADRA & NAGAR HAVELI",868,868,481,0,0,1349
"DELHI",443,232,223,0,0,455
"PONDI CHERRY",7,1,7,0,0,8
"ALL INDIA",2588323,1310181,1407805,274564,282531,3275081
