-----
{
 "description": "The table refers to Statewise Distribution of Surface Flow Schemes(Other Storage) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowNat4.15.csv", 
 "title": "Download CSV for Statewise Distribution of Surface Flow Schemes(Other Storage) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcflowNat4.15.csv"
}
-----
"State","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"ANDHRA PRADESH",5831,1322,7153,102923,11210,114133,66445,8312,74757
"ARUNACHAL PRADESH",99,56,155,4499,878,5377,2944,500,3444
"ASSAM",117,147,264,8509,8097,16606,6602,6050,12652
"BIHAR",8184,1289,9473,154444,16804,171248,125188,14268,139456
"CHHATTISGARH",440,1453,1893,24777,6305,31082,13789,5699,19488
"GOA",44,2107,2151,351,2775,3126,323,2641,2964
"GUJARAT",269,62,331,18942,625,19567,1650,126,1776
"HARYANA",3,46,49,48,245,293,44,143,187
"HIMACHAL PRADESH",153,177,330,1188,1168,2356,928,983,1911
"JAMMU & KASHMIR",183,366,549,13795,33603,47398,12856,28753,41609
"JHARKHAND",11705,14866,26571,56979,40087,97066,45152,30974,76126
"KARNATAKA",2159,315,2474,27993,1159,29152,17447,568,18015
"KERALA",1408,1581,2989,40509,8762,49271,37131,8064,45195
"MADHYA PRADESH",327,1703,2030,3544,10845,14389,1415,2698,4113
"MAHARASHTRA",363,4290,4653,20923,16091,37014,14836,13569,28405
"MANI PUR",2,0,2,210,0,210,126,0,126
"M EGHALAYA",22,131,153,457,1039,1496,268,941,1209
"MIZORAM",0,349,349,0,710,710,0,633,633
"NAGALAND",0,84,84,0,1069,1069,0,309,309
"ORISSA",4717,912,5629,197593,9500,207093,112783,5382,118165
"PUNJAB",0,47,47,0,305,305,0,284,284
"RAJASTHAN",122,215,337,24844,1532,26376,12108,378,12486
"SIKKIM",338,5,343,7625,49,7674,5715,38,5753
"TAMIL NADU",10282,2433,12715,257615,33883,291498,179766,23055,202821
"TRIPURA",33,40,73,1210,1160,2370,1048,852,1900
"UTTAR PRADESH",16,1633,1649,1887,11057,12944,1682,10040,11722
"UTTARANCHAL",673,152,825,12302,1848,14150,10522,790,11312
"WEST BENGAL",1703,21325,23028,19168,103871,123039,12669,64039,76708
"DADRA & NAGAR HAVELI",1,7,8,2,92,94,0,10,10
"PONDICHERRY",179,13562,13741,83,7224,7307,82,7213,7295
"ALL INDIA",49373,70675,120048,1002420,331993,1334413,683519,237312,920831
