-----
{
 "description": "The table refers to statewise distribution of shallow tubewells according to source of finance . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Stateshtbwl2.7.csv", 
 "title": "Download CSV for Statewise Distribution of Shallow Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Stateshtbwl2.7.csv"
}
-----
State,Government fund,Farmer's saving,Loan & Saving,Subsidy & Bank loan,Subsidy only,Others,Total
ANDHRA PRADESH,210164,75204,14240,8589,7482,694,316373
ARUNACHAL PRADESH,0,0,0,0,0,0,0
ASSAM,99,2150,422,5443,16492,23,24629
BIHAR,88880,236257,31346,59383,94174,75630,585670
GOA,9,4,3,4,8,0,28
GUJARAT,NA,NA,NA,NA,NA,NA,NA
HARYANA,81337,334447,69708,2599,2066,3272,493429
HIMACHAL PRADESH,236,983,95,8,23,3,1348
JAMMU & KASHMIR,106,645,45,219,246,52,1313
KARNATAKA,8059,43487,22058,3658,844,1395,79501
KERALA,186,1366,267,399,75,26,2319
MADHYA PRADESH,15484,93108,7277,2902,1305,622,120698
MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,0,0,0,0,0,0,0
MEGHALAYA,1,108,0,0,0,0,109
MIZORAM,0,0,0,0,0,0,0
NAGALAND,0,0,0,0,6,0,6
ORISSA,1349,5658,3933,4033,1533,6,16512
PUNJAB,194418,730238,15774,1090,815,1336,943671
RAJASTHAN,17525,39912,4184,1034,159,146,62960
SIKKIM,0,0,0,0,0,0,0
TAMIL NADU,48616,23426,2896,163,673,470,76244
TRIPURA,53,26,2,27,20,0,128
UTTAR PRADESH,95004,988372,293120,580439,16968,7712,1981615
WEST BENGAL,29876,389656,36386,24298,10183,6093,496492
ANDAMAN & NICOBARS,0,0,0,0,0,0,0
CHANDIGARH,0,0,0,0,0,0,0
DADRA & NAGAR HAVELI,0,0,0,0,0,0,0
DAMAN & DIU,NA,NA,NA,NA,NA,NA,NA
DELHI,32,8965,20,1,1,1,9020
LAKSHADWEEP,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,102,3364,270,102,1,7,3846
All India,791536,2977376,502046,694391,153074,97488,5215911
