-----
{
 "description": "The table refers to Block wise Distribution of Dugwells according to Average Pumping Hours. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.11.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells according to Average Pumping Hours", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.11.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Avg pumping hours (0-4),Avg pumping hours (4 - 8),Avg pumping hours (8-12),Avg pumping hours (12 -16),Avg pumping hours (16 - 20),Avg pumping hours (20 - 24),Total
TAMIL NADU,SIVAGANGA,S. PUDUR,2401,38,0,0,0,1,2440
TAMIL NADU,SIVAGANGA,SAKKOTTAI,245,8,1,0,0,0,254
TAMIL NADU,SIVAGANGA,SINGAMPUNERI,963,497,63,0,3,0,1526
TAMIL NADU,SIVAGANGA,SIVAGANGA,3555,484,28,0,0,0,4067
TAMIL NADU,SIVAGANGA,THIRUPPATTUR,2005,86,6,1,0,7,2105
TAMIL NADU,SIVAGANGA,THIRUPPAVANAM,946,673,647,123,17,13,2419
TAMIL NADU,THANJAVUR,AMMAPETTAI,0,0,2,0,0,0,2
TAMIL NADU,THANJAVUR,BUDHALUR,295,233,40,4,1,0,573
TAMIL NADU,THANJAVUR,KUMBAKONAM,0,6,4,0,0,0,10
TAMIL NADU,THANJAVUR,MADHUKUR,19,4,3,0,0,0,26
TAMIL NADU,THANJAVUR,ORATHANADU,637,284,91,7,7,1,1027
TAMIL NADU,THANJAVUR,PATTUKOTTAI,4,65,3,0,0,0,72
TAMIL NADU,THANJAVUR,PERAVURANI,255,70,53,0,1,0,379
TAMIL NADU,THANJAVUR,SEDHUBAVACHATTIRAM,241,137,20,0,0,0,398
TAMIL NADU,THANJAVUR,THANJAVUR,311,356,199,19,7,1,893
TAMIL NADU,THANJAVUR,THIRUPANANDAL,1,3,9,53,8,0,74
TAMIL NADU,THANJAVUR,THIRUVAIYARU,0,18,0,0,0,0,18
TAMIL NADU,THANJAVUR,THIRUVONAM,933,385,48,0,0,0,1366
TAMIL NADU,THENI,ANDIPATTI,3499,1474,100,1,0,2,5076
TAMIL NADU,THENI,BODI,2725,4,2,0,0,0,2731
TAMIL NADU,THENI,CHINNAMANNUR,2630,455,5,0,2,5,3097
TAMIL NADU,THENI,CUMBUM,914,1019,24,1,0,0,1958
TAMIL NADU,THENI,MYILADUMPARAI,1450,690,44,2,0,0,2186
TAMIL NADU,THENI,PERIYAKULAM,4239,991,332,1,0,1,5564
TAMIL NADU,THENI,THENI,2625,0,0,0,0,0,2625
TAMIL NADU,THENI,UTHAMAPALAYAM,1142,1658,22,0,1,0,2823
TAMIL NADU,THIRUVALLUR,ELLAPURAM,198,221,91,31,0,0,541
TAMIL NADU,THIRUVALLUR,GUMMIDIPOONDI,1556,475,55,2,0,0,2088
TAMIL NADU,THIRUVALLUR,KADAMBATHUR,561,189,184,32,6,4,976
TAMIL NADU,THIRUVALLUR,MINJUR,12,4,0,0,0,0,16
TAMIL NADU,THIRUVALLUR,PALLIPATTU,717,1354,465,82,7,0,2625
TAMIL NADU,THIRUVALLUR,POONAMALLEE,233,631,82,13,0,0,959
TAMIL NADU,THIRUVALLUR,POONDI,485,500,282,118,0,1,1386
TAMIL NADU,THIRUVALLUR,PUZAL,54,4,0,0,0,0,58
TAMIL NADU,THIRUVALLUR,R.K.PEET,2421,1763,286,8,18,8,4504
TAMIL NADU,THIRUVALLUR,SHOLAVARAM,42,25,14,0,0,0,81
TAMIL NADU,THIRUVALLUR,THIRUVALANGADU,1682,998,682,130,51,23,3566
TAMIL NADU,THIRUVALLUR,THIRUVALLUR,49,427,257,45,0,0,778
TAMIL NADU,THIRUVALLUR,TIRUTTANI,2731,690,212,11,10,4,3658
TAMIL NADU,THIRUVALLUR,VILLIVAKKAM,161,112,50,34,23,21,401
TAMIL NADU,THIRUVARUR,KOTTUR,20,9,1,0,0,11,41
