-----
{
 "description": "The table presents estimated number of unincorporated non-agricultural trading enterprises in different States and UTs. The percentage share indicated in column 11 has been calculated and sorted based on descending order for all trading enterprises in the combined sector.", 
 "file_name": "estdnoTrad.csv", 
 "title": "Download CSV for Estimated number of trading enterprises in different States/UTs", 
 "url": "http://data.gov.in/sites/default/files/estdnoTrad.csv"
}
-----
"State/UT","Rural Own Account Enterprises","Rural Establishment","All Rural","Urban Own Account Enterprises","Urban Establishment","All Urban","Rural Own Account Enterprises + Urban Own Account Enterprises","Rural Establishment + Urban Establishment","All Rural + All Urban","% Share"
"Uttar Pradesh",1850969,39883,1890852,1309696,215230,1524926,3160665,255113,3415778,16.46
"West Bengal",1166225,73313,1239538,775378,248056,1023434,1941603,321368,2262971,10.91
"Maharashtra",591499,37789,629289,976995,262503,1239499,1568495,300293,1868788,9.01
"Andhra Pradesh",793618,54096,847715,574387,179293,753680,1368005,233390,1601395,7.72
"Tamil Nadu",380245,47783,428028,605349,237955,843304,985594,285738,1271332,6.13
"Gujarat",339343,25205,364548,672032,139750,811783,1011375,164956,1176331,5.67
"Odisha",844355,20629,864985,169613,39105,208718,1013968,59734,1073703,5.17
"Madhya Pradesh",449746,23412,473158,434412,82931,517343,884158,106344,990501,4.77
"Karnataka",401432,17512,418944,394067,165648,559714,795499,183160,978659,4.72
"Bihar",708783,15056,723839,195150,36036,231185,903933,51092,955025,4.6
"Rajasthan",380945,21931,402876,300785,75553,376338,681730,97484,779214,3.76
"Kerala",279665,77387,357051,131925,88948,220873,411589,166335,577924,2.79
"Punjab",164841,20497,185337,283967,89347,373314,448807,109844,558651,2.69
"Assam",391213,40574,431787,77602,48930,126532,468815,89504,558318,2.69
"Delhi",10875,1967,12842,304408,204144,508552,315283,206111,521394,2.51
"Jharkhand",313023,13956,326979,113809,24372,138180,426832,38328,465159,2.24
"Haryana",174423,22279,196703,200154,63311,263465,374578,85590,460168,2.22
"Chhattisgarh",172512,8461,180973,72514,46691,119205,245027,55152,300178,1.45
"Jammu & Kashmir",105733,11503,117236,83391,20569,103960,189123,32072,221196,1.07
"Tripura",168062,15141,183203,18662,1676,20339,186725,16817,203542,0.98
"Uttaranchal",93067,8717,101784,59206,17748,76953,152273,26465,178737,0.86
"Himachal Pradesh",69168,5814,74982,23852,7654,31506,93020,13468,106487,0.51
"Manipur",29789,629,30417,24693,807,25499,54481,1435,55916,0.27
"Meghalaya",28985,2351,31336,5812,2583,8395,34797,4934,39731,0.19
"Chandigarh",1774,381,2156,20174,1932,22107,21949,2314,24262,0.12
"Goa",9275,1448,10723,6152,4839,10992,15427,6288,21715,0.1
"Arunachal Pradesh",8585,766,9351,5620,1916,7536,14205,2682,16887,0.08
"Puducherry",2624,205,2829,10216,3098,13314,12840,3303,16143,0.08
"Sikkim",6948,127,7076,6441,885,7326,13389,1013,14402,0.07
"Nagaland",6796,493,7289,4210,938,5148,11006,1431,12437,0.06
"Mizoram",3498,85,3582,5840,1159,6999,9338,1243,10581,0.05
"A & N. Islands",2889,304,3192,1872,1036,2908,4761,1340,6100,0.03
"Daman & Diu",1250,651,1901,1340,294,1634,2590,946,3535,0.02
"Dadra & N. Haveli",1492,356,1848,469,748,1217,1961,1104,3065,0.01
"Lakshadweep",237,29,267,166,44,210,404,73,477,0
"All India",9953886,610732,10564618,7870356,2315730,10186086,17824242,2926462,20750704,100
