-----
{
 "description": "The table refers to Block wise Distribution of Dugwells according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.7.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.7.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Government Funds,Farmer's saving,Loan & Saving,Subsidy & Bank loan,Others,Total
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,1,0,7,0,0,8
ANDHRA PRADESH,ADILABAD,ADILABAD,132,28,39,266,4,469
ANDHRA PRADESH,ADILABAD,ASIFABAD,1,1,50,18,0,70
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,77,14,130,142,40,403
ANDHRA PRADESH,ADILABAD,BEJJUR,1,0,0,321,0,322
ANDHRA PRADESH,ADILABAD,BELA,175,83,35,32,3,328
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,367,23,13,32,96,531
ANDHRA PRADESH,ADILABAD,BHAINSA,21,0,0,0,0,21
ANDHRA PRADESH,ADILABAD,BHEEMINI,19,94,155,6,0,274
ANDHRA PRADESH,ADILABAD,BOATH,60,11,5,18,0,94
ANDHRA PRADESH,ADILABAD,CHENNUR,318,22,25,7,0,372
ANDHRA PRADESH,ADILABAD,DAHEGAON,48,1,19,312,0,380
ANDHRA PRADESH,ADILABAD,DANDEPALLE,1605,41,107,43,0,1796
ANDHRA PRADESH,ADILABAD,DILAWARPUR,775,28,14,59,0,876
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,174,89,89,69,1,422
ANDHRA PRADESH,ADILABAD,ICHODA,229,16,58,157,66,526
ANDHRA PRADESH,ADILABAD,INDERAVELLY,93,119,118,412,1,743
ANDHRA PRADESH,ADILABAD,JAINAD,105,47,18,9,0,179
ANDHRA PRADESH,ADILABAD,JAINOOR,42,22,36,134,6,240
ANDHRA PRADESH,ADILABAD,JAIPUR,342,74,62,33,5,516
ANDHRA PRADESH,ADILABAD,JANNARAM,204,51,78,38,8,379
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,1263,208,106,186,2,1765
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,150,59,32,94,0,335
ANDHRA PRADESH,ADILABAD,KASIPET,62,4,43,54,0,163
ANDHRA PRADESH,ADILABAD,KERAMERI,42,61,14,57,9,183
ANDHRA PRADESH,ADILABAD,KHANPUR,1617,486,311,97,0,2511
ANDHRA PRADESH,ADILABAD,KOTAPALLE,110,14,3,1,0,128
ANDHRA PRADESH,ADILABAD,KOUTHALA,77,26,50,227,4,384
ANDHRA PRADESH,ADILABAD,KUBEER,35,19,0,0,0,54
ANDHRA PRADESH,ADILABAD,KUNTALA,14,0,0,12,0,26
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,918,139,129,21,0,1207
ANDHRA PRADESH,ADILABAD,LOHESRA,6,130,23,1,0,160
ANDHRA PRADESH,ADILABAD,LUXETTIPET,1123,67,366,24,0,1580
ANDHRA PRADESH,ADILABAD,MAMDA,490,0,30,10,1,531
ANDHRA PRADESH,ADILABAD,MANCHERIAL,1714,9,84,122,2,1931
ANDHRA PRADESH,ADILABAD,MANDAMARRI,333,120,19,125,0,597
ANDHRA PRADESH,ADILABAD,NARNOOR,45,82,86,387,7,607
ANDHRA PRADESH,ADILABAD,NENNAL,248,17,43,47,1,356
ANDHRA PRADESH,ADILABAD,NERADIGONDA,79,2,20,23,2,126
ANDHRA PRADESH,ADILABAD,NIRMAL,1522,139,26,64,10,1761
ANDHRA PRADESH,ADILABAD,REBBANA,71,38,38,161,0,308
ANDHRA PRADESH,ADILABAD,SARANGAPUR,132,0,4,60,0,196
ANDHRA PRADESH,ADILABAD,SIRPUR (T),55,13,118,163,1,350
ANDHRA PRADESH,ADILABAD,SIRPUR (U),8,12,74,284,9,387
ANDHRA PRADESH,ADILABAD,TALAMADUGU,319,136,172,186,0,813
ANDHRA PRADESH,ADILABAD,TAMSI,107,95,143,76,24,445
ANDHRA PRADESH,ADILABAD,TANDUR,86,20,78,34,0,218
ANDHRA PRADESH,ADILABAD,TIRYANI,10,9,2,163,0,184
ANDHRA PRADESH,ADILABAD,UTNUR,154,81,239,292,3,769
ANDHRA PRADESH,ADILABAD,VEMANPALLE,117,58,19,40,0,234
ANDHRA PRADESH,ADILABAD,WANKDI,33,1,0,106,0,140
ANDHRA PRADESH,ANANTHAPUR,AGALI,927,3,12,1,19,962
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,840,55,54,3,2,954
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,450,30,12,4,19,515
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,362,247,7,0,0,616
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,412,1,303,0,0,716
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,399,155,25,27,3,609
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,221,221,3,1,0,446
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,216,12,1,0,0,229
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,641,32,9,10,3,695
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,895,1,0,0,10,906
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,1642,20,158,2,0,1822
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,649,79,49,4,0,781
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,1095,173,27,51,2,1348
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,583,17,11,2,0,613
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,1462,126,49,23,1,1661
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,741,18,15,18,1,793
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,464,130,7,1,119,721
ANDHRA PRADESH,ANANTHAPUR,GOOTY,433,20,17,16,0,486
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,1015,203,0,0,0,1218
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,593,15,1,10,25,644
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,654,25,28,3,2,712
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,358,135,32,6,3,534
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,778,111,22,34,0,945
ANDHRA PRADESH,ANANTHAPUR,KADIRI,542,69,10,11,0,632
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,802,93,119,39,1,1054
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,741,11,61,3,9,825
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,789,79,34,17,1,920
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,131,7,10,1,37,186
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,1225,171,28,16,0,1440
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,704,72,6,23,6,811
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,997,12,2,1,0,1012
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,296,184,27,86,1,594
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,1218,151,52,66,9,1496
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,1213,3,50,4,0,1270
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,516,9,10,4,0,539
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,780,32,29,12,175,1028
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,873,95,12,3,0,983
ANDHRA PRADESH,ANANTHAPUR,NARPALA,1521,218,86,14,0,1839
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,1092,19,26,7,0,1144
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,347,11,5,5,0,368
ANDHRA PRADESH,ANANTHAPUR,PARIGI,602,70,24,33,1,730
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,203,172,2,0,0,377
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,27,2,0,0,0,29
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,1038,128,37,31,7,1241
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,1641,2,11,23,0,1677
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,800,17,5,2,3,827
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,189,126,199,20,0,534
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,573,22,24,4,1,624
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,645,47,19,9,0,720
ANDHRA PRADESH,ANANTHAPUR,RODDAM,778,11,10,10,0,809
ANDHRA PRADESH,ANANTHAPUR,ROLLA,797,28,9,6,2,842
ANDHRA PRADESH,ANANTHAPUR,SETTUR,705,0,6,0,1,712
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,933,69,114,10,1,1127
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,637,21,32,41,2,733
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,1079,0,2,3,0,1084
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,628,118,25,24,1,796
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,1162,43,7,6,11,1229
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,992,24,39,63,1,1119
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,554,11,4,0,4,573
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,182,75,42,13,0,312
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,181,14,2,0,0,197
ANDHRA PRADESH,ANANTHAPUR,YADIKI,226,259,22,20,0,527
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,1012,15,2,19,3,1051
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,584,0,0,0,0,584
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,2915,55,54,13,6,3043
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,2932,388,58,64,1,3443
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,578,9,5,0,0,592
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,2081,521,83,33,48,2766
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,1216,76,42,111,24,1469
ANDHRA PRADESH,CHITTOOR,CHITTOOR,2253,258,31,28,1,2571
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,1525,23,38,72,1,1659
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,4041,21,15,29,2,4108
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,2093,47,29,25,1,2195
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,886,3,16,11,0,916
ANDHRA PRADESH,CHITTOOR,GUDIPALA,2449,94,34,18,0,2595
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,1656,22,22,5,4,1709
ANDHRA PRADESH,CHITTOOR,IRALA,2707,1,31,17,0,2756
ANDHRA PRADESH,CHITTOOR,K V P PURAM,1154,24,19,26,1,1224
ANDHRA PRADESH,CHITTOOR,KALAKADA,1786,31,33,28,1,1879
ANDHRA PRADESH,CHITTOOR,KALIKIRI,1306,15,18,20,0,1359
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,2573,18,19,45,0,2655
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,2205,14,3,8,0,2230
ANDHRA PRADESH,CHITTOOR,KUPPAM,2513,4,10,4,2,2533
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,940,15,22,6,0,983
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,1018,45,5,3,2,1073
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,741,72,8,45,6,872
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,936,7,7,15,0,965
ANDHRA PRADESH,CHITTOOR,NAGARI,1555,16,34,7,26,1638
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,775,3,15,30,0,823
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,984,14,19,2,0,1019
ANDHRA PRADESH,CHITTOOR,NINDRA,1297,10,31,2,0,1340
ANDHRA PRADESH,CHITTOOR,PAKALA,2231,5,31,3,0,2270
ANDHRA PRADESH,CHITTOOR,PALAMANER,1727,170,63,40,7,2007
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,1630,15,50,35,0,1730
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,1474,97,159,36,3,1769
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,887,58,49,6,3,1003
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,1224,23,2,0,6,1255
ANDHRA PRADESH,CHITTOOR,PENUMURU,2507,3,17,23,0,2550
ANDHRA PRADESH,CHITTOOR,PICHATUR,1076,3,17,5,0,1101
ANDHRA PRADESH,CHITTOOR,PILERU,1554,31,53,22,4,1664
ANDHRA PRADESH,CHITTOOR,PULICHERLA,1475,4,9,1,0,1489
ANDHRA PRADESH,CHITTOOR,PUNGANUR,1517,45,41,18,33,1654
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,2948,7,19,22,1,2997
ANDHRA PRADESH,CHITTOOR,PUTTUR,1731,1,46,13,0,1791
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,1670,18,48,129,0,1865
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,1988,20,0,8,0,2016
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,1371,69,51,33,0,1524
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,1112,98,15,1,1,1227
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,918,0,23,2,2,945
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,1088,0,0,0,0,1088
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,1400,42,32,24,20,1518
ANDHRA PRADESH,CHITTOOR,SODAM,2348,93,66,58,0,2565
ANDHRA PRADESH,CHITTOOR,SOMALA,1969,56,40,20,0,2085
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,1356,97,72,87,0,1612
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,1904,34,62,41,0,2041
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,1059,0,0,0,0,1059
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,3047,50,47,2,0,3146
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,1356,5,32,26,1,1420
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,1925,6,1,2,1,1935
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,194,2,1,2,0,199
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,1797,3,51,22,0,1873
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,807,0,0,0,0,807
ANDHRA PRADESH,CHITTOOR,VAYALPAD,1243,12,19,9,0,1283
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,3146,1,10,34,1,3192
