-----
{
 "description": "The table refers to District wise Distribution of Dugwells according to ownership. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.2.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells according to ownership", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.2.csv"
}
-----
"State","District","Government","Cooperative Societies","Panchayat","Group of farmers","Individual farmers","Others","Total"
"ANDAMAN & NICOBARS","NICOBAR",0,0,0,0,8,0,8
"ANDHRA PRADESH","ADILABAD",83,10,7,37,27246,7,27390
"ANDHRA PRADESH","ANANTHAPUR",150,180,35,6751,45464,357,52937
"ANDHRA PRADESH","CHITTOOR",291,54,19,13520,102530,209,116623
"ANDHRA PRADESH","CUDDAPAH",138,38,14,11177,30395,21,41783
"ANDHRA PRADESH","EAST GODAVARI",3,41,3,18,2142,0,2207
"ANDHRA PRADESH","GUNTUR",63,0,1,587,12738,2,13391
"ANDHRA PRADESH","KARIMNAGAR",87,60,41,4678,202943,191,208000
"ANDHRA PRADESH","KHAMMAM",2185,333,30,1262,35150,12,38972
"ANDHRA PRADESH","KRISHNA",156,110,3,967,15702,14,16952
"ANDHRA PRADESH","KURNOOL",527,280,14,2062,31829,30,34742
"ANDHRA PRADESH","MAHABOOBNAGAR",734,436,159,6876,83539,65,91809
"ANDHRA PRADESH","MEDAK",42,30,11,2647,49318,71,52119
"ANDHRA PRADESH","NALGONDA",322,109,195,7117,101427,221,109391
"ANDHRA PRADESH","NELLORE",553,106,19,6247,28268,46,35239
"ANDHRA PRADESH","NIZAMABAD",7,5,4,369,16451,10,16846
"ANDHRA PRADESH","PRAKASAM",338,25,35,9949,16731,37,27115
"ANDHRA PRADESH","RANGAREDDY",134,13,21,3947,25843,82,30040
"ANDHRA PRADESH","SRIKAKULAM",210,187,21,3124,32818,29,36389
"ANDHRA PRADESH","VISAKHAPATNAM",89,47,49,4261,21881,28,26355
"ANDHRA PRADESH","VIZIANAGARAM",332,42,5,4729,30682,6,35796
"ANDHRA PRADESH","WARANGAL",418,126,12,956,159021,173,160706
"ANDHRA PRADESH","WEST GODAVARI",3,0,0,88,10317,6,10414
"ARUNACHAL PRADESH","CHANGLANG",1,0,0,0,0,0,1
"ARUNACHAL PRADESH","EAST SIANG",1,0,0,0,0,0,1
"ARUNACHAL PRADESH","PAPUMPARE",0,0,0,0,2,0,2
"ASSAM","BARPETA",0,0,0,0,23,0,23
"ASSAM","CACHAR",0,0,0,1,0,0,1
"ASSAM","DHUBRI",0,0,0,1,13,0,14
"ASSAM","GOALPARA",1,1,0,1,16,1,20
"ASSAM","JORHAT",0,0,0,0,10,0,10
"ASSAM","KOKRAJHAR",0,0,0,0,4,0,4
"ASSAM","LAKHIMPUR",0,0,1,9,48,0,58
"ASSAM","MORIGAON",0,0,0,0,18,0,18
"ASSAM","NAGOAN",0,0,0,0,1,1,2
"ASSAM","SIBSAGAR",0,0,0,0,3,0,3
"ASSAM","SONITPUR",0,0,0,0,1,0,1
"BIHAR","AURANGABAD",157,8,8,43,5975,12,6203
"BIHAR","BANKA",509,5,30,23,7278,2,7847
"BIHAR","BHAGALPUR",16,1,1,3,4862,5,4888
"BIHAR","BHOJPUR",36,2,9,3,2545,2,2597
"BIHAR","BUXAR",10,30,2,2,742,3,789
"BIHAR","EAST CHAMPARAN",0,0,0,0,22,0,22
"BIHAR","GAYA",458,6,9,77,17326,6,17882
"BIHAR","GOPAALGANJ",165,1,1,12,4395,6,4580
"BIHAR","JAMUI",1031,16,7,28,7609,4,8695
"BIHAR","JEHANABAD",126,3,0,42,2362,4,2537
"BIHAR","KAIMUR (BHABUA)",46,0,2,2,8541,5,8596
"BIHAR","KATIHAR",0,0,0,0,15,0,15
"BIHAR","LAKHISARAI",1,0,0,1,1133,0,1135
"BIHAR","MADHEPURA",1,0,0,0,3,0,4
"BIHAR","MADHUBANI",3,0,0,0,117,1,121
"BIHAR","MUNGER",218,0,0,15,3225,2,3460
"BIHAR","MUZAFFARPUR",10,0,0,0,98,0,108
"BIHAR","NALANDA",163,3,6,70,20479,9,20730
"BIHAR","NAWADA",450,3,7,109,4890,4,5463
"BIHAR","PATNA",199,1,12,13,4737,9,4971
"BIHAR","ROHTAS(SASARAM)",91,1,0,31,6513,3,6639
"BIHAR","SARAN",68,11,6,16,11874,6,11981
"BIHAR","SHEKHPURA",21,6,0,18,574,0,619
"BIHAR","SIWAN",282,5,8,22,13885,70,14272
"BIHAR","VAISHALI",3,2,0,0,1018,0,1023
"CHHATTISGARH","BASTER",12,6,0,0,3538,407,3963
"CHHATTISGARH","BILASPUR",6848,3,1,1,3425,0,10278
"CHHATTISGARH","DANTEWADA",7,0,1,0,537,128,673
"CHHATTISGARH","DHAMTARI",31,0,0,1,5602,185,5819
"CHHATTISGARH","DURG",8,0,0,8,8178,422,8616
"CHHATTISGARH","JANJGIR-CHAMPA",8851,3,5,13,4370,6,13248
"CHHATTISGARH","JASHPUR",17602,14,1,1,8746,10,26374
"CHHATTISGARH","KANKER",4,0,1,0,5645,1846,7496
"CHHATTISGARH","KORBA",4651,25,2,5,2296,11,6990
"CHHATTISGARH","KORIA",12351,12,2,4,6155,2,18526
"CHHATTISGARH","KVARDHA",4,1,0,6,1205,459,1675
"CHHATTISGARH","MAHASAMUND",75,15,39,2,4749,360,5240
"CHHATTISGARH","RAIGARH",11197,5,6,17,5739,5,16969
"CHHATTISGARH","RAIPUR",10,12,3,1,15454,372,15852
"CHHATTISGARH","RAJNANDGAON",3,1,2,0,7387,65,7458
"CHHATTISGARH","SURGUJA",28065,23,4,9,27701,4,55806
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",0,0,0,1,571,0,572
"GOA","NORTH GOA",128,96,1,280,3093,150,3748
"GOA","SOUTH GOA",13,3,0,117,1221,14,1368
"GUJARAT","AHMEDABAD",105,11,78,9,13176,35,13414
"GUJARAT","AMRELI",244,4,1257,2033,77318,3,80859
"GUJARAT","ANAND",0,0,0,0,2001,0,2001
"GUJARAT","BANASKANTHA",4,1,4,11124,39808,0,50941
"GUJARAT","BHARUCH",19,8,27,139,4765,5,4963
"GUJARAT","BHAVNAGAR",44,1,1,0,117989,0,118035
"GUJARAT","DAHOD",421,102,1573,85,31835,4,34020
"GUJARAT","DANG",131,0,14,1,1387,2,1535
"GUJARAT","GANDHINAGAR",0,0,0,0,35,0,35
"GUJARAT","JAMNAGAR",591,3,4,0,82673,0,83271
"GUJARAT","JUNAGADH",273,32,60,3864,129856,27,134112
"GUJARAT","KACHCHH",276,13,69,451,29657,60,30526
"GUJARAT","KHEDA",172,63,196,8,15344,19,15802
"GUJARAT","MEHSANA",27,11,77,403,7301,4,7823
"GUJARAT","NARMADA",4,2,5,6,2755,0,2772
"GUJARAT","NAVSARI",12,2,3,9,12779,0,12805
"GUJARAT","PANCHMAHAL",308,7,23,3,44092,4,44437
"GUJARAT","PATAN",0,0,0,3,89,0,92
"GUJARAT","PORBANDAR",624,10,12,4140,17510,11,22307
"GUJARAT","RAJKOT",89,77,41,16,103455,6,103684
"GUJARAT","SABARKANTHA",337,81,250,3527,80241,51,84487
"GUJARAT","SURAT",7,3,4,362,20774,0,21150
"GUJARAT","SURENDRANAGAR",578,56,280,41,36125,35,37115
"GUJARAT","VADODARA",290,39,118,28,19620,10,20105
"GUJARAT","VALSAD",806,3,35,8,8446,11,9309
"HARYANA","AMBALA",1,0,0,144,53,149,347
"HARYANA","BHIWANI",9,2,7,1948,1055,34,3055
"HARYANA","FATEHABAD",0,0,2,55,10,0,67
"HARYANA","GURGAON",23,22,367,4447,780,147,5786
"HARYANA","HISSAR",0,0,0,42,65,0,107
"HARYANA","JHAJJAR",3,0,25,1094,631,1,1754
"HARYANA","KAITHAL",1,0,7,496,257,0,761
"HARYANA","KARNAL",3,10,20,1135,406,15,1589
"HARYANA","MAHENDRAGARH",2,1,5,486,98,23,615
"HARYANA","PANCHKULA",1,0,0,48,43,0,92
"HARYANA","PANIPAT",0,0,0,86,625,8,719
"HARYANA","REWARI",2,8,15,480,151,11,667
"HARYANA","ROHTAK",0,13,10,131,43,15,212
"HARYANA","SIRSA",2,0,2,385,339,37,765
"HARYANA","SONEPAT",1,0,0,1278,331,51,1661
"HARYANA","YAMUNANAGAR",1,9,3,420,189,0,622
"HIMACHAL PRADESH","Bilaspur",1,0,0,13,21,0,35
"HIMACHAL PRADESH","Hamirpur",3,0,2,26,193,0,224
"HIMACHAL PRADESH","Kangra",0,0,0,63,191,2,256
"HIMACHAL PRADESH","Kullu",0,0,0,0,2,0,2
"HIMACHAL PRADESH","Mandi",0,0,0,2,8,0,10
"HIMACHAL PRADESH","Sirmaur",7,0,0,117,273,3,400
"HIMACHAL PRADESH","Solan",12,0,0,254,476,0,742
"HIMACHAL PRADESH","Una",3,0,0,58,165,1,227
"JAMMU & KASHMIR","ANANTNAG",1,0,0,1,0,0,2
"JAMMU & KASHMIR","BADGAM",0,0,0,0,1,0,1
"JAMMU & KASHMIR","BARAMULLA",2,0,0,10,17,0,29
"JAMMU & KASHMIR","JAMMU",24,0,1,14,1050,275,1364
"JAMMU & KASHMIR","KATHUA",30,3,0,31,1011,12,1087
"JAMMU & KASHMIR","RAJOURI",0,0,0,0,1,0,1
"JAMMU & KASHMIR","SRINAGAR",0,0,0,3,18,0,21
"JAMMU & KASHMIR","UDHAMPUR",0,0,0,1,1,11,13
"JHARKHAND","BOKARO",166,3,4,8,13207,1,13389
"JHARKHAND","CHATRA",83,0,0,14,15448,0,15545
"JHARKHAND","DEOGHAR",824,2,0,32,12212,1,13071
"JHARKHAND","DHANBAD",45,0,0,8,6899,0,6952
"JHARKHAND","DUMKA",265,2,0,3,26741,0,27011
"JHARKHAND","EAST SINGHBHUM",12,2,2,0,1738,0,1754
"JHARKHAND","GARHWA",156,0,16,5,19721,5,19903
"JHARKHAND","GIRIDIH",1263,10,6,103,22911,1,24294
"JHARKHAND","GODDA",1395,23,42,36,16165,7,17668
"JHARKHAND","GUMLA",5,1,2,21,23448,1,23478
"JHARKHAND","HAZARIBAGH",831,10,10,125,38760,9,39745
"JHARKHAND","JAMTARA",47,0,1,71,8318,1,8438
"JHARKHAND","KODERMA",68,0,1,0,3797,0,3866
"JHARKHAND","LATEHAR",603,0,29,10,11707,59,12408
"JHARKHAND","LOHARDAGA",33,0,0,2,13521,0,13556
"JHARKHAND","PAKUR",83,0,0,3,404,0,490
"JHARKHAND","PALAMU",1322,41,52,55,18315,4,19789
"JHARKHAND","RANCHI",273,1,2,2,39103,12,39393
"JHARKHAND","SAHEBGANJ",65,4,5,10,1600,0,1684
"JHARKHAND","SARAIKELA",206,6,3,1,2426,6,2648
"JHARKHAND","SIMDEGA",34,0,2,8,16340,18,16402
"JHARKHAND","WEST SINGHBHUM",61,0,0,6,2004,0,2071
"KARNATAKA","Bagalkote",39,4,0,0,11477,111,11631
"KARNATAKA","Bangalore",0,0,0,0,728,0,728
"KARNATAKA","Bangalore Rural",0,0,0,0,9317,0,9317
"KARNATAKA","Belgaum",14,2,7,161,65386,239,65809
"KARNATAKA","Bellary",0,4,0,0,2850,6,2860
"KARNATAKA","Bidar",1,0,1,0,15941,0,15943
"KARNATAKA","Bijapur",3,0,0,1,43105,2,43111
"KARNATAKA","Chamaraja Nagara",0,0,0,0,7328,0,7328
"KARNATAKA","Chikmagalur",0,0,0,0,1300,0,1300
"KARNATAKA","Chitradurga",0,0,1,0,2313,0,2314
"KARNATAKA","Dakshina Kannada",2,1,0,0,36918,4,36925
"KARNATAKA","Davanagere",0,0,0,0,753,34,787
"KARNATAKA","Dharwar",2,0,0,1,460,0,463
"KARNATAKA","Gadag",0,0,0,0,2201,0,2201
"KARNATAKA","Gulbarga",3,14,0,0,19045,6,19068
"KARNATAKA","Hassan",7,3,2,0,1747,0,1759
"KARNATAKA","Haveri",0,0,0,0,263,0,263
"KARNATAKA","Kodagu",0,0,0,0,122,0,122
"KARNATAKA","Kolar",0,0,0,0,11195,1,11196
"KARNATAKA","Koppal",0,0,0,0,2128,0,2128
"KARNATAKA","Mandya",0,0,0,0,8501,0,8501
"KARNATAKA","Mysore",0,0,0,0,4588,0,4588
"KARNATAKA","Raichur",1,0,0,0,9971,0,9972
"KARNATAKA","Shimoga",27,5,0,0,7469,6,7507
"KARNATAKA","Tumkur",1,0,0,0,14763,0,14764
"KARNATAKA","Udupi",0,0,0,0,28612,0,28612
"KARNATAKA","Uttara Kannada",8,10,2,2,18764,0,18786
"KERALA","ALAPPUZHA",1,1,0,0,4709,0,4711
"KERALA","ERANAKULAM",18,4,8,6,17560,6,17602
"KERALA","IDDUKKI",167,1,106,5,5489,3,5771
"KERALA","KANNUR",151,5,1,4,15054,3,15218
"KERALA","KASARAGODE",5,3,18,9,6775,1,6811
"KERALA","KOLLAM",0,1,0,0,6102,0,6103
"KERALA","KOTTAYAM",3,6,1,1,10799,1,10811
"KERALA","KOZHIKODE",52,0,9,34,12537,0,12632
"KERALA","MALAPPURAM",2,3,8,6,12406,1,12426
"KERALA","PALAKKAD",16,2,6,35,8857,1,8917
"KERALA","PATHANAMTHITTA",2,0,3,0,6626,3,6634
"KERALA","THIRUVANANTHAPURAM",23,2,42,1,13089,1,13158
"KERALA","THRISSUR",18,4,7,9,44421,16,44475
"KERALA","WAYANAD",13,0,2,5,654,13,687
"MADHYA PRADESH","BALAGHAT",17,7,11,132,12606,8,12781
"MADHYA PRADESH","BARWANI",6,0,3,0,18445,1,18455
"MADHYA PRADESH","BETUL",27,66,40,841,53023,9,54006
"MADHYA PRADESH","BHIND",1331,5,21,2845,10898,82,15182
"MADHYA PRADESH","BHOPAL",2,3,0,327,9877,2,10211
"MADHYA PRADESH","CHHATARPUR",521,1,1,208,52977,12,53720
"MADHYA PRADESH","CHHINDWARA",20,11,2,23,77902,18,77976
"MADHYA PRADESH","DAMOH",27,0,11,18,13213,0,13269
"MADHYA PRADESH","DATIA",494,5,17,7845,11601,30,19992
"MADHYA PRADESH","DEWAS",19,2,5,1274,32173,21,33494
"MADHYA PRADESH","DHAR",405,20,13,397,36482,87,37404
"MADHYA PRADESH","DINDORI",18,4,1,0,433,0,456
"MADHYA PRADESH","GUNA",154,4,7,5309,21815,52,27341
"MADHYA PRADESH","GWALIOR",4324,12,6,1970,11507,92,17911
"MADHYA PRADESH","HARDA",1,1,0,7,13051,7,13067
"MADHYA PRADESH","HOSHANGABAD",22,5,14,46,21207,29,21323
"MADHYA PRADESH","INDORE",87,37,4,80,12479,20,12707
"MADHYA PRADESH","JABALPUR",53,13,15,96,9604,15,9796
"MADHYA PRADESH","JHABUA",127,4,54,1517,23308,21,25031
"MADHYA PRADESH","KATNI",7,11,5,105,11857,9,11994
"MADHYA PRADESH","KHANDWA",474,2,3,5,62454,0,62938
"MADHYA PRADESH","KHARGONE",9,1,1,3,57411,5,57430
"MADHYA PRADESH","MANDLA",0,0,1,0,2687,0,2688
"MADHYA PRADESH","MANDSAUR",4976,21,6,13,92823,70,97909
"MADHYA PRADESH","MORENA",45,0,0,0,14762,1,14808
"MADHYA PRADESH","NARSINGHPUR",17,1,1,63,11790,29,11901
"MADHYA PRADESH","NEEMUCH",858,10,12,13258,33047,351,47536
"MADHYA PRADESH","PANNA",92,55,1,6,6618,0,6772
"MADHYA PRADESH","RAISEN",8,0,2,6,10956,12,10984
"MADHYA PRADESH","RAJGARH",275,20,53,24840,44349,744,70281
"MADHYA PRADESH","RATLAM",1698,10,30,6489,36439,57,44723
"MADHYA PRADESH","REWA",1,0,0,499,11252,15,11767
"MADHYA PRADESH","SAGAR",24,5,1,2,44567,64,44663
"MADHYA PRADESH","SATNA",17,1,1,1,19113,1,19134
"MADHYA PRADESH","SEHORE",23,1,3,2000,26277,1,28305
"MADHYA PRADESH","SEONI",130,4,89,125,21910,99,22357
"MADHYA PRADESH","SHAHDOL",9,1,0,2,4163,4,4179
"MADHYA PRADESH","SHAJAPUR",304,6,34,8848,44621,98,53911
"MADHYA PRADESH","SHEOPUR",439,0,0,1467,2267,3,4176
"MADHYA PRADESH","SHIVPURI",4710,15,19,10775,27865,25,43409
"MADHYA PRADESH","SIDHI",19,3,0,0,12250,0,12272
"MADHYA PRADESH","TIKAMGARH",90,5,8,33339,25597,52,59091
"MADHYA PRADESH","UJJAIN",398,19,4,1064,39257,129,40871
"MADHYA PRADESH","UMARIA",2,0,0,3,2376,1,2382
"MADHYA PRADESH","VIDISHA",34,0,0,14,16054,1,16103
"MAHARASHTRA","AHMEDNAGAR",1345,847,525,29699,119439,669,152524
"MAHARASHTRA","AKOLA",19,1,1,709,19635,1,20366
"MAHARASHTRA","AMRAVATI",28,14,5,538,72575,1,73161
"MAHARASHTRA","AURANGABAD",72,57,29,27724,60279,130,88291
"MAHARASHTRA","BEED",72,14,13,23075,7739,1,30914
"MAHARASHTRA","BHANDARA",21,6,13,180,15756,1,15977
"MAHARASHTRA","BULDANA",1,0,0,0,64396,0,64397
"MAHARASHTRA","CHANDRAPUR",27,8,1,9,13368,2,13415
"MAHARASHTRA","DHULE",108,103,53,4469,46065,8,50806
"MAHARASHTRA","GADCHIROLI",157,1,4,527,10473,3,11165
"MAHARASHTRA","GONDIYA",636,115,1,208,7903,2,8865
"MAHARASHTRA","HINGOLI",5,2,0,1760,18888,0,20655
"MAHARASHTRA","JALGAON",116,155,124,7450,101574,49,109468
"MAHARASHTRA","JALNA",30,291,9,18165,31865,1,50361
"MAHARASHTRA","KOLHAPUR",126,70,138,12878,27885,82,41179
"MAHARASHTRA","LATUR",0,0,0,11,27933,0,27944
"MAHARASHTRA","NAGPUR",433,42,15,807,62263,18,63578
"MAHARASHTRA","NANDED",3,38,4,3690,24501,7,28243
"MAHARASHTRA","NANDURBAR",25,9,4,956,16168,192,17354
