-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "TamilNaduGSDPcurrent_1.csv", 
 "title": "Download CSV for Tamil Nadu Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/TamilNaduGSDPcurrent_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","1287273","1429781","1392397","1531405","1774517","2043673","1886613","2042564","2056093","1646508","1700208","2025726"
"Foresty and Logging","41484","44569","38223","74002","89323","60018","86266","69452","62334","81278","73392","72180"
"Fishing","55545","73313","88507","120558","203547","225926","176318","190943","198586","193553","193123","229719"
"Mining and Quarrying","42173","47075","46867","47596","49689","53639","60380","79543","93002","109047","131808","141017"
"Sub total of primary","1426475","1594738","1565994","1773561","2117076","2383256","2209577","2382502","2410015","2030386","2098531","2468642"
"Manufacturing","1509247","1830708","2128391","2276615","2317790","2513776","2783159","3129488","2916906","3148841","3291660","3695021"
"Registered","972381","1162186","1379764","1446316","1477896","1594489","1755178","1960194","1756890","1858704","2054531","2299820"
"Unregistered","536866","668522","748627","830299","839894","919287","1027981","1169294","1160016","1290137","1237129","1395201"
"Construction","300252","380930","440689","502343","633672","756228","889836","911719","1044195","1139187","1305769","1389666"
"Electricity, Gas and water Supply","129468","180585","212982","243542","270417","349369","357518","431096","207079","422576","270659","305774"
"Sub total of secondary","1938967","2392223","2782062","3022500","3221879","3619373","4030513","4472303","4168180","4710604","4868088","5390461"
"Transport Storage and Communication","423289","513478","590217","661531","782618","909896","1002947","1122813","1220898","1318790","1437678","1526914"
"Railways","38832","39788","45423","48792","63749","78429","86661","77370","91117","99837","101915","107560"
"Transport by other means","282703","344692","388671","419905","503285","577362","645471","748444","778081","863585","903443","944437"
"Storage","6312","6883","7854","8494","9695","10977","11745","12914","13381","13256","14277","15254"
"Communication","95442","122115","148269","184340","205889","243128","259070","284085","338319","342112","418043","459663"
"Trade, hotels and restaurants","749813","961409","1134649","1279300","1452160","1634998","1831129","2188755","2233172","2571022","2952106","3488355"
"Banking and Insurance","315188","401557","555308","767081","926281","903952","1039801","1041270","1149914","1370828","1524544","1675913"
"Real estate, ownership of dwelling and business","317781","353485","398967","456397","574101","687253","823120","1010647","1177564","1316827","1451818","1596122"
"Pubic Administration","231218","244813","291764","354603","441686","595090","704353","767658","803610","795346","885029","955249"
"Other Services","352171","404876","501573","608762","839233","1087100","989860","1124035","1192189","1396122","1627923","1790451"
"Sub total of tertiary","2389460","2879618","3472478","4127674","5016079","5954156","6578737","7422095","7916610","8903926","10023402","9436882"
"State domestic product","5754902","6866579","7820534","8923735","10355034","11820918","12631300","14109983","14355542","15509925","16845717","18892107"

"Figures are in Rs. Lakh"
