-----
{
 "description": "This data provides summary of net exported power (RPSSGP Projects Phase-I (IREDA)) for the month of April 2013.", 
 "file_name": "April_13_RPSSGP_Projects_Power_Generation_Data.xls", 
 "title": "Download XLS for Summary of Net Exported Power For The Month of April 2013 - RPSSGP Scheme", 
 "url": "http://data.gov.in/sites/default/files/April_13_RPSSGP_Projects_Power_Generation_Data.xls"
}
-----
"Sr. No.","Project Code","Company Name","State","Capacity (MW)","  Net Exported Power (kwh)*","CUF"
1.0,"RPSSGP-GBI/58"," M/S. S.N.MOHANTY","ORISSA",1.0,113680.0,"16.09 %"
2.0,"023-RPSSGP/IREDA/Orissa2010","Abacus Holdings Private Limited","ORISSA",1.0,139270.0,"19.44 %"
3.0,"RPSSGP_GBI/009","AEW INFRATECH PVT LTD","RAJASTHAN",1.0,157100.0,"21.82 %"
4.0,"024-RPSSGP/IREDA/AP/2010","Amrit Jal Ventures Ltd.","ANDHRA PRADESH",1.0,156997.6,"21.88 %"
5.0,"RPSSGP-GBI/050","APGENCO","ANDHRA PRADESH",1.0,146390.0,"21.66 %"
6.0,"NA","Asian Aero Edu aviation p ltd","RAJASTHAN",1.0,149880.0,"20.91 %"
7.0,"RPSSGP_GBI/014","Basant Enterprises","RAJASTHAN",1.0,162905.0,"23.37 %"
8.0,"RPSSGP_GBI/040","BHAVANI ENGINEERING","ANDHRA PRADESH",1.0,150717.0,"21.63 %"
9.0,"RPSSGP_GBI/079","C&S Electric Limited","HARYANA",1.0,145510.0,"20.36 %"
10.0,"RPSSGP_GBI/07","Carlill Energy Pvt Ltd","PUNJAB",1.5,207406.8,"19.28 %"
11.0,"RPSSGP_GBI/007","CHANDRALEELA POWER ENERGY PRIVATE LIMITED","HARYANA",0.8,104221.0,"18.09 %"
12.0,"RPSSGP_GBI/045","Chhattisgarh Investments Limited","CHHATTISGARH",2.0,256289.91,"18.12 %"
13.0,"RPSSGP_GBI/072","Citra Real Estate Limited","MAHARASHTRA",2.0,258056.0,"18.36 %"
14.0,"RPSSGP_GBI/074","Dhruv Milkose","UTTAR PRADESH",1.0,134407.0,"18.69 %"
15.0,"1988","ENERTECH ENGINEERING PVT. LTD.","JHARKHAND",2.0,220000.0,"15.44 %"
16.0,"RPSSGP_GBI/039","G S ATWAL & CO ENGINEERS PVT LTD","PUNJAB",1.5,222745.0,"20.80 %"
17.0,"RPSSGP_GBI/067","H.R. Minerals & Alloys Pvt. Ltd.","HARYANA",1.0,113105.5,"15.72 %"
18.0,"RPSSGP_GBI/042","JSR Developers Pvt Ltd.","MADHYA PRADESH",1.25,198394.1,0.202
19.0,"RPSSGP_GBI/006","Kijalk Infrastructure Pvt. Ltd","JHARKHAND",2.0,277200.0,"19.35 %"
20.0,"RPSSGP_GBI_057","Kishore Electro Infra Pvt Ltd","ANDHRA PRADESH",1.0,133865.0,"18.81 %"
21.0,"RPSSGP-GBI/019","KVR CONSTRUCTIONS","JHARKHAND",2.0,261400.0,"18.93 %"
