-----
{
 "description": "The table refers to Statewise Dugwells in the command of Major/Medium Projects and Supplimentary Irrigation. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlNat1.14.csv", 
 "title": "Download CSV for Statewise Dugwells in the command of Major/Medium Projects and Supplimentary Irrigation", 
 "url": "http://data.gov.in/sites/default/files/dgwlNat1.14.csv"
}
-----
"State","Location of Dugwell (Nos) - Inside Command","Location of Dugwell (Nos) - Outside Command","Total","Supplementary Irrigation (Ha) - Kharif","Supplementary Irrigation (Ha) - Rabi","Supplementary Irrigation (Ha) - Perennial","Supplementary Irrigation (Ha) - Others","Total.1"
"ANDHRA PRADESH",74682,1110534,1185216,18886,9106,989,368,29349
"ARUNACHAL PRADESH",0,4,4,0,0,0,0,0
"ASSAM",9,145,154,3,3,0,0,6
"BIHAR",23335,111842,135177,6207,4263,474,327,11271
"CHHATTISGARH",15514,189469,204983,2392,404,15,8,2819
"GOA",386,4730,5116,1,1,79,11,92
"GUJARAT",31094,904506,935600,3992,1445,282,257,5976
"HARYANA",7440,11379,18819,6302,7949,78,0,14329
"HIMACHAL PRADESH",70,1826,1896,86,83,4,0,173
"JAMMU & KASHMIR",510,2008,2518,707,701,4,4,1416
"JHARKHAND",3868,319687,323555,550,824,154,92,1620
"KARNATAKA",25059,302924,327983,19500,6600,4756,1532,32388
"KERALA",3258,162698,165956,229,283,294,199,1005
"MADHYA PRADESH",82296,1194410,1276706,5202,156202,335,124,161863
"MAHARASHTRA",216559,1441999,1658558,28339,41256,21403,3144,94142
"MANIPUR",0,3,3,0,0,0,0,0
"MEGHALAYA",0,11,11,0,0,0,0,0
"NAGALAND",0,283,283,0,0,0,0,0
"ORISSA",2525,375854,378379,464,110,4,1,579
"PUNJAB",256,2675,2931,182,193,1,4,380
"RAJASTHAN",32867,1138631,1171498,3789,3900,57,143,7889
"TAMIL NADU",37198,1619303,1656501,16591,7338,8485,1795,34209
"TRIPURA",4,255,259,25,23,0,4,52
"UTTAR PRADESH",35623,88780,124403,7643,10703,3109,975,22430
"UTTA RANCHAL",45,792,837,10,6,2,20,38
"WEST BENGAL",2806,36571,39377,300,85,12,4,401
"ANDAMAN & NICOBARS",4,4,8,0,0,0,0,0
"DADRA & NAGAR HAVELI",22,550,572,0,0,0,0,0
"PONDICHERRY",0,78,78,0,0,0,0,0
"ALL INDIA",595430,9021951,9617381,121400,251478,40537,9012,422427
