-----
{
 "description": "The table refers to statewise distribution of Deep Tubewells according to source of finance . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Natdptbwltab3.6.csv", 
 "title": "Download CSV for Statewise Distribution of Deep Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Natdptbwltab3.6.csv"
}
-----
"State","Government funds","Farmers saving","Loan and Saving","Subsidy and Bank loan","Others","Total"
"ANDHRA PRADESH",5712,20244,3637,576,311,30480
"ARUNACHAL PRADESH",NA,NA,NA,NA,NA,NA
"ASSAM",0,0,0,0,1,1
"BIHAR",434,471,199,562,1061,2727
"GOA",1,1,0,2,0,4
"GUJARAT",NA,NA,NA,NA,NA,NA
"HARYANA",901,3420,1765,27,202,6315
"HIMACHAL PRADESH",5,12,2,1,6,26
"JAMMU & KASHMIR",83,14,0,0,0,97
"KARNATAKA",13521,88470,35847,4406,7996,150240
"KERALA",35,46,68,41,1,191
"MADHYA PRADESH",7460,12454,1547,768,1369,23598
"MAHARASHTRA",NA,NA,NA,NA,NA,NA
"MANIPUR",NA,NA,NA,NA,NA,NA
"MEGHALAYA",0,0,0,0,0,0
"MIZORAM",NA,NA,NA,NA,NA,NA
"NAGALAND",2,0,0,0,1,3
"ORISSA",23,27,25,25,8,108
"PUNJAB",425,1633,27,8,38,2131
"RAJASTHAN",1165,9856,1190,100,121,12432
"SIKKIM",NA,NA,NA,NA,NA,NA
"TAMIL NADU",20892,9331,882,188,1582,32875
"TRIPURA",2,0,0,0,0,2
"UTTAR PRADESH",2009,861,364,265,120,3619
"WEST BENGAL",9,9,2,0,65,85
"ANDAMAN & NICOBARS",NA,NA,NA,NA,NA,NA
"CHANDIGARH",NA,NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI",NA,NA,NA,NA,NA,NA
"DAMAN & DIU",NA,NA,NA,NA,NA,NA
"DELHI",4,677,7,1,2,691
"LAKSHADWEEP",NA,NA,NA,NA,NA,NA
"PONDICHERRY",0,238,84,11,84,417
"ALL INDIA",52683,147764,45646,6981,12968,266042
