-----
{
 "description": "The table refers to Statewise Culturable Command Area and Potential Created through Shallow Tubewells . The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltubeNat2.12.csv", 
 "title": "Download CSV for Statewise Culturable Command Area and Potential Created through Shallow Tubewells", 
 "url": "http://data.gov.in/sites/default/files/shltubeNat2.12.csv"
}
-----
"State","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total - Irrigation potential created"
"ANDHRA PRADESH",891552,697424,476634,99117,18568,1291743
"ASSAM",155631,90920,76913,7179,13435,188447
"BIHAR",2225667,1182709,1598130,148311,128916,3058066
"CHHATTISGARH",256931,229856,110561,2562,6339,349318
"GOA",76,0,2,66,7,75
"GUJARAT",271985,125995,140016,49900,45149,361060
"HARYANA",1266844,972374,1168232,3934,1012,2145552
"HIMACHAL PRADESH",6241,4246,5096,102,38,9482
"JAMMU & KASHMIR",4267,3532,2829,46,0,6407
"JHARKHAND",2587,1640,1871,138,54,3703
"KARNATAKA",739477,457667,144460,232175,183417,1017719
"KERALA",4958,1056,849,3281,1128,6314
"MADHYA PRADESH",1054024,66566,1038485,10192,14116,1129359
"MAHARASHTRA",116378,61899,51553,27860,10507,151819
"MANIPUR",32,0,65,0,0,65
"MEGHALAYA",441,397,162,41,20,620
"NAGALAND",6,4,2,0,0,6
"ORISSA",118031,63152,85464,3046,1102,152764
"PUNJAB",3093819,3028250,3028557,67536,16513,6140856
"RAJASTHAN",587252,60662,578848,1783,6691,647984
"TAMIL NADU",216726,150326,105626,32806,16210,304968
"TRIPURA",4612,2807,3753,169,202,6931
"UTTAR PRADESH",10957794,5728067,6707388,2092633,1003592,15531680
"UTTARANCHAL",155739,87940,81970,62352,10517,242779
"WEST BENGAL",1169906,817087,485545,35056,666639,2004327
"CHANDIGARH",264,236,235,20,25,516
"DELHI",23879,15048,22845,75,51,38019
"PONDICHERRY",6700,4544,3442,1256,788,10030
"ALL INDIA",23331819,13854404,15919533,2881636,2145036,34800609
