-----
{
 "description": "The table refers to district wise shallow tubewells according to water distribution system . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.8.csv", 
 "title": "Download CSV for District wise Shallow Tubewells according to Water Distribution System for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.8.csv"
}
-----
State,District,Sprinkler,Drip Irrigation,Open channel,Under ground channel,Others,Total
ANDHRA PRADESH,ADILABAD,166,4,4052,2465,578,7265
ANDHRA PRADESH,ANANTHAPUR,159,89,14791,5690,572,21301
ANDHRA PRADESH,CHITTOOR,79,50,7742,2182,85,10138
ANDHRA PRADESH,CUDDAPAH,109,42,11561,894,203,12809
ANDHRA PRADESH,EAST GODAVARI,3,6,19769,217,852,20847
ANDHRA PRADESH,GUNTUR,27,23,15157,2,711,15920
ANDHRA PRADESH,KARIMNAGAR,1,1,587,304,97,990
ANDHRA PRADESH,KHAMMAM,15,4,3549,137,129,3834
ANDHRA PRADESH,KRISHNA,21,9,12449,20,196,12695
ANDHRA PRADESH,KURNOOL,81,33,4957,3085,586,8742
ANDHRA PRADESH,MAHABOOB NAGAR,181,63,14913,5671,600,21428
ANDHRA PRADESH,MEDAK,173,66,20823,8353,1491,30906
ANDHRA PRADESH,NALGONDA,55,34,10205,3376,49,13719
ANDHRA PRADESH,NELLORE,557,447,26028,2252,910,30194
ANDHRA PRADESH,NIZAMABAD,370,90,30838,14434,475,46207
ANDHRA PRADESH,PRAKASAM,1864,36,8581,421,60,10962
ANDHRA PRADESH,RANGA REDDY,163,336,11841,2979,1135,16454
ANDHRA PRADESH,SRIKAKULUM,39,7,5373,3,261,5683
ANDHRA PRADESH,VIJAYA NAGARAM,11,31,3763,191,132,4128
ANDHRA PRADESH,VISAKHAPATNAM,40,9,5252,3,84,5388
ANDHRA PRADESH,WARANGAL,76,12,2734,564,125,3511
ANDHRA PRADESH,WEST GODAVARI,104,55,13704,42,171,14076
ASSAM,BARPETA,0,0,2361,0,2,2363
ASSAM,BONGAIGAON,0,1,783,0,68,852
ASSAM,CACHAR,0,0,1,0,0,1
ASSAM,DARRANG,1,1,2238,0,11,2251
ASSAM,DHEMAJI,0,0,717,0,0,717
ASSAM,DHUBRI,0,0,2485,3,0,2488
ASSAM,DIBRUGARH,0,1,1359,0,101,1461
ASSAM,GOALPARA,0,0,381,0,0,381
ASSAM,GOLAGHAT,5,0,405,0,85,495
ASSAM,HAILAKANDI,0,0,80,0,0,80
ASSAM,JORHAT,0,1,1488,0,1,1490
ASSAM,KAMRUP,0,0,1268,0,0,1268
ASSAM,KARBI ANGLONG,0,0,81,0,0,81
ASSAM,KARIMGANJ,0,0,0,0,84,84
ASSAM,KOKRAJHAR,0,1,753,1,3,758
