-----
{
 "description": "The table refers to district wise irrigation potential utilised under surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.14.csv", 
 "title": "Download CSV for Districtwise Irrigation potential utilised through surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.14.csv"
}
-----
"State","District","Actual area irrigated - Kharif","Actual area irrigated - Rabi","Actual area irrigated - Perennial","Actual area irrigated - Others","Total"
"BIHAR","SINGHBHUM EAST",1075,454,44,10,1583
"BIHAR","SINGHBHUM WEST",1531,547,55,32,2165
"BIHAR","SITAMARHI",463,464,90,37,1054
"BIHAR","SIWAN",281,1129,18,7,1435
"BIHAR","SUPAUL",72,72,10,24,178
"BIHAR","VAISHALI",110,137,26,8,281
"GOA","NORTH GOA",0,299,882,35,1216
"GOA","SOUTH GOA",11,111,2087,280,2489
"HARYANA","AMBALA",212,212,0,0,424
"HARYANA","KAITHAL",496,496,0,0,992
"HARYANA","KURUKSHETRA",4,4,0,0,8
"HIMACHAL PRADESH","Bilaspur",779,778,0,0,1557
"HIMACHAL PRADESH","Chamba",88,88,0,0,176
"HIMACHAL PRADESH","Hamirpur",443,525,1,0,969
"HIMACHAL PRADESH","Kangra",1693,1823,48,4,3568
"HIMACHAL PRADESH","Kullu",102,80,0,0,182
"HIMACHAL PRADESH","Mandi",791,769,8,0,1568
"HIMACHAL PRADESH","Shimla",33,39,0,0,72
"HIMACHAL PRADESH","Sirmaur",1061,985,83,1,2130
"HIMACHAL PRADESH","Solan",603,812,13,1,1429
"HIMACHAL PRADESH","Una",206,1093,7,15,1321
"JAMMU & KASHMIR","Anantnagh",1598,614,0,0,2212
"JAMMU & KASHMIR","Baramulla",17238,974,0,0,18212
"JAMMU & KASHMIR","Jammu",930,640,0,0,1570
"JAMMU & KASHMIR","Kathua",200,112,0,0,312
