-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to ownership . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.2.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to ownership for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.2.csv"
}
-----
State,District,Block,Government,Cooperative Societies,Panchayat,Group of farmers,Individual farmers,Others,Total
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,0,0,0,3,153,0,156
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,0,0,1,7,100,0,108
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,0,0,0,0,35,0,35
ANDHRA PRADESH,CHITTOOR,KUPPAM,0,0,0,17,57,0,74
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,0,0,0,66,118,0,184
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,0,0,0,3,297,0,300
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,0,0,0,18,88,0,106
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,0,0,0,1,120,0,121
ANDHRA PRADESH,CHITTOOR,NAGARI,0,0,0,0,370,0,370
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,0,0,0,1,134,0,135
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,0,0,0,11,137,0,148
ANDHRA PRADESH,CHITTOOR,NINDRA,0,0,0,36,362,0,398
ANDHRA PRADESH,CHITTOOR,PAKALA,0,0,0,15,10,0,25
ANDHRA PRADESH,CHITTOOR,PALAMANERU,0,0,0,2,105,0,107
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,0,0,0,3,59,0,62
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,0,0,0,0,59,0,59
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,0,0,0,1,171,0,172
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,0,0,0,34,208,0,242
ANDHRA PRADESH,CHITTOOR,PENUMURU,0,0,0,33,64,0,97
ANDHRA PRADESH,CHITTOOR,PICHATURU,0,0,0,10,80,0,90
ANDHRA PRADESH,CHITTOOR,PILERU,0,0,0,0,26,0,26
ANDHRA PRADESH,CHITTOOR,PULICHERLA,0,0,0,1,203,0,204
ANDHRA PRADESH,CHITTOOR,PUNGANURU,0,0,0,2,195,0,197
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,0,0,0,1,128,0,129
ANDHRA PRADESH,CHITTOOR,PUTTURU,0,0,0,36,144,0,180
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,0,0,0,4,54,0,58
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,0,0,0,0,4,0,4
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,0,0,0,26,363,0,389
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,0,0,0,0,148,0,148
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,0,0,0,0,45,0,45
ANDHRA PRADESH,CHITTOOR,SODAM,0,0,0,0,27,0,27
ANDHRA PRADESH,CHITTOOR,SOMALA,0,0,0,9,50,0,59
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,0,0,0,36,220,0,256
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,0,0,0,7,202,0,209
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,0,0,0,0,11,0,11
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,0,1,0,50,528,0,579
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),0,0,0,9,351,0,360
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),0,0,0,4,18,1,23
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,0,0,0,30,261,0,291
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,0,0,0,4,360,0,364
ANDHRA PRADESH,CHITTOOR,VAYALPAD,0,0,0,17,84,0,101
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,0,0,0,4,59,0,63
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,0,0,0,1,83,0,84
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,0,0,0,9,126,0,135
ANDHRA PRADESH,CHITTOOR,YADAMARI,0,0,0,0,18,0,18
ANDHRA PRADESH,CHITTOOR,YERPEDU,0,0,0,73,912,0,985
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,0,0,0,0,39,0,39
ANDHRA PRADESH,CUDDAPAH,ATLUR,0,0,0,11,24,0,35
ANDHRA PRADESH,CUDDAPAH,B.KODUR,0,0,0,72,52,0,124
ANDHRA PRADESH,CUDDAPAH,BADVEL,0,4,0,44,35,0,83
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,0,0,0,8,25,0,33
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,0,0,0,9,384,0,393
ANDHRA PRADESH,CUDDAPAH,CHAPAD,0,0,0,131,777,0,908
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,0,0,0,2,9,0,11
ANDHRA PRADESH,CUDDAPAH,CHENNUR,0,0,0,15,208,0,223
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,0,0,0,5,17,0,22
ANDHRA PRADESH,CUDDAPAH,CHITVEL,0,0,0,51,711,0,762
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,0,0,0,1,0,0,1
ANDHRA PRADESH,CUDDAPAH,DUVVUR,0,0,0,10,168,0,178
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,0,0,0,0,18,0,18
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,1,0,0,53,103,0,157
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,0,0,0,13,941,0,954
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,0,0,0,7,468,0,475
ANDHRA PRADESH,CUDDAPAH,KODUR,0,0,0,28,35,0,63
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,0,0,0,8,1197,0,1205
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,0,0,0,0,6,0,6
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,0,0,0,21,76,0,97
ANDHRA PRADESH,CUDDAPAH,NANDALUR,0,0,0,0,229,0,229
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,0,0,0,9,0,9
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,0,0,0,2,338,0,340
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,0,0,0,293,985,0,1278
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,0,0,0,10,86,0,96
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,0,0,0,0,778,0,778
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,0,0,0,0,48,0,48
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,0,0,0,0,121,1,122
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,0,0,0,49,167,0,216
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,0,0,0,2,28,0,30
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,0,0,0,1,2,0,3
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,0,0,0,4,51,0,55
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,0,0,0,263,694,0,957
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,0,0,0,6,5,0,11
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,0,0,0,0,374,0,374
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,0,0,0,11,656,0,667
ANDHRA PRADESH,CUDDAPAH,THONDUR,0,0,0,8,21,0,29
ANDHRA PRADESH,CUDDAPAH,VALLUR,0,0,0,0,399,0,399
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,0,0,31,236,0,267
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,0,0,0,7,271,0,278
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,0,0,0,1,579,0,580
ANDHRA PRADESH,CUDDAPAH,VEMULA,0,0,0,5,109,0,114
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,0,0,0,3,25,0,28
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,0,0,0,1,152,0,153
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,0,0,0,0,31,0,31
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,0,4,0,4,605,0,613
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,6,0,0,0,547,0,553
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,0,0,0,0,106,0,106
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,0,0,0,0,492,0,492
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,1,0,0,16,1264,0,1281
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,2,2,2,1,214,1,222
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,0,0,0,0,1303,0,1303
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,0,0,0,0,135,1,136
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,0,0,0,0,610,4,614
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,2,0,0,0,155,0,157
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,0,0,0,1,31,0,32
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,0,0,0,0,54,0,54
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,0,0,0,0,139,0,139
ANDHRA PRADESH,EAST GODAVARI,KADIAM,1,0,0,4,1731,0,1736
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,0,0,0,0,51,0,51
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,0,0,0,0,52,0,52
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,1,0,1,28,709,0,739
ANDHRA PRADESH,EAST GODAVARI,KARAPA,0,0,0,0,19,0,19
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,2,0,0,7,702,0,711
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,0,0,0,0,360,0,360
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,0,0,0,0,232,0,232
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,0,0,0,0,75,0,75
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,0,0,0,0,1256,0,1256
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,0,0,0,0,301,0,301
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,0,0,0,0,430,0,430
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,0,1,0,0,729,0,730
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,0,0,1,144,394,25,564
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,0,0,0,0,789,0,789
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,0,0,0,0,301,0,301
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,0,0,0,0,259,0,259
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,0,0,0,3,328,0,331
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,0,0,0,1,604,0,605
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,0,0,0,10,293,0,303
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,0,0,0,4,204,0,208
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,0,0,0,0,2,0,2
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,0,0,1,0,574,0,575
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,0,0,0,0,17,0,17
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,0,0,0,41,1025,0,1066
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,0,0,0,0,371,0,371
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,0,0,0,0,130,0,130
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,0,0,0,0,64,2,66
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,0,0,0,18,264,0,282
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,2,1,0,1,633,0,637
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,0,0,0,23,6,0,29
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,0,0,0,6,371,0,377
ANDHRA PRADESH,EAST GODAVARI,TUNI,0,0,11,0,446,0,457
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,0,0,0,0,42,0,42
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,2,0,0,0,1009,0,1011
ANDHRA PRADESH,GUNTUR,ACHAMPET,0,0,0,0,11,0,11
ANDHRA PRADESH,GUNTUR,AMARAVATHI,0,0,0,0,302,0,302
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,0,0,0,0,211,0,211
ANDHRA PRADESH,GUNTUR,BAPATLA,4,0,0,0,24,0,28
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,0,0,0,0,50,0,50
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,0,0,0,0,958,0,958
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,0,0,0,0,158,0,158
ANDHRA PRADESH,GUNTUR,CHEBROLE,0,0,0,0,31,0,31
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,0,0,0,0,99,0,99
ANDHRA PRADESH,GUNTUR,DACHEPALLE,0,0,0,0,45,0,45
ANDHRA PRADESH,GUNTUR,DUGGIRALA,0,0,0,96,1365,0,1461
ANDHRA PRADESH,GUNTUR,DURGI,0,0,0,0,31,0,31
ANDHRA PRADESH,GUNTUR,EDLAPADU,0,0,0,0,32,0,32
ANDHRA PRADESH,GUNTUR,GUNTUR,0,0,0,0,30,0,30
ANDHRA PRADESH,GUNTUR,GURAZALA,0,0,0,0,63,0,63
ANDHRA PRADESH,GUNTUR,IPUR,0,0,0,3,11,0,14
ANDHRA PRADESH,GUNTUR,KAREMPUDI,0,0,0,0,66,0,66
ANDHRA PRADESH,GUNTUR,KARLAPALEM,0,0,0,0,40,0,40
ANDHRA PRADESH,GUNTUR,KOLLIPARA,0,0,0,525,1150,0,1675
ANDHRA PRADESH,GUNTUR,KOLLUR,0,0,0,21,2512,0,2533
ANDHRA PRADESH,GUNTUR,KROSURU,0,0,0,0,4,0,4
ANDHRA PRADESH,GUNTUR,MACHERLA,1,0,0,0,107,0,108
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,0,0,0,259,630,1,890
ANDHRA PRADESH,GUNTUR,NADENDLA,0,0,0,0,1,0,1
ANDHRA PRADESH,GUNTUR,NAGARAM,0,0,0,0,33,0,33
ANDHRA PRADESH,GUNTUR,NARASARAOPET,0,0,0,0,3,0,3
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,0,0,0,0,5,0,5
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,0,0,0,0,57,0,57
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,16,1,0,0,72,0,89
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,0,0,0,0,5,0,5
ANDHRA PRADESH,GUNTUR,PONNUR,0,0,0,0,961,0,961
ANDHRA PRADESH,GUNTUR,PRATHIPADU,0,0,0,0,21,0,21
ANDHRA PRADESH,GUNTUR,RAJUPALEM,0,0,0,0,25,0,25
ANDHRA PRADESH,GUNTUR,RENTACHINTALA,0,0,1,0,28,0,29
ANDHRA PRADESH,GUNTUR,REPALLE,0,0,0,0,88,0,88
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,0,0,0,0,1,0,1
ANDHRA PRADESH,GUNTUR,SAV'PURAM KANUM'PUDI,0,0,0,0,6,0,6
ANDHRA PRADESH,GUNTUR,TADEPALLE,0,6,0,383,630,0,1019
ANDHRA PRADESH,GUNTUR,TADIKONDA,30,0,0,2,295,0,327
ANDHRA PRADESH,GUNTUR,TENALI,1,0,0,2,856,0,859
ANDHRA PRADESH,GUNTUR,THULLUR,0,0,0,5,2050,0,2055
ANDHRA PRADESH,GUNTUR,TSUNDUR,0,0,0,0,532,0,532
ANDHRA PRADESH,GUNTUR,VELDURTHY,0,0,0,0,413,0,413
ANDHRA PRADESH,GUNTUR,VEMURU,0,0,0,0,534,0,534
ANDHRA PRADESH,GUNTUR,VINUKONDA,0,0,0,0,17,0,17
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,4,0,0,0,53,0,57
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,1,0,0,0,13,0,14
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,0,0,0,4,6,0,10
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,0,0,0,0,19,0,19
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,0,0,0,1,41,0,42
ANDHRA PRADESH,KARIMNAGAR,DHARMAPURI,1,0,0,0,0,0,1
ANDHRA PRADESH,KARIMNAGAR,ELKATHURTHI,7,0,0,5,52,0,64
ANDHRA PRADESH,KARIMNAGAR,ELLANTHAKUNTA,0,0,0,0,7,0,7
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,0,0,0,0,7,0,7
ANDHRA PRADESH,KARIMNAGAR,HUSNABAD,0,0,0,0,5,3,8
ANDHRA PRADESH,KARIMNAGAR,HUZURABAD,0,0,0,0,4,0,4
ANDHRA PRADESH,KARIMNAGAR,IBRAHIMPATNAM,0,0,0,3,0,0,3
ANDHRA PRADESH,KARIMNAGAR,KATHLAPUR,0,0,0,0,11,0,11
