-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "ArunachalGSDPcurrent.csv", 
 "title": "Download CSV for Arunachal Pradesh Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/ArunachalGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","28445","28818","31191","35700","39133","41411","49706","54064","53652","55021","60520","58119"
"Foresty and Logging","9529","12214","11919","11985","5702","7459","7682","7522","8119","9742","8799","9391"
"Fishing","831","879","942","1017","1297","1403","1459","1536","1730","1730","1766","1776"
"Mining and Quarrying","1536","1113","959","1094","1082","1314","1950","3445","3422","6034","6338","6863"
"Sub total of primary","40341","43024","45011","49796","47214","51587","60797","66567","66923","72527","77423","76149"
"Manufacturing","3359","3891","4807","6189","5396","5817","5730","5894","6457","6480","6802","7265"
"Registered","0","0","0","0","0","0","0","0","0","0","0","0"
"Unregistered","3359","3891","4807","6189","5396","5817","5730","5894","6457","6480","6802","7265"
"Construction","17150","16612","29920","21141","20744","21305","19502","23209","29205","36117","47543","52173"
"Electricity, Gas and water Supply","595","3258","2681","2750","5652","9149","8785","4795","5429","7464","10025","11433"
"Sub total of secondary","21104","23761","37408","30080","31792","36271","34017","33898","41091","50061","64370","70871"
"Transport Storage and Communication","3219","3687","4161","4796","7756","8781","9912","11098","11899","12941","14287","14970"
"Railways","5","4","4","4","4","2","2","1","2","19","19","19"
"Transport by other means","2758","3186","3490","4060","6790","7798","8530","9063","9729","10044","10940","11623"
"Storage","2","2","2","2","2","3","3","4","4","4","4","4"
"Communication","454","495","665","730","960","978","1377","2030","2164","2874","3324","3324"
"Trade, hotels and restaurants","5485","5184","5728","6668","7176","6109","6832","7032","8243","8558","9124","9513"
"Banking and Insurance","1025","1161","1426","1810","2001","2608","2885","3977","4719","4881","5592","5592"
"Real estate, ownership of dwelling and business","1877","1990","2161","2356","2755","3235","3935","4764","5250","4510","4904","5318"
"Pubic Administration","8934","10159","11549","13707","19920","23315","26837","30442","33406","33524","36985","40302"
"Other Services","7326","7999","10996","12016","15038","19610","17764","20566","22529","25185","29720","32922"
"Sub total of tertiary","27866","30180","36021","41353","54646","63658","68165","77879","86046","89599","100612","108617"
"State domestic product","89311","96965","118440","121229","133652","151516","162979","178344","194060","212187","242405","255637"

"Figures are in Rs. Lakh"
