-----
{
 "description": "The table provides India's Share in World Exports by Commodity Divisions and Groups (in US $ Mn) for the years 1970, 1975, 1980, 1985, 1990, 2000, 2010 and 2011. It gives details regarding World exports, India's exports and the percentage share of India's exports.", 
 "file_name": "tab75.xls", 
 "title": "Download XLS for India&#039;s Share in World Exports by Commodity Divisions and Groups(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab75.xls"
}
-----
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"7.5 INDIA’S SHARE IN WORLD EXPORTS BY COMMODITY DIVISIONS AND GROUPS","","","","","","","",""
"","","","","","","","",""
"","","","","","","","(US $ million)",""
"Div.","Code","Commodity","","","","","",""
"Sl. No.","Group","Division/Group",1970.0,"","",1975.0,"",""
"","","","World","India","India’s","World","India","India’s"
"","","","","","share","","","share"
"","","","","","(%)","","","(%)"
"05","","Vegetables and fruits",24018.0,259.0,1.1,23606.0,332.0,1.4
"06","","Sugar, sugar preparations and honey",16183.0,46.0,0.3,10113.0,0.0,0.0
"07","","Coffee, tea, cocoa, spices and manufactures",22121.0,879.0,4.0,20779.0,971.0,4.7
"","071","Coffee and coffee substitutes",12979.0,271.0,2.1,11676.0,226.0,1.9
"","074","Tea and mate",1631.0,452.0,27.7,1973.0,517.0,26.2
"","075","Spices",1072.0,156.0,14.5,1188.0,229.0,19.3
"08","","Feeding stuff for animals",10322.0,164.0,1.6,8515.0,127.0,1.5
12.0,"","Tobacco and tobacco manufactures",3423.0,151.0,4.4,7822.0,140.0,1.8
"",121.0,"Unmanufactured tobacco and refuse",3423.0,151.0,4.4,3798.0,113.0,3.0
"",122.0,"Manufactured tobacco","…","…","…",4024.0,27.0,0.7
22.0,"","Oilseeds and oleaginous fruit",9487.0,30.0,0.3,7896.0,20.0,0.3
28.0,"","Metalliferous ores and metal scrap",30239.0,465.0,1.5,23137.0,557.0,2.4
"",281.0,"Iron ore and concentrates",6515.0,411.0,6.3,6154.0,478.0,7.8
51.0,"","Organic chemicals",31841.0,17.0,0.1,36923.0,25.0,0.1
52.0,"","Inorganic chemicals",15491.0,26.0,0.2,16318.0,22.0,0.1
53.0,"","Dyeing, tanning and colouring materials",7986.0,65.0,0.8,8024.0,62.0,0.8
54.0,541.0,"Medicinal and pharmaceutical products",13918.0,109.0,0.8,15920.0,130.0,0.8
55.0,"","Essential oils and perfume materials",7647.0,86.0,1.1,8136.0,56.0,0.7
"","","soap, cleansing etc.","","","","","",""
58.0,"","Artificial resins, plastic materials,",27223.0,3.0,0.0,28456.0,5.0,0.0
"","","cellulose esters & ethers","","","","","",""
59.0,"","Chemical materials and products n.e.s.",15960.0,8.0,0.0,16613.0,28.0,0.2
61.0,"","Leather, leather manufactures & dressed fur skins",5967.0,405.0,6.8,6444.0,534.0,8.3
"",611.0,"Leather",3415.0,342.0,10.0,4185.0,331.0,7.9
"",612.0,"Manufactures of leather or of composition leather",975.0,62.0,6.3,1233.0,202.0,16.4
"",613.0,"Fur skins,tanned or dressed etc.",1577.0,1.0,0.1,1026.0,0.0,0.0
65.0,"","Textile yarn, fabrics, made-up articles",48884.0,1145.0,2.3,48218.0,1037.0,2.1
"",652.0,"Woven cotton fabrics",6632.0,351.0,5.3,6804.0,327.0,4.8
"",653.0,"Woven fabrics of man made fibres",9325.0,44.0,0.5,9735.0,20.0,0.2
"",654.0,"Woven fabrics other than of cotton or",3188.0,204.0,6.4,3462.0,167.0,4.8
"","","man-made fibres","","","","","",""
66.0,667.0,"Pearls, precious and semi-precious stones",18563.0,579.0,3.1,12073.0,1165.0,9.6
67.0,"","Iron and steel",68231.0,87.0,0.1,61891.0,46.0,0.1
69.0,"","Manufactures of metals n.e.s.",36840.0,221.0,0.6,32884.0,125.0,0.4
71.0,"","Power-generating machinery & equipment",35722.0,88.0,0.2,38433.0,59.0,0.2
72.0,"","Machinery specialized for particular industries",58495.0,65.0,0.1,54707.0,97.0,0.2
73.0,"","Metal-working machinery",15671.0,32.0,0.2,12696.0,55.0,0.4
74.0,"","General industrial machinery & equipment","","","","","",""
"","","& machine parts thereof",59443.0,67.0,0.1,53954.0,60.0,0.1
75.0,"","Office machinery and ADP equipment",24750.0,2.0,0.0,53604.0,30.0,0.1
76.0,"","Telecommunication and sound recording and",26799.0,11.0,0.0,47318.0,4.0,0.0
"","","reproducing apparatus and equipment","","","","","",""
77.0,"","Electrical machinery, apparatus and","","","","","",""
"","","appliances",60947.0,114.0,0.2,75739.0,121.0,0.2
78.0,"","Road vehicles (including air cushion vehicles)",127347.0,208.0,0.2,157446.0,126.0,0.1
79.0,"","Other transport equipment",41291.0,32.0,0.1,50709.0,27.0,0.1
84.0,"","Articles of apparel and clothing accessories",32365.0,590.0,1.8,38718.0,887.0,2.3
"","","Total exports",1997686.0,8486.0,0.4,1930849.0,8904.0,0.5
"","","","","","","","",""
"","","","","","","","","Contd…"
"","","","","","","","",""
"7.5 INDIA’S SHARE IN WORLD EXPORTS BY COMMODITY DIVISIONS AND GROUPS","","","","","","","",""
"","","","","","","","",""
"","","","","","","","(US $ million)",""
"Div.","Code","Commodity","","","","","",""
"Sl. No.","Group","Division/Group",1990.0,"","",2000.0,"",""
"","","","World","India","India’s","World","India","India’s"
"","","","","","share","","","share"
"","","","","","(%)","","","(%)"
1.0,2.0,3.0,16.0,17.0,18.0,19.0,20.0,21.0
"01","","Meat and meat preparations",34118.0,77.0,0.2,44690.0,324.0,0.7
"03","","Fish, crustaceans and molluscs & preparations",32847.0,521.0,1.6,50875.0,1391.0,2.7
"04","","Cereals and cereal preparations",45314.0,285.0,0.6,53575.0,783.0,1.5
"","042","Rice",3995.0,254.0,6.4,6411.0,654.0,10.2
"05","","Vegetables and fruits",50225.0,400.0,0.8,68355.0,856.0,1.3
"06","","Sugar, sugar preparations and honey",14236.0,21.0,0.1,13866.0,118.0,0.9
