-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 2004-05.", 
 "file_name": "KeralaGSDPconst_1.csv", 
 "title": "Download CSV for Kerala Gross State Domestic Product at factor cost at Constant Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/KeralaGSDPconst_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Agriculture","1698051","1804197","1656785","1619660","1653394","1603666","1530824","1506261"
"Foresty and Logging","204902","213539","213958","226310","233860","240981","230184","234820"
"Fishing","181422","170480","180024","179544","178403","188681","179413","179267"
"Ag and Allied","2084375","2188216","2050767","2025514","2065657","2033328","1940421","1920349"
"Mining and Quarrying","45778","58472","53043","54702","59993","80727","66747","72140"
"Sub total of primary","2130153","2246688","2103810","2080216","2125650","2114055","2007167","1992489"
"Manufacturing","1022058","1043330","1117876","1316450","1344072","1348502","1461866","1555314"
"Registered","457614","455214","452281","554630","600176","585521","649660","691006"
"Unregistered","564444","588116","665595","761820","743896","762981","812206","864308"
"Construction","1448764","1671427","1791384","1829682","1871452","2083035","2268770","2447206"
"Electricity, Gas and water Supply","218290","232570","245415","256718","197394","232353","240132","247262"
"Sub total of secondary","2689112","2947327","3154675","3402850","3412918","3663889","3970768","4249782"
"Industry","2734890","3005799","3207718","3457552","3472911","3744616","4037515","4321923"
"Transport Storage and Communication","1183377","1344344","1555729","1784251","2082243","2457058","2850133","3381571"
"Railways","54765","56042","57065","54662","75680","83551","88307","96327"
"Transport by other means","831308","914669","974834","1035982","1151851","1321096","1402653","1531064"
"Storage","5063","5175","6145","7218","7401","8134","9272","10274"
"Communication","292241","368458","517685","686389","847311","1044277","1349901","1743905"
"Trade, hotels and restaurants","2387056","2695343","2974819","3189636","3338085","3759878","4100806","4489441"
"Banking and Insurance","606049","720111","841525","973608","1090091","1203497","1366181","1564873"
"Real estate, ownership of dwelling and business","1301911","1452642","1631372","1801052","1966731","2056185","2169396","2362963"
"Pubic Administration","497921","533305","602581","690517","710628","691719","782843","845621"
"Other Services","1130821","1189633","1302158","1487138","1539574","1810853","1939382","2123976"
"Sub total of tertiary","7107135","7935378","8908184","9926202","10727352","11979191","13208741","14768446"
"State domestic product","11926400","13129393","14166669","15409268","16265920","17757135","19186676","21010717"

"Figures are in Rs. Lakh"
