-----
{
 "description": "This data pertains to public account disbursements (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Disbursements_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to revenue receipts (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Revenue_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Revenue Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Revenue_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to public account receipts (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to total expenditure and disbursements (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Total_Expenditure_And_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Total Expenditure And Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Total_Expenditure_And_Disbursements_FY_2000-11.xls"
}
-----
"Sector","Data","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"P-RE","A UT Puducherry",207.5154,221.7268,246.1947,271.689,331.48,431.1617,646.5397,697.9426,843.5966,822.9991,1088.5926,1220.9053
"P-RE","Andhra Pradesh",2614.2697,4237.9298,5157.8797,5287.036,6815.1608,6735.0798,6482.9786,9518.715,13900.5854,18992.2182,15441.8228,19701.1729
"P-RE","Arunachal Pradesh",297.6697,371.4407,454.4813,422.4702,550.7197,579.0297,723.672,811.0087,1043.6731,1142.6547,1135.1681,1211.1616
"P-RE","Assam",1239.5745,1269.8249,1446.3985,1332.2078,1429.2294,2021.38,2129.016,1662.5061,2067.3828,3110.6541,4168.9091,5055.9679
"P-RE","Bihar",1541.5416,838.5743,867.6485,1354.4375,1083.5371,1995.6362,2735.9479,4065.3057,4803.9772,7280.2851,8438.7958,10899.4967
"P-RE","Chattisgarh",0.0,295.434,1016.4421,1269.7178,1541.0461,1620.0706,2008.3886,2608.4145,3575.5958,5420.9536,6817.7975,8069.3557
"P-RE","D NCT Delhi",882.6739,967.746,1955.0146,1218.2043,1321.9213,1392.1194,1648.4428,2020.6564,3329.0105,3944.1357,4742.7635,4891.5832
"P-RE","Goa",122.4359,141.0585,182.6187,218.513,283.99,365.1868,414.681,483.8108,565.5004,618.845,758.5502,927.1254
"P-RE","Gujarat",2679.989,3001.1757,1820.8018,2066.7634,3700.0477,4672.3437,4319.5875,5761.4109,8458.4542,11088.0788,14330.8477,17553.3199
"P-RE","Haryana",901.3377,991.709,1197.5934,1049.15,1124.346,1452.704,2014.8041,2454.1194,3175.5092,3917.9138,5714.7662,6251.4931
"P-RE","Himachal Pradesh",1082.5971,1282.3152,1201.9129,1386.2155,843.4072,978.0663,1182.2294,1406.6907,1313.9074,1038.7566,1237.5572,1651.7079
"P-RE","Jammu and Kashmir",704.1388,734.8595,813.6955,895.7304,947.3753,1065.1953,1196.2534,833.0463,523.1945,312.9909,553.2447,908.8819
"P-RE","Jharkhand",0.0,191.5183,1261.8709,1025.8998,1090.9885,1980.1793,2138.4284,2431.686,2979.8812,3813.1991,3758.4773,6003.8145
"P-RE","Karnataka",2991.9103,3481.3344,3943.4119,3245.0247,3552.7185,5124.6231,5068.6751,7852.5378,8312.8188,10530.3081,12302.681,15187.4269
"P-RE","Kerala",2056.3675,1940.4896,1765.5195,3054.2431,2394.5937,3106.0146,3222.7207,2308.4373,2277.2873,3211.8571,4179.0544,4195.7471
"P-RE","Madhya Pradesh",2727.4402,2682.775,2516.0677,3520.3011,2816.1375,3165.1758,4212.4791,5452.0757,6806.2926,7621.5862,9837.6833,12910.7262
"P-RE","Maharastra",2840.5614,2921.2052,2881.0299,3244.4043,3544.7057,4654.0986,5231.7021,8235.0812,10275.4295,12408.308,16736.9277,16927.5815
"P-RE","Manipur",258.4,188.2961,198.7509,138.6866,204.3739,254.8727,412.0337,419.9995,479.9095,490.0554,709.8938,1098.5685
