-----
{
 "description": "This table gives an overview of the performance of Habitation coverage-Bharat Nirman.", 
 "file_name": "Habitation_Coverage.xls", 
 "title": "Download XLS for Habitation Coverage-Bharat Nirman", 
 "url": "http://data.gov.in/sites/default/files/Habitation_Coverage.xls"
}
-----
"Unit","Total Eligible","Projects Cleared (Sanctioned)","Completed"
"Habitations  (in Nos.)",63940.0,58387.0,44089.0
