-----
{
 "description": "The table refers to block wise surface lift schemes according to water distribution system. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.8.csv", 
 "title": "Download CSV for Blockwise surface lift Schemes according to water distribution system for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.8.csv"
}
-----
"State","District","Block","Sprinkler","Drip irrigation","Open channel","Under ground channel","Others","Total"
"ANDHRA PRADESH","GUNTUR","KAKUMANU",0,6,0,0,0,6
"ANDHRA PRADESH","GUNTUR","KARLAPALEM",0,0,26,0,0,26
"ANDHRA PRADESH","GUNTUR","KOLLUR",0,0,9,0,0,9
"ANDHRA PRADESH","GUNTUR","KROSURU",0,0,63,19,0,82
"ANDHRA PRADESH","GUNTUR","MACHERLA",0,0,0,0,4,4
"ANDHRA PRADESH","GUNTUR","MANGALAGIRI",0,0,6,0,0,6
"ANDHRA PRADESH","GUNTUR","MUPPALLA",0,0,13,0,0,13
"ANDHRA PRADESH","GUNTUR","NADENDLA",0,0,22,6,0,28
"ANDHRA PRADESH","GUNTUR","NAGARAM",0,0,108,0,0,108
"ANDHRA PRADESH","GUNTUR","NARASARAOPET",0,0,2,0,0,2
"ANDHRA PRADESH","GUNTUR","NIZAMPATNAM",0,0,30,0,0,30
"ANDHRA PRADESH","GUNTUR","NUZENDLA",1,0,92,0,0,93
"ANDHRA PRADESH","GUNTUR","PEDAKAKANI",0,0,2,0,0,2
"ANDHRA PRADESH","GUNTUR","PEDAKURAPADU",0,0,2,1,0,3
"ANDHRA PRADESH","GUNTUR","PEDANANDIPADU",0,3,0,0,0,3
"ANDHRA PRADESH","GUNTUR","PHIRANGIPURAM",0,0,2,1,0,3
"ANDHRA PRADESH","GUNTUR","PITTALAVANIPALEM",0,0,18,0,0,18
"ANDHRA PRADESH","GUNTUR","PONNUR",0,0,44,0,0,44
"ANDHRA PRADESH","GUNTUR","RAJUPALEM",0,0,1,46,0,47
"ANDHRA PRADESH","GUNTUR","REPALLE",0,0,54,0,0,54
"ANDHRA PRADESH","GUNTUR","SATTENAPALLE",0,0,48,43,0,91
"ANDHRA PRADESH","GUNTUR","SAV'PURAM KANUM'PUDI",0,0,20,0,0,20
"ANDHRA PRADESH","GUNTUR","TADEPALLE",0,0,70,0,0,70
"ANDHRA PRADESH","GUNTUR","TADIKONDA",0,0,40,0,0,40
"ANDHRA PRADESH","GUNTUR","TENALI",0,0,1,0,0,1
"ANDHRA PRADESH","GUNTUR","THULLUR",0,0,6,0,0,6
"ANDHRA PRADESH","GUNTUR","VATTICHERUKURU",0,0,3,0,0,3
"ANDHRA PRADESH","GUNTUR","VEMURU",0,0,7,0,0,7
"ANDHRA PRADESH","GUNTUR","VINUKONDA",0,0,133,0,0,133
"ANDHRA PRADESH","KARIMNAGAR","CHIGURUMAMIDI",0,0,3,0,0,3
"ANDHRA PRADESH","KARIMNAGAR","GAMBHIRAOPET",0,0,1,39,0,40
"ANDHRA PRADESH","KARIMNAGAR","KATARAM",0,0,1,0,0,1
"ANDHRA PRADESH","KARIMNAGAR","MALHARRAO MANDAL",0,0,1,0,0,1
"ANDHRA PRADESH","KARIMNAGAR","MANTHANI",0,0,8,0,0,8
"ANDHRA PRADESH","KARIMNAGAR","MANTHANI",0,0,53,14,0,67
"ANDHRA PRADESH","KARIMNAGAR","MUSTABAD",0,0,54,0,0,54
"ANDHRA PRADESH","KARIMNAGAR","ODELA",0,0,0,12,0,12
"ANDHRA PRADESH","KARIMNAGAR","RAIKAL",0,0,0,2,0,2
"ANDHRA PRADESH","KARIMNAGAR","SRIRAMPUR",0,0,141,0,0,141
"ANDHRA PRADESH","KARIMNAGAR","THIMMAPUR",0,0,1,4,0,5
"ANDHRA PRADESH","KARIMNAGAR","VELGATOOR",0,0,9,35,0,44
"ANDHRA PRADESH","KHAMMAM","ASWAPURAM",0,0,49,0,33,82
"ANDHRA PRADESH","KHAMMAM","ASWARAOPETA",0,0,31,0,0,31
"ANDHRA PRADESH","KHAMMAM","BAYYARAM",0,0,147,0,0,147
"ANDHRA PRADESH","KHAMMAM","BHADRACHALAM",0,0,100,0,0,100
"ANDHRA PRADESH","KHAMMAM","BONAKAL",0,0,33,0,0,33
"ANDHRA PRADESH","KHAMMAM","BURGAMPADU",0,0,140,0,0,140
"ANDHRA PRADESH","KHAMMAM","CHANDRUGONDA",0,0,33,0,3,36
"ANDHRA PRADESH","KHAMMAM","CHERLA",0,0,96,0,0,96
"ANDHRA PRADESH","KHAMMAM","CHINTHAKANI",0,0,25,0,0,25
"ANDHRA PRADESH","KHAMMAM","CHINTUR",0,0,152,0,0,152
"ANDHRA PRADESH","KHAMMAM","DUMMUGUDEM",0,0,42,0,0,42
"ANDHRA PRADESH","KHAMMAM","ENKURU",0,0,48,0,0,48
"ANDHRA PRADESH","KHAMMAM","GARLA",0,0,98,119,0,217
"ANDHRA PRADESH","KHAMMAM","GUNDALA",0,0,11,0,0,11
"ANDHRA PRADESH","KHAMMAM","JULURPAD",0,0,2,0,0,2
"ANDHRA PRADESH","KHAMMAM","KALLURU",0,0,15,9,0,24
"ANDHRA PRADESH","KHAMMAM","KHAMMAM (RURAL)",0,4,85,106,0,195
"ANDHRA PRADESH","KHAMMAM","KHAMMAM (URBAN)",0,0,3,52,2,57
"ANDHRA PRADESH","KHAMMAM","KOTHAGUDEM",0,0,67,0,94,161
"ANDHRA PRADESH","KHAMMAM","KUKUNOOR",0,0,131,0,0,131
"ANDHRA PRADESH","KHAMMAM","KUNAVARAM",0,0,46,0,577,623
"ANDHRA PRADESH","KHAMMAM","MADHIRA",59,0,183,16,8,266
"ANDHRA PRADESH","KHAMMAM","MANUGUR",0,0,16,24,0,40
"ANDHRA PRADESH","KHAMMAM","MUDIGONDA",0,0,3,1,0,4
"ANDHRA PRADESH","KHAMMAM","MULAKALAPALLE",0,0,184,0,0,184
"ANDHRA PRADESH","KHAMMAM","NELAKONDAPALLE",0,0,3,0,0,3
"ANDHRA PRADESH","KHAMMAM","PALWANCHA",2,0,60,0,180,242
"ANDHRA PRADESH","KHAMMAM","PENUBALLI",0,0,18,3,0,21
"ANDHRA PRADESH","KHAMMAM","PINAPAKA",0,0,11,0,0,11
"ANDHRA PRADESH","KHAMMAM","SATHUPALLE",0,0,30,8,0,38
"ANDHRA PRADESH","KHAMMAM","SINGARENI",0,0,2,0,0,2
"ANDHRA PRADESH","KHAMMAM","TEKULAPALLE",0,0,104,0,20,124
"ANDHRA PRADESH","KHAMMAM","THALLADA",0,0,30,138,1,169
"ANDHRA PRADESH","KHAMMAM","THIRUMALAYAPALEM",0,0,2,1,0,3
"ANDHRA PRADESH","KHAMMAM","VARARAMACHANDRAPURAM",0,0,298,13,101,412
"ANDHRA PRADESH","KHAMMAM","VELAIRPAD",0,0,0,0,134,134
"ANDHRA PRADESH","KHAMMAM","VEMSOOR",0,0,0,1,0,1
"ANDHRA PRADESH","KHAMMAM","VENKATAPURAM",0,0,328,0,23,351
"ANDHRA PRADESH","KHAMMAM","WAZEED",0,0,74,0,0,74
"ANDHRA PRADESH","KHAMMAM","WYRA",0,0,78,0,0,78
"ANDHRA PRADESH","KHAMMAM","YERRUPALEM",0,0,48,0,0,48
"ANDHRA PRADESH","KRISHNA","AGIRIPALLE",0,0,2,0,0,2
"ANDHRA PRADESH","KRISHNA","BAPULAPADU",1,0,12,0,0,13
"ANDHRA PRADESH","KRISHNA","CHANDARLAPADU",0,0,5,0,0,5
"ANDHRA PRADESH","KRISHNA","CHATRAI",0,0,1,0,0,1
"ANDHRA PRADESH","KRISHNA","GAMPALAGUDEM",0,0,3,0,0,3
"ANDHRA PRADESH","KRISHNA","GANNAVARAM",0,0,3,0,0,3
"ANDHRA PRADESH","KRISHNA","IBRAHIMPATNAM",0,0,2,0,0,2
"ANDHRA PRADESH","KRISHNA","JAGGAYYAPETA",0,0,3,0,0,3
"ANDHRA PRADESH","KRISHNA","KAIKALUR",0,0,10,0,0,10
"ANDHRA PRADESH","KRISHNA","KALIDINDI",0,0,4,0,2,6
"ANDHRA PRADESH","KRISHNA","KANCHIKACHERLA",0,0,3,0,0,3
"ANDHRA PRADESH","KRISHNA","MANDAVALLI",0,0,4,0,0,4
