-----
{
 "description": "In addition to the Rashtriya Madhyamik Shiksha Abhiyan (RMSA) five Centrally Sponsored Schemes, namely (i) setting up of Model Schools; (ii) setting up Girls\u2019 Hostels in secondary and senior secondary schools; (iii) National Scheme of Incentive to Girls for Secondary Education (NSIGSE); (iv) ...", 
 "file_name": "Schemes.xls", 
 "title": "Download XLS for Centrally Sponsored Schemes For Secondary Education In The Eleventh Plan", 
 "url": "http://data.gov.in/sites/default/files/Schemes.xls"
}
-----
"Schemes","Start Year","Target","Achievement"
"Model Schools (a)  EBB  ( State Sector KV Template)","2009-10",3500.0,1940.0
"Model Schools (b) Non-EBB (PPP Mode)","2012-13",2500.0,"NA"
"Girls' Hostels","2008-09",3479.0,958.0
"Inclusive Education for Disabled at the Secondary Stage : (a) No. of Beneficiaries ( in lakh)","2009-10","NA",10.76
"Inclusive Education for Disabled at the Secondary Stage : (b) School Covered ( in lakh)","2009-10","NA",2.18
"National Scheme of Incentive for Girls at Secondary Edcuation( in lakh )","2008-09","NA",12.6
"National Means cum Merit Scholarships ( in lakh)","2008-09",4.0,1.04
"No.of Schools Covered under ICT","2009-10( Revised)","NA",90209.0
"No.of Smart Schools Covered under ICT","2009-10( Revised)",150.0,63.0
