-----
{
 "description": "The table refers to district wise distribution of shallow tubewells according to major/medium projects and  average pumping hours . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.11.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells according to major/medium projects and  Average Pumping Hours for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.11.csv"
}
-----
State,District,On the Maj/Med,Outside Command,Total,Avg pumping hours (0-4),Avg pumping hours (4 - 8),Avg pumping hours (8-12),Avg pumping hours (12 -16),Avg pumping hours (16 - 20),Avg pumping hours (20 - 24),Total
ANDHRA PRADESH,ADILABAD,11,7254,7265,1483,3999,1584,87,103,9,7265
ANDHRA PRADESH,ANANTHAPUR,1531,19770,21301,4621,11150,3864,788,268,610,21301
ANDHRA PRADESH,CHITTOOR,93,10045,10138,3040,4772,1718,463,87,58,10138
ANDHRA PRADESH,CUDDAPAH,726,12083,12809,2921,6698,2631,403,152,4,12809
ANDHRA PRADESH,EAST GODAVARI,8735,12112,20847,1004,10959,6550,1350,897,87,20847
ANDHRA PRADESH,GUNTUR,3230,12690,15920,1473,8379,5027,552,449,40,15920
ANDHRA PRADESH,KARIMNAGAR,50,940,990,391,499,49,2,46,3,990
ANDHRA PRADESH,KHAMMAM,44,3790,3834,622,2494,613,36,2,67,3834
ANDHRA PRADESH,KRISHNA,6224,6471,12695,776,7489,3247,726,392,65,12695
ANDHRA PRADESH,KURNOOL,171,8571,8742,2148,4587,1499,160,319,29,8742
ANDHRA PRADESH,MAHABOOB NAGAR,236,21192,21428,8784,7264,3456,854,512,558,21428
ANDHRA PRADESH,MEDAK,389,30517,30906,8210,11967,7773,1780,767,409,30906
ANDHRA PRADESH,NALGONDA,479,13240,13719,3504,5811,3527,421,145,311,13719
ANDHRA PRADESH,NELLORE,11759,18435,30194,1527,16401,8008,3907,287,64,30194
ANDHRA PRADESH,NIZAMABAD,11647,34560,46207,5336,20757,18382,1297,356,79,46207
ANDHRA PRADESH,PRAKASAM,466,10496,10962,1107,7632,1857,271,88,7,10962
ANDHRA PRADESH,RANGA REDDY,384,16070,16454,5713,7531,2039,775,334,62,16454
ANDHRA PRADESH,SRIKAKULUM,2646,3037,5683,1201,3124,1100,122,16,120,5683
ANDHRA PRADESH,VIJAYA NAGARAM,218,3910,4128,1527,1992,584,22,0,3,4128
ANDHRA PRADESH,VISAKHAPATNAM,728,4660,5388,1632,2958,736,51,7,4,5388
ANDHRA PRADESH,WARANGAL,17,3494,3511,1178,1827,309,85,73,39,3511
ANDHRA PRADESH,WEST GODAVARI,4905,9171,14076,2638,3737,6236,972,492,1,14076
ASSAM,BARPETA,0,2363,2363,1829,534,0,0,0,0,2363
ASSAM,BONGAIGAON,0,852,852,355,483,14,0,0,0,852
ASSAM,CACHAR,0,1,1,1,0,0,0,0,0,1
ASSAM,DARRANG,0,2251,2251,721,1510,20,0,0,0,2251
ASSAM,DHEMAJI,0,717,717,639,78,0,0,0,0,717
ASSAM,DHUBRI,0,2488,2488,799,1651,37,1,0,0,2488
ASSAM,DIBRUGARH,0,1461,1461,1029,432,0,0,0,0,1461
ASSAM,GOALPARA,0,381,381,149,232,0,0,0,0,381
ASSAM,GOLAGHAT,0,495,495,415,78,2,0,0,0,495
ASSAM,HAILAKANDI,0,80,80,1,79,0,0,0,0,80
ASSAM,JORHAT,0,1490,1490,346,887,257,0,0,0,1490
ASSAM,KAMRUP,0,1268,1268,928,319,21,0,0,0,1268
ASSAM,KARBI ANGLONG,0,81,81,3,70,8,0,0,0,81
ASSAM,KARIMGANJ,0,84,84,3,81,0,0,0,0,84
ASSAM,KOKRAJHAR,0,758,758,369,389,0,0,0,0,758
ASSAM,LAKHIMPUR,0,1166,1166,1100,66,0,0,0,0,1166
ASSAM,MARIGAON,0,1395,1395,1114,281,0,0,0,0,1395
ASSAM,NAGAON,0,3257,3257,2537,712,8,0,0,0,3257
ASSAM,NALBARI,0,1417,1417,860,557,0,0,0,0,1417
ASSAM,SIBSAGAR,0,788,788,183,605,0,0,0,0,788
ASSAM,SONITPUR,0,2867,2867,1713,1143,11,0,0,0,2867
ASSAM,TINSUKIA,0,1412,1412,318,1094,0,0,0,0,1412
BIHAR,ARARIA,46,13045,13091,617,9525,2692,256,1,0,13091
BIHAR,AURANGABAD,2255,6522,8777,2231,5935,541,45,22,3,8777
BIHAR,BANKA,1697,4228,5925,1191,4285,300,111,38,0,5925
BIHAR,BEGUSARAI,208,21315,21523,3112,17125,1059,180,45,2,21523
BIHAR,BHABUA,2432,9209,11641,2669,7894,980,30,38,30,11641
BIHAR,BHAGALPUR,298,10300,10598,900,9440,238,17,3,0,10598
BIHAR,BHOJPUR,3738,11067,14805,1655,9886,2696,275,224,69,14805
BIHAR,BUXAR,4842,8184,13026,2487,9748,769,13,9,0,13026
BIHAR,CHAMPARAN EAST,2584,28023,30607,4542,23855,2127,70,12,1,30607
BIHAR,CHAMPARAN WEST,2804,18354,21158,4357,14257,2317,166,56,5,21158
BIHAR,CHATRA,0,142,142,32,104,6,0,0,0,142
BIHAR,DARBHANGA,40,11844,11884,996,9975,828,65,20,0,11884
BIHAR,DEOGHAR,0,1,1,1,0,0,0,0,0,1
BIHAR,DHANBAD,0,5,5,3,2,0,0,0,0,5
BIHAR,GAYA,1230,23467,24697,6137,17333,981,200,30,16,24697
BIHAR,GIRIDIH,0,369,369,148,187,34,0,0,0,369
BIHAR,GODDA,21,593,614,124,372,99,16,3,0,614
BIHAR,GOPALGANJ,1007,16173,17180,1317,14248,1427,155,30,3,17180
