-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 2004-05.", 
 "file_name": "PuducherryGSDPcurrent.csv", 
 "title": "Download CSV for Puducherry Gross State Domestic Product at factor cost at Current Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/PuducherryGSDPcurrent.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture","19982","22212","26174","27222","36040","43989","42307","45049","47450"
"Foresty and Logging","3500","4300","5100","6000","7107","8254","9244","9137","10349"
"Fishing","7000","7100","7400","7500","10568","15789","23270","19589","35029"
"Ag and Allied","30482","33612","38674","40722","53715","68032","74821","73775","92828"
"Mining and Quarrying","0","0","0","0","0","0","0","0","0"
"Sub total of primary","30482","33612","38674","40722","53715","68032","74821","73775","92828"
"Manufacturing","204499","363919","319733","342843","380627","464902","503477","476259","540754"
"Registered","168585","324366","272705","288072","321799","403804","439972","413701","474766"
"Unregistered","35914","39553","47028","54771","58828","61098","63505","62558","65988"
"Construction","75301","80214","93383","107762","84221","116703","127156","114639","137047"
"Electricity, Gas and water Supply","9001","11534","12100","10536","14643","16172","18074","16733","20075"
"Sub total of secondary","288801","455667","425216","461141","479491","597777","648707","607631","697876"
"Industry","288801","455667","425216","461141","479491","597777","648707","607631","697876"
"Transport Storage and Communication","20241","19322","27108","30162","34897","41916","50566","55320","67049"
"Railways","66","65","124","142","284","333","390","468","558"
"Transport by other means","10598","12251","15413","16825","18325","20633","23251","26213","29550"
"Storage","63","68","81","97","118","177","239","298","381"
"Communication","9514","6938","11490","13098","16170","20773","26686","28341","36560"
"Trade, hotels and restaurants","109939","144243","170390","193304","180132","196707","214326","215589","233417"
"Banking and Insurance","19013","21212","27028","30913","35463","42476","46893","51340","56340"
"Real estate, ownership of dwelling and business","43947","54413","66063","80258","98069","115152","137431","161472","190668"
"Pubic Administration","19608","27513","23825","25633","45110","51364","65505","83518","113538"
"Other Services","43339","41741","55206","63010","78130","117015","128475","159464","201450"
"Sub total of tertiary","256087","308444","369620","423280","471801","564630","643196","726703","862461"
"State domestic product","575371","797723","833511","925143","1005005","1230437","1366724","1408106","1653165"

"Figures are in Rs. Lakh"
