-----
{
 "description": "The table refers to state wise irrigation potential utilised under surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Natsrfclfttab5.14_1.csv", 
 "title": "Download CSV for Statewise Irrigation potential utilised through surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Natsrfclfttab5.14_1.csv"
}
-----
State,Actual area irrigated - Kharif,Actual area irrigated - Rabi,Actual area irrigated - Perennial,Actual area irrigated - Others,Total
ANDHRA PRADESH,85926,47980,2523,391,136820
ARUNACHAL PRADESH,NA,NA,NA,NA,NA
ASSAM,31156,17845,63,608,49672
BIHAR,23475,18833,788,724,43820
GOA,11,410,2969,315,3705
GUJARAT,NA,NA,NA,NA,NA
HARYANA,712,712,0,0,1424
HIMACHAL PRADESH,5799,6992,160,21,12972
JAMMU & KASHMIR,27707,3972,0,0,31679
KARNATAKA,54470,19947,17572,6390,98378
KERALA,29615,36373,17272,9352,92612
MADHYA PRADESH,50179,548460,3647,535,602821
MAHARASHTRA,NA,NA,NA,NA,NA
MANIPUR,725,951,0,373,2049
MEGHALAYA,806,335,0,0,1141
MIZORAM,93,67,0,0,160
NAGALAND,137,75,0,0,212
ORISSA,49015,59712,3505,308,112540
PUNJAB,4134,4513,17,109,8773
RAJASTHAN,119,8518,1,157,8795
SIKKIM,NA,NA,NA,NA,NA
TAMIL NADU,9428,6330,1444,511,17714
TRIPURA,9029,9644,611,1088,20372
UTTAR PRADESH,16314,19879,1120,612,37925
WEST BENGAL,90303,136789,10816,48598,286506
ANDAMAN & NICOBARS,477,356,255,11,1099
CHANDIGARH,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,299,167,41,10,517
DAMAN & DIU,NA,NA,NA,NA,NA
DELHI,NA,NA,NA,NA,NA
LAKSHADWEEP,NA,NA,NA,NA,NA
PONDICHERRY,0,6,0,324,330
ALL INDIA,489929,948866,62804,70437,1572036
