-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "UttarPradeshGSDPcurrent_1.csv", 
 "title": "Download CSV for Uttar Pradesh Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/UttarPradeshGSDPcurrent_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","3052674","3490996","3802972","4602853","4696871","5184480","5673076","5777944","5971640","6416561","7026837","7526795"
"Foresty and Logging","50782","39625","25581","38699","60141","193273","184058","211557","137988","199938","226173","237633"
"Fishing","36667","39096","41109","42694","46624","55911","60147","67445","74714","83078","93505","98072"
"Mining and Quarrying","61529","75464","97966","109771","124711","155429","183932","208035","219153","257511","235038","242564"
"Sub total of primary","3201652","3645181","3967628","4794017","4928347","5589093","6101213","6264981","6403495","6957088","7581553","8105064"
"Manufacturing","1099046","1452227","1615247","2044099","2062198","2194082","2296554","2242235","2363964","2595542","2880857","3211251"
"Registered","642927","908801","965957","1363754","1225677","1288373","1329535","1265178","1298054","1443337","1556193","1701066"
"Unregistered","456119","543426","649290","680345","836521","905709","967019","977057","1065910","1152205","1324664","1510185"
"Construction","338208","373379","463994","551960","670348","834077","895266","952737","1001178","1152790","1247797","1393114"
"Electricity, Gas and water Supply","288685","354811","440779","465855","562569","701780","698241","561180","497976","550982","591425","562014"
"Sub total of secondary","1725939","2180417","2520020","3061914","3295115","3729939","3890061","3756152","3863118","4299314","4720079","5166379"
"Transport Storage and Communication","429833","498717","560746","661426","741860","844131","933489","990441","1140761","1276339","1377338","1547702"
"Railways","148053","157308","183240","192571","218332","239801","251508","236199","275803","328580","335418","342398"
"Transport by other means","236916","273755","300816","374777","434614","499230","561732","603360","642465","703090","746569","848772"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","44864","67654","76690","94078","88914","105100","120249","150882","222493","244669","295351","356532"
"Trade, hotels and restaurants","1086811","1296198","1507098","1887650","2063713","2122799","2187540","2534813","2490857","2563550","2726969","2945169"
"Banking and Insurance","203741","242372","310362","402529","468421","458225","508355","569342","663753","791249","876762","971517"
"Real estate, ownership of dwelling and business","551100","591433","635384","687364","740496","824412","941119","1081420","1261217","1431365","1593766","1761436"
"Pubic Administration","356813","382228","460229","523636","658526","739432","840533","868852","908678","952926","1093211","1272914"
"Other Services","489220","565367","663479","759264","859595","1077252","1130111","1240837","1398480","1470816","1548447","1797651"
"Sub total of tertiary","3117518","3576315","4137298","4921869","5532611","6066251","6541147","7285705","7863746","8486245","9216493","10296389"
"State domestic product","8045109","9401912","10624946","12777800","13756073","15385284","16532421","17306838","18130359","19742647","21518125","23567832"

"Figures are in Rs. Lakh"
