-----
{
 "description": "The table refers to Block-wise Potential Utilized through Lift Schemes. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.13.csv", 
 "title": "Download CSV for Blockwise Potential Utilized through Lift Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.13.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Kharif,Rabi,Perennial,Others,Total
ANDAMAN & NICOBARS,ANDAMAN,DIGLIPUR,537,90,8,4,639
ANDAMAN & NICOBARS,ANDAMAN,FERRARGUNJ,124,75,5,6,210
ANDAMAN & NICOBARS,ANDAMAN,HUT BAY,54,31,8,1,94
ANDAMAN & NICOBARS,ANDAMAN,MAYABUNDER,114,15,7,3,138
ANDAMAN & NICOBARS,ANDAMAN,PORT BLAIR,169,93,16,1,279
ANDAMAN & NICOBARS,ANDAMAN,RANGAT,260,65,24,8,357
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,18,6,0,0,23
ANDAMAN & NICOBARS,NICOBAR,CAR NICOBAR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,ADILABAD,43,0,0,0,43
ANDHRA PRADESH,ADILABAD,BOATH,68,53,0,0,121
ANDHRA PRADESH,ADILABAD,DANDEPALLE,18,0,0,0,18
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,3,2,0,0,5
ANDHRA PRADESH,ADILABAD,ICHODA,4,0,0,0,4
ANDHRA PRADESH,ADILABAD,JAINAD,180,129,108,0,417
ANDHRA PRADESH,ADILABAD,JANNARAM,1,0,0,0,1
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,7,2,0,0,8
ANDHRA PRADESH,ADILABAD,KASIPET,289,55,0,0,344
ANDHRA PRADESH,ADILABAD,KERAMERI,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KUNTALA,29,9,0,0,39
ANDHRA PRADESH,ADILABAD,LUXETTIPET,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,MANCHERIAL,104,28,0,0,133
ANDHRA PRADESH,ADILABAD,MANDAMARRI,105,36,0,0,141
ANDHRA PRADESH,ADILABAD,MUDHOLE,364,0,0,0,364
ANDHRA PRADESH,ADILABAD,NERADIGONDA,193,16,0,0,209
ANDHRA PRADESH,ADILABAD,NIRMAL,42,25,0,0,67
ANDHRA PRADESH,ADILABAD,TALAMADUGU,190,19,0,0,210
ANDHRA PRADESH,ANANTHAPUR,GOOTY,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,33,33,0,0,67
ANDHRA PRADESH,CUDDAPAH,ATLUR,40,53,0,0,93
ANDHRA PRADESH,CUDDAPAH,BADVEL,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHAPAD,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,162,61,0,0,223
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,293,124,0,0,418
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,147,49,0,0,196
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,96,0,0,0,96
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,0,8,0,2,10
ANDHRA PRADESH,CUDDAPAH,VALLUR,634,68,0,0,702
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,4,0,0,0,4
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,51,30,0,0,81
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,49,49,4,0,101
ANDHRA PRADESH,EAST GODAVARI,KADIAM,246,0,51,0,298
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,40,40,0,0,81
ANDHRA PRADESH,EAST GODAVARI,KAKINADA (RURAL),29,29,0,0,57
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,34,39,0,0,74
ANDHRA PRADESH,EAST GODAVARI,KARAPA,372,372,0,0,745
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,384,0,0,0,384
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,121,81,0,0,202
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),929,281,445,0,1655
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,62,20,0,0,82
ANDHRA PRADESH,EAST GODAVARI,Y RAMAVARAM,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,ACHAMPETA,343,1,0,0,344
ANDHRA PRADESH,GUNTUR,AMARAVATHI,803,0,0,0,803
ANDHRA PRADESH,GUNTUR,BAPATLA,2261,0,0,0,2261
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,47,18,0,0,65
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,4,0,0,0,4
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,CHEBROLE,413,0,0,0,413
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,129,0,0,0,129
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,747,97,0,0,844
ANDHRA PRADESH,GUNTUR,DACHEPALLE,172,113,0,0,285
ANDHRA PRADESH,GUNTUR,EDLAPADU,203,0,0,0,203
ANDHRA PRADESH,GUNTUR,GUNTUR,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,IPURU,81,0,0,0,81
ANDHRA PRADESH,GUNTUR,KAKUMANU,685,0,0,0,685
ANDHRA PRADESH,GUNTUR,KARLAPALEM,480,0,0,0,480
ANDHRA PRADESH,GUNTUR,KOLLUR,63,0,0,0,63
ANDHRA PRADESH,GUNTUR,KROSURU,952,0,0,0,952
ANDHRA PRADESH,GUNTUR,MACHAVARAM,54,10,0,0,64
ANDHRA PRADESH,GUNTUR,MACHERLA,63,0,0,0,63
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,506,142,0,0,648
ANDHRA PRADESH,GUNTUR,MUPPALLA,86,0,0,0,86
ANDHRA PRADESH,GUNTUR,NADENDLA,763,0,0,0,763
ANDHRA PRADESH,GUNTUR,NAGARAM,541,0,0,0,541
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,635,0,0,0,635
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,362,90,0,0,452
ANDHRA PRADESH,GUNTUR,NUZENDLA,1041,0,0,0,1041
