-----
{
 "description": "The table refers to statewise distribution of shallow tubewells according to the constraints. The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Stateshtbwl2.16.csv", 
 "title": "Download CSV for Statewise Distribution of Shallow Tubewells according to the constraints for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Stateshtbwl2.16.csv"
}
-----
State,No. of Tubewell in use,No. of Tubewell with no constraints,Constraints in utilisation - Inadequate power supply,Constraints in utilisation - Mechanical break down,Constraints in utilisation - Less water discharge,Constraints in utilisation - Other reason,Total - Constraints in utilisation,Grand Total
ANDHRA PRADESH,304358,175431,37088,3675,68204,19960,128927,304358
ARUNACHAL PRADESH,0,0,0,0,0,0,0,0
ASSAM,20158,0,347,2170,6696,10945,20158,20158
BIHAR,575252,7953,61607,92978,51946,360768,567299,575252
GOA,26,0,0,0,13,13,26,26
GUJARAT,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,492159,0,79695,16707,6178,389579,492159,492159
HIMACHAL PRADESH,1604,1222,34,13,137,198,382,1604
JAMMU & KASHMIR,1302,0,0,0,0,11,11,11
KARNATAKA,75469,34129,26302,1360,11595,2083,41340,75469
KERALA,2344,0,194,7,180,1963,2344,2344
MADHYA PRADESH,119243,46108,1781,433,24904,46017,73135,119243
MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,36,0,0,0,0,36,36,36
MEGHALAYA,110,0,98,1,1,10,110,110
MIZORAM,0,0,0,0,0,0,0,0
NAGALAND,6,0,0,0,0,6,6,6
ORISSA,15284,1596,1529,816,1232,10111,13688,15284
PUNJAB,938503,0,607470,20129,4337,306567,938503,938503
RAJASTHAN,58595,54317,303,11,3925,39,4278,58595
SIKKIM,0,0,0,0,0,0,0,0
TAMIL NADU,70153,7345,14717,382,2158,45551,62808,70153
TRIPURA,113,75,34,2,2,0,38,113
UTTAR PRADESH,1972140,222701,388779,156356,64512,1139792,1749439,1972140
WEST BENGAL,489162,0,38249,27569,45066,378278,489162,489162
ANDAMAN & NICOBARS,0,0,0,0,0,0,0,0
CHANDIGARH,0,0,0,0,0,0,0,0
DADRA & NAGAR HAVELI,0,0,0,0,0,0,0,0
DAMAN & DIU,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,8984,6696,1437,201,118,532,2288,8984
LAKSHADWEEP,NA,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,3643,3455,0,0,60,128,188,3643
All India,5148644,561028,1259664,322810,291264,2712587,4586325,5147353
