-----
{
 "description": "The table refers to district wise distribution of shallow tubewells according to water lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.9.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells according to Water Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.9.csv"
}
-----
State,District,Electric pumps,Diesel pumps,Wind mills,Solar pumps,Man/Animal operated,Others,Total
ANDHRA PRADESH,ADILABAD,7224,37,1,2,1,0,7265
ANDHRA PRADESH,ANANTHAPUR,21038,233,6,16,7,1,21301
ANDHRA PRADESH,CHITTOOR,10097,37,0,2,2,0,10138
ANDHRA PRADESH,CUDDAPAH,12505,254,0,4,36,10,12809
ANDHRA PRADESH,EAST GODAVARI,13606,7204,11,15,4,7,20847
ANDHRA PRADESH,GUNTUR,14063,1831,5,5,16,0,15920
ANDHRA PRADESH,KARIMNAGAR,980,0,2,0,8,0,990
ANDHRA PRADESH,KHAMMAM,3526,304,0,0,4,0,3834
ANDHRA PRADESH,KRISHNA,10908,1767,8,1,11,0,12695
ANDHRA PRADESH,KURNOOL,8513,193,1,25,10,0,8742
ANDHRA PRADESH,MAHABOOB NAGAR,21139,206,4,32,38,9,21428
ANDHRA PRADESH,MEDAK,30574,16,21,1,142,152,30906
ANDHRA PRADESH,NALGONDA,13693,7,3,2,14,0,13719
ANDHRA PRADESH,NELLORE,29603,493,21,4,1,72,30194
ANDHRA PRADESH,NIZAMABAD,45560,71,4,9,520,43,46207
ANDHRA PRADESH,PRAKASAM,9521,611,3,1,1,825,10962
ANDHRA PRADESH,RANGA REDDY,16392,18,38,0,4,2,16454
ANDHRA PRADESH,SRIKAKULUM,5032,463,1,12,175,0,5683
ANDHRA PRADESH,VIJAYA NAGARAM,3707,248,7,1,164,1,4128
ANDHRA PRADESH,VISAKHAPATNAM,4981,314,8,0,81,4,5388
ANDHRA PRADESH,WARANGAL,3489,14,7,0,1,0,3511
ANDHRA PRADESH,WEST GODAVARI,10083,3949,0,1,43,0,14076
ASSAM,BARPETA,0,2362,0,1,0,0,2363
ASSAM,BONGAIGAON,0,852,0,0,0,0,852
ASSAM,CACHAR,0,1,0,0,0,0,1
ASSAM,DARRANG,184,2067,0,0,0,0,2251
ASSAM,DHEMAJI,0,717,0,0,0,0,717
ASSAM,DHUBRI,0,2487,1,0,0,0,2488
ASSAM,DIBRUGARH,0,1461,0,0,0,0,1461
ASSAM,GOALPARA,0,381,0,0,0,0,381
ASSAM,GOLAGHAT,4,491,0,0,0,0,495
ASSAM,HAILAKANDI,3,77,0,0,0,0,80
ASSAM,JORHAT,32,1456,0,0,2,0,1490
ASSAM,KAMRUP,2,1265,0,0,0,1,1268
ASSAM,KARBI ANGLONG,0,81,0,0,0,0,81
ASSAM,KARIMGANJ,0,84,0,0,0,0,84
ASSAM,KOKRAJHAR,0,758,0,0,0,0,758
ASSAM,LAKHIMPUR,0,1166,0,0,0,0,1166
ASSAM,MARIGAON,99,1296,0,0,0,0,1395
ASSAM,NAGAON,10,3247,0,0,0,0,3257
ASSAM,NALBARI,68,1349,0,0,0,0,1417
ASSAM,SIBSAGAR,1,787,0,0,0,0,788
ASSAM,SONITPUR,0,2867,0,0,0,0,2867
ASSAM,TINSUKIA,7,1405,0,0,0,0,1412
BIHAR,ARARIA,11,12949,8,0,33,90,13091
BIHAR,AURANGABAD,2229,6291,24,2,221,10,8777
BIHAR,BANKA,283,5602,1,2,36,1,5925
BIHAR,BEGUSARAI,280,21103,47,2,45,46,21523
BIHAR,BHABUA,5987,5603,12,1,10,28,11641
BIHAR,BHAGALPUR,319,10172,12,2,31,62,10598
BIHAR,BHOJPUR,399,14135,52,60,137,22,14805
BIHAR,BUXAR,1220,11580,35,13,105,73,13026
BIHAR,CHAMPARAN EAST,76,30431,12,11,61,16,30607
BIHAR,CHAMPARAN WEST,116,20990,9,4,26,13,21158
BIHAR,CHATRA,36,99,1,0,6,0,142
BIHAR,DARBHANGA,42,11827,1,0,12,2,11884
BIHAR,DEOGHAR,0,1,0,0,0,0,1
BIHAR,DHANBAD,0,1,0,0,4,0,5
BIHAR,GAYA,4604,19856,46,2,70,119,24697
BIHAR,GIRIDIH,265,92,0,0,12,0,369
BIHAR,GODDA,37,531,14,0,30,2,614
BIHAR,GOPALGANJ,93,16977,45,20,39,6,17180
BIHAR,HAZARIBAG,3,0,0,0,0,0,3
BIHAR,JAMUI,803,2270,55,5,17,3,3153
BIHAR,JEHANABAD,1448,16239,77,8,22,31,17825
BIHAR,KATIHAR,44,24365,41,15,19,34,24518
BIHAR,KHAGARIA,5,10460,68,0,44,131,10708
BIHAR,KISHANGANJ,33,8867,0,3,44,0,8947
BIHAR,KODARMA,66,140,0,0,8,0,214
BIHAR,LAKHISARAI,394,4027,3,0,9,3,4436
BIHAR,MADHEPURA,47,14068,30,0,27,2,14174
BIHAR,MADHUBANI,21,14047,80,69,175,2,14394
BIHAR,MUNGER,31,2940,1,0,128,1,3101
BIHAR,MUZAFFARPUR,115,30743,5,2,27,4,30896
BIHAR,NALANDA,968,15310,61,0,123,147,16609
BIHAR,NAWADA,5972,9397,244,5,153,130,15901
BIHAR,PAKUR,5,195,0,0,1,0,201
BIHAR,PATNA,2857,20213,163,21,99,96,23449
BIHAR,PURNIA,51,23934,34,1,61,3,24084
BIHAR,RANCHI,0,74,0,0,14,2,90
BIHAR,ROHTAS,5358,11426,79,2,345,99,17309
BIHAR,SAHARSA,3,9799,0,0,9,0,9811
BIHAR,SAHEBGANJ,1,1761,0,0,1,1,1764
BIHAR,SAMASTIPUR,423,28951,10,6,402,48,29840
BIHAR,SARAN,235,23602,252,56,194,52,24391
BIHAR,SHEIKHPURA,173,5166,0,0,6,1,5346
BIHAR,SHEOHAR,19,4430,4,0,3,0,4456
BIHAR,SINGHBHUM EAST,69,834,18,0,274,83,1278
BIHAR,SINGHBHUM WEST,0,0,0,0,15,0,15
BIHAR,SITAMARHI,28,14825,44,0,15,0,14912
BIHAR,SIWAN,7,26634,81,0,153,2,26877
BIHAR,SUPAUL,18,13286,5,1,28,0,13338
BIHAR,VAISHALI,221,21161,45,0,9,0,21436
GOA,NORTH GOA,20,0,0,0,0,0,20
GOA,SOUTH GOA,6,1,0,0,0,1,8
HARYANA,AMBALA,11909,2736,22,8,20,49,14744
HARYANA,BHIWANI,5493,12883,11,0,6,79,18472
HARYANA,FARIDABAD,17939,7562,34,6,37,27,25605
HARYANA,GURGAON,25820,2852,12,10,33,13,28740
HARYANA,HISAR,20343,24955,25,1,8,40,45372
HARYANA,JIND,14939,14620,78,7,68,7,29719
HARYANA,KAITHAL,20293,10499,23,18,86,46,30965
HARYANA,KARNAL,41468,10386,168,13,135,132,52302
