-----
{
 "description": "The table refers to Statewise Potential Utilized through Lift Schemes. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftNat5.13.csv", 
 "title": "Download CSV for Statewise Potential Utilized through Lift Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcliftNat5.13.csv"
}
-----
"State","Kharif","Rabi","Perennial","Others","Total"
"ANDHRA PRADESH",90737,38029,2286,936,131988
"ARUNACHAL PRADESH",165,57,0,37,259
"ASSAM",16917,9411,605,670,27603
"BIHAR",14212,15731,1205,953,32101
"CHHATTISGARH",16004,19484,69,88,35645
"GOA",18,364,3053,112,3547
"GUJARAT",3625,2119,507,536,6787
"HARYANA",1200,2119,0,0,3319
"HIMACHAL PRADESH",7278,8142,208,28,15656
"JAMMU & KASHMIR",20979,6157,253,87,27476
"JHARKHAND",11118,9942,524,262,21846
"KARNATAKA",116817,33609,63569,41895,255890
"KERALA",30352,30294,22370,34634,117650
"MADHYA PRADESH",33973,460795,1789,8733,505290
"MAHARASHTRA",90407,90523,103511,8873,293314
"MANIPUR",1750,2382,10,613,4755
"MEGHALAYA",190,117,0,0,307
"MIZORAM",176,11,0,0,187
"NAGALAND",79,31,0,0,110
"ORISSA",54812,45636,2260,356,103064
"PUNJAB",4777,4836,4,17,9634
"RAJASTHAN",864,16491,9,104,17468
"TAMIL NADU",8578,2069,1401,525,12573
"TRIPURA",11930,13651,373,1822,27776
"UTTAR PRADESH",6429,18117,4113,201,28860
"UTTARANCHAL",5444,5016,748,282,11490
"WEST BENGAL",74610,88709,28088,113381,304788
"ANDAMAN & NICOBARS",1276,374,67,22,1739
"DADRA & NAGAR HAVELI",612,254,0,0,866
"DELHI",222,211,0,0,433
"PONDI CHERRY",1,7,0,0,8
"ALL INDIA",625552,924688,237022,215167,2002429
