-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to source of finance . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.7.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.7.csv"
}
-----
State,District,Block,Government fund,Farmer's saving,Loan & Saving,Subsidy & Bank loan,Subsidy only,Others,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,16,0,5,0,0,0,21
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,45,3,1,9,4,0,62
ANDHRA PRADESH,ADILABAD,BELA,4,0,2,6,11,1,24
ANDHRA PRADESH,ADILABAD,BHAINSA,491,512,20,22,0,0,1045
ANDHRA PRADESH,ADILABAD,BOATH,472,86,13,23,88,0,682
ANDHRA PRADESH,ADILABAD,CHENNUR,4,0,0,0,0,0,4
ANDHRA PRADESH,ADILABAD,DAHEGAON,12,0,0,0,0,0,12
ANDHRA PRADESH,ADILABAD,DILAWARPUR,482,126,7,31,2,0,648
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,0,5,1,5,0,0,11
ANDHRA PRADESH,ADILABAD,ICHODA,88,8,55,60,0,0,211
ANDHRA PRADESH,ADILABAD,JAINAD,15,0,0,0,0,0,15
ANDHRA PRADESH,ADILABAD,JAINOOR,0,0,0,0,2,0,2
ANDHRA PRADESH,ADILABAD,JAIPUR,1,0,0,0,0,0,1
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),0,0,0,2,0,0,2
ANDHRA PRADESH,ADILABAD,KOTAPALLE,145,0,1,58,0,0,204
ANDHRA PRADESH,ADILABAD,KUBEER,279,124,7,17,1,0,428
ANDHRA PRADESH,ADILABAD,KUNTALA,453,173,90,19,1,0,736
ANDHRA PRADESH,ADILABAD,LAHESRA,725,248,1,19,1,0,994
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,33,4,0,2,4,0,43
ANDHRA PRADESH,ADILABAD,MUDHOLE,721,140,1,81,7,0,950
ANDHRA PRADESH,ADILABAD,NARNOOR,0,0,0,0,1,0,1
ANDHRA PRADESH,ADILABAD,NENNAL,1,0,0,3,0,0,4
ANDHRA PRADESH,ADILABAD,NERADIGONDA,22,38,35,4,4,0,103
ANDHRA PRADESH,ADILABAD,NIRMAL,95,11,4,13,3,0,126
ANDHRA PRADESH,ADILABAD,SARANGAPUR,319,138,11,29,48,0,545
ANDHRA PRADESH,ADILABAD,SIRPUR (T),9,0,2,1,0,0,12
ANDHRA PRADESH,ADILABAD,TALAMADUGU,19,22,40,0,0,0,81
ANDHRA PRADESH,ADILABAD,TAMSI,14,20,20,0,1,0,55
ANDHRA PRADESH,ADILABAD,TANUR,127,63,1,6,0,0,197
ANDHRA PRADESH,ANANTHAPUR,AGALI,41,118,13,0,0,0,172
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,2,46,2,0,0,0,50
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,5,169,32,0,8,11,225
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,198,94,0,0,0,0,292
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,71,22,35,2,0,0,130
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,292,4,4,11,0,0,311
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,282,25,6,53,0,0,366
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,327,24,2,14,0,0,367
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,306,6,1,4,0,0,317
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,13,896,145,30,10,2,1096
ANDHRA PRADESH,ANANTHAPUR,CHENNEKOTHAPALLE,118,22,0,1,0,0,141
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,11,186,34,3,2,3,239
ANDHRA PRADESH,ANANTHAPUR,D.HIREHAL,7,384,286,38,14,1,730
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,173,50,4,3,2,0,232
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,6,31,0,0,0,0,37
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,12,697,10,0,18,9,746
ANDHRA PRADESH,ANANTHAPUR,GOOTY,203,46,1,2,1,0,253
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,3,203,0,1,0,0,207
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,33,127,3,2,5,6,176
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATA,2,399,62,0,1,0,464
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,131,77,2,3,0,0,213
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,4,414,86,30,20,4,558
ANDHRA PRADESH,ANANTHAPUR,KADIRI,3,104,10,0,0,0,117
ANDHRA PRADESH,ANANTHAPUR,KALYANDRUG,335,61,18,6,1,0,421
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,248,12,29,4,0,0,293
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,26,138,74,3,3,3,247
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,1,735,24,5,7,0,772
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,25,66,3,1,0,0,95
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,273,56,0,18,0,0,347
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,90,11,0,0,0,0,101
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,11,555,10,13,2,0,591
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,203,103,1,6,0,0,313
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,7,143,1,0,0,0,151
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,0,147,35,3,0,0,185
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,2,134,4,2,3,0,145
ANDHRA PRADESH,ANANTHAPUR,NAMBULAPULIKUNTA,1,56,10,0,0,0,67
ANDHRA PRADESH,ANANTHAPUR,NARPALA,4,355,6,5,4,0,374
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,1,59,2,1,0,0,63
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,446,159,1,1,0,0,607
ANDHRA PRADESH,ANANTHAPUR,PARIGI,15,296,208,24,16,0,559
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,10,678,627,3,32,0,1350
