-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "WbengalGSDPconst_1.csv", 
 "title": "Download CSV for West Bengal Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/WbengalGSDPconst_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","1482600","1619347","1642696","1750038","1913123","1829399","1884426","1933240","2131522","2025348","2099788","2111231"
"Foresty and Logging","46308","46454","48855","47091","47677","48862","52195","51262","54402","54174","56622","56067"
"Fishing","200137","202432","221088","231213","232680","249260","254818","259281","295521","300623","312300","333615"
"Mining and Quarrying","78988","80607","80832","79525","84277","96128","91911","105219","114290","109350","114074","116324"
"Sub total of primary","1808033","1948840","1993471","2107867","2277757","2223649","2283350","2349002","2595735","2489495","2582784","2617237"
"Manufacturing","899699","931697","1057495","1118166","1209995","1276228","1368980","1367506","1413995","1496849","1554162","1640498"
"Registered","471407","491568","530351","569593","625348","671235","663730","668942","683173","736288","776066","822630"
"Unregistered","428292","440129","527144","548573","584647","604993","705250","698564","730822","760561","778096","817868"
"Construction","233352","244853","259368","273265","286302","308012","339806","375565","403528","420599","433179","447785"
"Electricity, Gas and water Supply","96720","108040","113883","113795","113595","116876","134017","150620","162547","176959","190547","199381"
"Sub total of secondary","1229771","1284590","1430746","1505226","1609892","1701116","1842803","1893691","1980070","2094407","2177888","2287664"
"Transport Storage and Communication","389537","407522","433015","478508","497005","551477","580996","629390","697460","774811","860592","937754"
"Railways","73702","76680","78735","81283","77033","82945","86620","91096","95928","101780","106868","114563"
"Transport by other means","256137","265790","272855","294821","315726","339901","361469","380422","424911","451195","474211","484141"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","59698","65052","81425","102404","104246","128631","132907","157872","176621","221836","279513","339050"
"Trade, hotels and restaurants","603544","645121","683078","768325","876678","886555","1006110","1090294","1208056","1302922","1413767","1588735"
"Banking and Insurance","300629","383918","499727","565039","583297","800248","838453","967823","980886","1338089","1532597","1646009"
"Real estate, ownership of dwelling and business","355261","365736","376291","386903","461155","499870","551947","638763","687861","788634","913995","1079292"
"Pubic Administration","271757","271643","294962","303678","345408","397637","452841","479243","471467","495366","471925","504390"
"Other Services","383882","398611","417692","440667","445937","487722","511130","534978","562113","591346","621794","659511"
"Sub total of tertiary","2304610","2472551","2704765","2943120","3209480","3623509","3941477","4340491","4607843","5291168","5814670","6415691"
"State domestic product","5342414","5705981","6128982","6556213","7097129","7548274","8067630","8583184","9183648","9875070","10575342","11320592"

"Figures are in Rs. Lakh"
