-----
{
 "description": "The table refers to statewise distribution of dugwells according to horse power of lifting device. The report has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Natdgwltab1.10.csv", 
 "title": "Download CSV for State wise Dugwells according to horse power of lifting device for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Natdgwltab1.10.csv"
}
-----
"State","Horse Power (0-2)","Horse Power (2 - 4)","Horse Power (4 - 6)","Horse Power (6 -8)","Horse Power (8 - 10)","Horse Power (Above 10)","Unspecified","Total"
"ANDHRA PRADESH",6447,594209,491955,19360,6294,3146,95001,1216412
"ARUNACHAL PRADESH",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM",0,0,29,0,0,0,9,38
"BIHAR",53942,12902,105555,5446,785,1008,211560,391198
"GOA",1335,767,503,38,49,29,1254,3975
"GUJARAT",NA,NA,NA,NA,NA,NA,NA,NA
"HARYANA",445,267,7584,12044,4688,1348,64,26440
"HIMACHAL PRADESH",92,97,679,348,136,65,305,1722
"JAMMU & KASHMIR",32,75,374,325,0,599,20,1425
"KARNATAKA",42730,90405,162151,8526,6852,1014,10181,321859
"KERALA",74339,17356,4886,487,415,372,28840,126695
"MADHYA PRADESH",19155,609386,354533,29104,4825,2829,106607,1126439
"MAHARASHTRA",NA,NA,NA,NA,NA,NA,NA,NA
"MANIPUR",NA,NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA",0,0,0,0,0,0,2,2
"MIZORAM",0,0,0,0,0,0,490,490
"NAGALAND",18,1,181,1,0,0,329,530
"ORISSA",20638,6477,8520,23,46,188,287205,323097
"PUNJAB",725,2038,5329,2775,172,293,339,11671
"RAJASTHAN",5679,37107,290958,239871,88913,38612,341937,1043077
"SIKKIM",NA,NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU",30618,335948,684390,68659,9265,7549,173359,1309788
"TRIPURA",1,0,84,0,0,3,717,805
"UTTAR PRADESH",5762,1682,8762,96989,10378,1306,11445,136324
"WEST BENGAL",2208,6923,13791,0,0,0,33061,55983
"ANDAMAN & NICOBARS",NA,NA,NA,NA,NA,NA,NA,NA
"CHANDIGARH",NA,NA,NA,NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI",3,151,236,0,10,13,0,413
"DAMAN & DIU",NA,NA,NA,NA,NA,NA,NA,NA
"DELHI",NA,NA,NA,NA,NA,NA,NA,NA
"LAKSHADWEEP",NA,NA,NA,NA,NA,NA,NA,NA
"PONDICHERRY",1,0,116,89,7,9,0,222
"ALL INDIA",264170,1715791,2140616,484085,132835,58383,1302725,6098605
