-----
{
 "description": "This data provides year-on-year details of disinvestment proceeds from sale of minority shareholdings in CPSEs as on 23rd July 2013 (in Rs. Crore).", 
 "file_name": "Disinvestment_Proceeds_From_Sale_of_Minority_Shareholding_In_CPSEs_as_on_23rd_July_2013.xls", 
 "title": "Download XLS for Disinvestment Proceeds From Sale of Minority Shareholding In CPSEs as on 23rd July 2013", 
 "url": "http://data.gov.in/sites/default/files/Disinvestment_Proceeds_From_Sale_of_Minority_Shareholding_In_CPSEs_as_on_23rd_July_2013.xls"
}
-----
"S.No.","CPSE","1991-92","1992-93","1994-95","1995-96","1996-97","1997-98","1998-99","1999-00","2003-04","2004-05","2007-08","2009-10","2010-11","2011-12","2012-13","2013-14"
1.0,"AYL","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
2.0,"BEL","NA","NULL",47.17,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
3.0,"BEML","NA","NULL",48.27,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
4.0,"BHEL","NA",8.21,301.34,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
5.0,"BPCL","NA",331.18,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
6.0,"BRPL","NA",45.4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
7.0,"CMC","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
8.0,"Coal India","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",15199.4402028,"NULL","NULL","NULL"
9.0,"CONCOR","NULL","NULL",99.71,14.12,"NULL","NULL",221.65,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
10.0,"CPCL","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
11.0,"DCIL","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL",221.2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL"
12.0,"EIL","NULL","NULL",67.53,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",959.6543671,"NULL","NULL","NULL"
13.0,"FACT","NA",1.3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
14.0,"GAIL","NULL","NULL",194.12,"NULL","NULL","NULL",671.86,945.0,1627.36,"NULL","NULL","NULL","NULL","NULL","NULL","NULL"
15.0,"HCL","NULL",8.07,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",807.0287724,259.5553025
16.0,"Hind. Cables","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
17.0,"HMT","NA",23.38,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
18.0,"HOCL","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
19.0,"HPCL","NA",331.85,563.11,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
20.0,"HPF","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
21.0,"HZL","NA",81.55,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
22.0,"IBP","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",350.66,"NULL","NULL","NULL","NULL","NULL","NULL","NULL"
23.0,"IOC","NULL","NULL",1033.65,"NULL","NULL","NULL",1208.96,162.79,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
24.0,"IPCL ","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
25.0,"IRCON ","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
26.0,"ITDC","NULL","NULL",51.99,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
27.0,"ITI","NA",15.63,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
28.0,"KIOCL","NULL","NULL",11.4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
29.0,"KRL ","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
