-----
{
 "description": "The table refers to Statewise Potential Utilized through Surface Flow Schemes. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowNat4.10.csv", 
 "title": "Download CSV for Statewise Potential Utilized through Surface Flow Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcflowNat4.10.csv"
}
-----
"State","Kharif","Rabi","Perennial","Others","Total"
"ANDHRA PRADESH",763363,168722,19609,2561,954255
"ARUNACHAL PRADESH",40972,3122,229,1427,45750
"ASSAM",43442,12690,346,980,57458
"BIHAR",289193,69228,4821,1776,365018
"CHHATTISGARH",103442,37617,38,12,141109
"GOA",359,5356,1224,40,6979
"GUJARAT",30972,10328,232,457,41989
"HARYANA",2180,2682,4,1,4867
"HIMACHAL PRADESH",70186,65031,4097,54,139368
"JAMMU & KASHMIR",197356,84928,3195,92,285571
"JHARKHAND",86729,25035,2008,1112,114884
"KARNATAKA",155795,35096,24351,30519,245761
"KERALA",53649,52638,27278,63668,197233
"MADHYA PRADESH",60338,144508,196,7023,212065
"MAHARASHTRA",208453,111033,26274,5166,350926
"MANIPUR",17558,4183,0,503,22244
"MEGHALAYA",53777,9759,5168,249,68953
"MIZORAM",5675,743,60,89,6567
"NAGALAND",43403,3358,170,75,47006
"ORISSA",328648,34750,958,235,364591
"PUNJAB",3486,3483,10,0,6979
"RAJASTHAN",11091,50781,915,217,63004
"SIKKIM",8373,3994,1298,756,14421
"TAMIL NADU",267261,397010,27982,13685,705938
"TRIPURA",4592,8499,149,554,13794
"UTTAR PRADESH",12732,15108,7101,1224,36165
"UTTARANCHAL",98807,91414,19934,4978,215133
"WEST BENGAL",158091,39072,2981,44433,244577
"DADRA & NAGAR HAVELI",25,13,3,0,41
"DELHI",116,128,0,0,244
"PONDICHERRY",4062,8098,58,174,12392
"ALL INDIA",3124126,1498407,180689,182060,4985282
