-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "MaharashtraNSDPcurrent.csv", 
 "title": "Download CSV for Maharashtra Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/MaharashtraNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","1934320","2166424","2405486","3258685","2686492","2940523","3381963","3109958","3406979","3387582","3286361","3468411"
"Foresty and Logging","128507","151975","160106","179458","193047","191255","218582","273137","307829","319635","345181","381234"
"Fishing","44088","44382","64766","92861","88489","74605","80653","79346","86152","92290","107231","117433"
"Mining and Quarrying","52959","58305","70407","120451","167530","138607","149425","171242","186747","204519","236602","249849"
"Sub total of primary","2159874","2421086","2700765","3651455","3135558","3344990","3830623","3633683","3987707","4004026","3975375","4216927"
"Manufacturing","2432825","2753629","3485620","3688609","4350560","4040832","4469261","3905608","3976929","4485963","5282921","6232261"
"Registered","1645129","1847803","2387462","2481623","2900556","2897966","3039218","2711486","2586076","3056348","3628701","4249831"
"Unregistered","787696","905826","1098158","1206986","1450004","1142866","1430043","1194122","1390853","1429615","1654220","1982430"
"Construction","532175","598947","682971","806078","940410","1086029","1068373","1042490","1247075","1438256","1582937","1786341"
"Electricity, Gas and water Supply","205629","247653","324210","315611","363940","394542","404953","265569","380991","431931","477294","499527"
"Sub total of secondary","3170629","3600229","4492801","4810298","5654910","5521403","5942587","5213667","5604995","6356150","7343152","8518129"
"Transport Storage and Communication","669238","821757","960763","1093153","1355939","1492643","1508723","1690109","1832928","1980854","2333537","2630853"
"Railways","79192","89068","95367","119761","114455","108705","123300","132316","168414","191102","188664","213108"
"Transport by other means","391356","482579","568551","604905","760029","886001","898061","949869","1043968","1156258","1284912","1494739"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","198690","250110","296845","368487","481455","497937","487362","607924","620546","633494","859961","923006"
"Trade, hotels and restaurants","1245908","1458704","1863586","2244734","2622102","2539562","2782021","2966194","3266193","4023593","4657759","5659255"
"Banking and Insurance","1433591","1661148","2122531","1804723","1904857","2503652","3680508","3310029","3779229","4409684","4405406","4699581"
"Real estate, ownership of dwelling and business","556665","626510","688565","783065","827539","1128007","1278033","1416501","1615214","1816371","1979573","2286915"
"Pubic Administration","335619","387201","458759","531400","660635","715405","1007952","979870","1049426","1133423","1203078","1386961"
"Other Services","605222","674062","785249","949436","1091410","1390776","1636933","1816696","2375979","2919440","3143122","3446525"
"Sub total of tertiary","4846243","5629382","6879453","7406511","8462482","9770045","11894170","12179399","13918969","16283365","17722475","20110090"
"State domestic product","10176746","11650697","14073021","15868265","17252953","18636437","21667380","21026749","23511671","26643541","29041002","32845146"

"Figures are in Rs. Lakh"
