-----
{
 "description": "This time series is based on the surface air temperature (1.2 m above sea level) data from more than 350 stations spread over the country. The time series shows a warming over India during the recent years.", 
 "file_name": "India_Mean_Temperatures_1901-2012.xls", 
 "title": "Download XLS for Annual And Seasonal Mean Temperature Of India ", 
 "url": "http://data.gov.in/sites/default/files/India_Mean_Temperatures_1901-2012.xls"
}
-----
"YEAR","ANNUAL","JAN-FEB","MAR-MAY","JUN-SEP","OCT-DEC"
1901.0,24.228,18.7137,26.0584,27.3007,21.9192
1902.0,24.3274,19.6951,26.442,27.1836,21.4927
1903.0,23.8045,19.0528,25.473,27.1701,21.2728
1904.0,23.8643,18.6648,25.8358,26.8288,21.425
1905.0,23.7071,17.5767,24.9895,27.3712,21.4755
1906.0,24.1153,18.3688,25.9302,27.1525,22.078
1907.0,23.8668,19.3461,24.8904,26.894,21.7639
1908.0,23.9543,19.0407,26.0207,26.951,21.1658
1909.0,23.7774,18.4192,25.7088,26.5316,21.746
1910.0,23.7671,18.9338,25.7393,26.8096,20.9563
1911.0,23.9534,18.8499,25.5336,27.1827,21.4698
1912.0,24.106,19.7191,25.8116,27.1305,21.2924
1913.0,23.8773,19.0871,25.5643,26.9324,21.3216
1914.0,24.0337,19.312,25.5326,27.1523,21.5244
1915.0,24.2901,18.4679,26.0266,27.6041,22.0094
1916.0,24.0751,19.1008,26.4136,26.9142,21.2672
1917.0,23.5632,19.0519,24.8867,26.7479,21.0108
1918.0,23.8275,18.4041,25.3891,27.0725,21.5411
1919.0,24.0132,18.9647,25.8478,27.0647,21.4754
1920.0,23.9146,18.7175,25.2724,27.0476,21.8495
1921.0,24.3289,19.0596,26.6025,26.985,21.3935
1922.0,24.0515,19.4002,25.8802,27.0686,21.2031
1923.0,24.0515,18.7995,26.1172,27.1092,21.4007
1924.0,24.1495,19.0172,26.1374,27.1844,21.5222
1925.0,23.9498,18.3095,26.1844,26.9249,21.5087
1926.0,24.0351,19.6779,25.2842,27.411,21.2627
1927.0,23.9388,18.7721,25.5146,26.9782,21.7548
1928.0,24.2898,19.3918,26.1851,27.1787,21.8082
1929.0,24.0805,18.6219,26.3568,27.0949,21.424
1930.0,23.9307,18.2331,25.8124,27.0405,21.7061
1931.0,24.4351,19.5367,26.3594,27.2921,21.9669
1932.0,24.2078,19.1166,25.9074,27.3193,21.7537
1933.0,23.9179,19.1036,25.3352,26.8712,21.7743
1934.0,24.1263,19.1527,25.8942,27.2935,21.5515
1935.0,23.9826,18.6198,25.7701,26.9585,21.647
1936.0,24.1216,19.0285,26.0246,26.9387,21.858
1937.0,23.9807,19.1143,25.6079,27.3242,21.1398
1938.0,23.9837,18.4594,26.497,26.864,21.3128
1939.0,24.0092,19.0972,25.414,27.1643,21.6708
1940.0,24.0575,19.0323,25.4947,27.0846,21.9113
1941.0,24.6526,19.3081,26.8712,27.4476,22.3003
1942.0,24.2191,19.0651,26.4938,27.1835,21.7176
1943.0,23.9333,18.8874,25.5665,26.9698,21.6778
1944.0,24.0322,18.535,25.7005,27.2676,21.7592
1945.0,23.9184,18.3517,25.7135,27.4251,21.1634
1946.0,24.4209,19.5196,26.1161,27.2389,22.1291
1947.0,24.0379,18.7785,26.415,27.3181,21.389
1948.0,24.1101,18.8253,26.0406,27.0789,21.7346
1949.0,24.0841,19.1822,26.1426,27.0831,21.2946
1950.0,23.7107,18.7092,25.5033,26.867,21.1435
1951.0,24.2188,18.6766,25.4719,27.1873,22.453
1952.0,24.3441,19.8597,26.0357,27.2516,21.7683
1953.0,24.5749,19.4663,26.8718,27.3251,22.0096
1954.0,24.1262,19.1091,26.4976,27.0891,21.149
1955.0,23.9686,19.4601,25.582,26.9771,21.3494
1956.0,23.9561,18.8263,26.3089,26.6574,21.4146
1957.0,23.9671,18.7327,25.25,27.1457,21.9357
1958.0,24.6218,20.005,26.4541,27.4286,22.1251
1959.0,24.2958,18.9332,26.3102,27.1902,21.9974
1960.0,24.2858,19.7196,25.7036,27.3411,21.8385
1961.0,23.9998,18.9826,26.1107,27.0578,21.1566
1962.0,24.0439,18.9086,25.9096,27.1436,21.4687
1963.0,24.1492,19.0729,25.5673,27.2057,22.0399
1964.0,24.0956,18.8316,26.3763,26.9048,21.5785
1965.0,24.0653,19.2156,25.2436,27.0807,22.0995
1966.0,24.3551,19.9314,26.0724,27.1707,21.8328
1967.0,24.1104,19.4378,25.5486,27.1923,21.6779
1968.0,23.9421,18.2524,25.615,27.2185,21.6937
1969.0,24.4596,19.1845,26.3853,27.3472,22.2004
1970.0,24.2645,19.558,26.3858,27.0625,21.5502
1971.0,23.9079,19.0541,25.7818,26.7517,21.478
1972.0,24.1012,18.5652,25.7845,27.2725,21.88
1973.0,24.4059,19.7434,26.5296,27.302,21.5292
1974.0,24.0026,18.5388,26.2443,27.0212,21.3787
1975.0,23.7428,18.6917,25.7746,26.5738,21.3039
1976.0,24.0636,18.8681,25.6133,26.8616,22.2467
1977.0,24.3505,19.3486,26.0283,27.128,22.3038
1978.0,24.2306,18.9455,25.9407,27.1017,22.216
1979.0,24.5662,19.4668,25.974,27.541,22.5914
1980.0,24.5474,19.6423,26.5786,27.2621,22.1667
1981.0,24.266,19.4219,26.1383,27.2241,21.679
1982.0,24.1519,19.1392,25.4114,27.313,22.0196
1983.0,24.1164,19.0919,25.4528,27.4288,21.713
1984.0,24.2567,18.8541,26.507,27.0965,21.8216
