-----
{
 "description": "This time series is based on the surface air temperature (1.2 m above sea level) data from more than 350 stations spread over the country. The time series shows a warming over India during the recent years.", 
 "file_name": "India_Mean_Temperatures_1901-2012.xls", 
 "title": "Download XLS for Annual And Seasonal Mean Temperature Of India ", 
 "url": "http://data.gov.in/sites/default/files/India_Mean_Temperatures_1901-2012.xls"
}
-----
"YEAR","ANNUAL","JAN-FEB","MAR-MAY","JUN-SEP","OCT-DEC"
1985.0,24.446,19.6076,26.7163,27.1163,21.841
1986.0,24.2027,19.1201,25.9356,27.1687,21.903
1987.0,24.5657,19.4206,25.8505,27.8781,22.2944
1988.0,24.4182,19.7027,26.2368,27.2227,22.0042
1989.0,24.0277,18.7589,25.6932,26.9796,21.9392
1990.0,24.2131,19.4354,25.5504,27.1782,22.1077
1991.0,24.2833,19.2055,26.0216,27.3232,21.8721
1992.0,24.149,19.064,25.6364,27.1485,22.0489
1993.0,24.4301,19.6077,25.9797,27.3435,22.211
1994.0,24.4638,19.7646,26.2993,27.3042,21.974
1995.0,25.2853,20.3326,26.9439,28.0711,23.1859
1996.0,24.5533,20.7866,26.4923,27.2222,21.755
1997.0,24.0991,18.8714,25.6836,27.6009,21.8928
1998.0,24.7554,19.7192,26.4053,27.6921,22.4202
1999.0,24.6711,19.745,26.6623,27.3846,22.2919
2000.0,24.5994,19.3281,26.4739,27.232,22.6847
2001.0,24.7307,19.7492,26.8244,27.4697,22.5169
2002.0,25.004,19.6508,27.2205,27.7085,22.5761
2003.0,24.7198,19.8172,26.5197,27.6391,22.2285
2004.0,24.7401,19.9273,27.0611,27.327,22.236
2005.0,24.5771,19.7909,26.3275,27.6414,21.932
2006.0,25.0551,21.3585,26.5183,27.3992,22.6631
2007.0,24.7687,20.1044,26.6927,27.4912,22.324
2008.0,24.6101,19.1594,26.459,27.2612,22.8602
2009.0,25.1086,20.7246,26.8601,27.8872,22.5775
2010.0,25.133,20.1954,27.8254,27.497,22.6
2011.0,24.6646,19.538,26.3762,27.5396,22.7083
2012.0,24.6871,19.3405,26.5503,27.7089,22.3497
