-----
{
 "description": "This data pertains to public account disbursements (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Disbursements_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to revenue receipts (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Revenue_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Revenue Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Revenue_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to public account receipts (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to total expenditure and disbursements (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Total_Expenditure_And_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Total Expenditure And Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Total_Expenditure_And_Disbursements_FY_2000-11.xls"
}
-----
"Sector","Data","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"P-RESS","A UT Puducherry",124.953,136.485,136.7037,169.7585,204.3716,272.9325,408.6988,426.2009,569.0997,547.3207,776.5747,800.4474
"P-RESS","Andhra Pradesh",1538.4767,1470.3382,1934.9469,2444.144,3345.8545,3237.9913,4152.655,6160.8834,8041.0596,12302.95,10699.0126,14272.2422
"P-RESS","Arunachal Pradesh",159.1645,176.5671,234.0584,215.3473,294.5633,323.3405,404.5581,432.7072,490.2338,576.5086,496.2079,363.2559
"P-RESS","Assam",862.4586,934.1496,920.2781,923.5314,893.8788,1030.5776,1090.1722,752.6501,958.8046,1496.0358,2218.5207,3106.5363
"P-RESS","Bihar",449.5578,345.4622,390.5068,543.152,666.2841,924.6188,1411.761,2378.8289,2801.275,4366.3868,5140.3,7779.0951
"P-RESS","Chattisgarh",0.0,210.0228,598.5759,730.5668,902.4261,1054.8063,1277.3002,1708.964,2274.3374,4019.7594,5148.6721,5502.6348
"P-RESS","D NCT Delhi",704.2202,785.089,921.8061,980.9883,999.4533,1106.9781,1383.7111,1701.0531,2876.0412,3419.9703,3858.9562,4259.5542
"P-RESS","Goa",77.5684,92.9216,120.4124,136.7425,179.6555,248.4202,273.3216,329.7582,373.9026,409.3878,483.9531,593.8659
"P-RESS","Gujarat",1291.5495,1472.3758,830.6467,1094.9917,1859.0673,2474.4495,2267.6819,3397.0876,4846.8533,6129.628,7860.8466,9615.1307
"P-RESS","Haryana",553.3957,663.1995,729.7854,625.3448,708.3708,842.8451,1289.7942,1584.9179,2212.1313,2662.1898,4014.5861,4329.6877
"P-RESS","Himachal Pradesh",602.3763,723.5838,680.6674,745.6868,548.6165,575.7516,665.5556,909.9142,833.0375,576.8668,594.7217,898.3137
"P-RESS","Jammu and Kashmir",329.6589,354.5347,369.7619,409.4148,443.4865,535.0811,616.3233,467.9507,293.9514,202.7158,486.8561,819.7307
"P-RESS","Jharkhand",0.0,40.8751,519.0856,481.6107,441.0173,918.1004,975.7333,1085.0623,1659.1333,2114.9548,2207.0571,3402.741
"P-RESS","Karnataka",1827.4127,2139.6935,2428.911,1830.6425,2176.4924,2623.2053,3110.8212,4208.1599,4784.0919,5925.4424,7245.2445,9806.7544
"P-RESS","Kerala",773.2489,721.5548,659.3509,1071.4169,861.1336,1102.5797,1130.851,1040.1264,1338.56,1910.2941,2347.985,2505.6095
"P-RESS","Madhya Pradesh",1721.0248,1615.1242,1317.0606,1452.0438,1536.5241,1770.3336,2260.4246,2926.3483,3243.2796,4140.0989,5712.1242,7857.0188
"P-RESS","Maharastra",1562.1461,1785.6289,1628.9108,1632.9946,2311.7049,2709.2693,3125.2975,5304.1312,7214.9254,8286.3189,11399.731,11256.4761
"P-RESS","Manipur",118.0739,101.966,113.5344,85.1579,106.342,140.2193,228.0576,217.3407,234.0404,231.4671,317.8807,575.6398
"P-RESS","Meghalaya",109.5461,151.0919,136.6711,123.2863,165.2946,220.939,214.0068,224.1103,313.8579,326.7145,462.8698,543.7876
"P-RESS","Mizoram",156.6461,168.2181,205.5694,178.1898,198.5053,210.4937,279.9842,314.8913,339.335,442.8893,608.9648,575.5199
"P-RESS","Nagaland",88.6909,78.0652,91.7889,99.2214,127.4067,114.1829,160.3184,169.5883,155.7621,162.3493,202.2334,315.0633
"P-RESS","Orissa",1197.5353,1054.3485,1025.6757,856.794,900.8974,1163.3605,1335.9495,1513.0857,2317.8158,2598.002,3236.5137,4249.0947
"P-RESS","Punjab",476.0356,486.553,551.5274,377.0922,306.3048,295.8513,281.0847,235.0174,214.9971,1054.9349,1038.1943,1573.0674
"P-RESS","Rajasthan",1121.7944,1268.8135,1524.1158,1225.4217,959.7972,1141.9952,1344.6295,1600.9959,1919.1222,2676.9488,3006.8834,3928.8453
"P-RESS","Sikkim",76.0922,77.7243,103.0712,109.8713,116.662,136.1686,146.3229,165.136,207.3425,264.4076,280.4232,366.4406
"P-RESS","Tamil Nadu",1227.8949,1148.1196,1136.8027,1584.3803,2354.2797,2450.1106,3437.3392,5428.9688,6724.1735,8375.5076,9689.7355,11258.151
"P-RESS","Tripura",216.0516,237.0126,193.3717,206.0898,212.3419,230.4092,248.9144,302.2575,334.7421,455.1531,585.2819,673.1372
"P-RESS","Uttar Pradesh",1682.8427,1775.8646,1906.1273,1694.4041,1901.3399,3468.3125,4731.1397,7368.4442,8213.6994,11584.2199,10998.4968,15829.5589
"P-RESS","Uttarakhand",0.0,27.2922,203.9094,369.1869,529.1836,561.6763,802.3445,894.259,1166.407,1441.7343,1697.5452,1723.7891
"P-RESS","West Bengal",1158.5607,1485.8933,1554.7206,1120.401,1174.249,1571.5053,2180.096,3201.8637,4053.7051,5560.897,6752.1041,8589.2794
