-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "MeghalayaNSDPconst.csv", 
 "title": "Download CSV for Meghalaya Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/MeghalayaNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","34100","34293","40072","42959","43686","45769","52968","55043","57531","58801","59874","61082"
"Foresty and Logging","1913","2605","2963","2757","2162","1958","1862","2120","2141","2370","2760","3279"
"Fishing","1448","1462","1250","1551","1741","1587","1639","2198","1470","1873","1842","1893"
"Mining and Quarrying","4428","6727","6553","6866","6676","12871","12438","14161","18386","16659","19338","23724"
"Sub total of primary","41889","45087","50838","54133","54265","62185","68907","73522","79528","79703","83814","89978"
"Manufacturing","3365","4107","4234","4570","3875","3673","4248","4522","4217","6632","6938","7269"
"Registered","1150","1273","1197","1575","1208","1347","1598","1462","1552","3866","4019","4179"
"Unregistered","2215","2834","3037","2995","2667","2326","2650","3060","2665","2766","2919","3090"
"Construction","9885","9351","11204","12680","15997","18172","18754","23603","25674","27368","29959","30854"
"Electricity, Gas and water Supply","2317","515","1141","523","1210","893","993","1129","1046","1129","1218","1315"
"Sub total of secondary","15567","13973","16579","17773","21082","22738","23995","29254","30937","35129","38115","39438"
"Transport Storage and Communication","4338","4217","4444","4616","4986","5298","6415","6833","7871","12231","13217","14294"
"Railways","0","0","0","0","0","0","0","0","0","0","0","0"
"Transport by other means","3897","3804","3948","4095","4346","4761","5338","5705","5917","6652","7025","7421"
"Storage","5","5","5","5","6","9","4","10","7","9","9","10"
"Communication","436","408","491","516","634","528","1073","1118","1947","5570","6183","6863"
"Trade, hotels and restaurants","19284","22385","24410","25031","25328","28806","30078","33574","37546","37255","40085","43129"
"Banking and Insurance","2914","3351","3290","3872","5075","5469","5685","6599","6575","8418","9045","9719"
"Real estate, ownership of dwelling and business","17900","18107","18854","19346","19845","20446","21000","21587","22121","22615","23228","23842"
"Pubic Administration","17807","17106","18429","18936","22340","24216","25862","27339","27064","27889","30532","31667"
"Other Services","11191","11032","13925","12441","13294","15028","17951","17444","20040","19559","20830","21883"
"Sub total of tertiary","73434","76198","83352","84242","90868","99263","106991","113376","121217","127967","136937","144534"
"State domestic product","130890","135258","150769","156148","166215","184186","199893","216152","231682","242799","258866","273950"

"Figures are in Rs. Lakh"
