-----
{
 "description": "The table refers to statewise distribution of dugwells by type. The report has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Natdgwltab1.5.csv", 
 "title": "Download CSV for State wise Distribution of Dugwells by its type for 2nd census of minor irrigation census", 
 "url": "http://data.gov.in/sites/default/files/Natdgwltab1.5.csv"
}
-----
"State","Pucca","Kuchcha","Dug-cum Borewell","Others","Total"
"ANDHRA PRADESH",346289,730558,133251,6314,1216412
"ARUNACHAL PRADESH",NA,NA,NA,NA,NA
"ASSAM",11,10,17,0,38
"BIHAR",340630,25108,24570,890,391198
"GOA",2773,1188,11,3,3975
"GUJARAT",NA,NA,NA,NA,NA
"HARYANA",22587,1068,2438,347,26440
"HIMACHAL PRADESH",1374,306,39,3,1722
"JAMMU & KASHMIR",542,831,48,4,1425
"KARNATAKA",107000,182252,26915,5692,321859
"KERALA",96816,28360,632,887,126695
"MADHYA PRADESH",728017,362215,32260,3947,1126439
"MAHARASHTRA",NA,NA,NA,NA,NA
"MANIPUR",NA,NA,NA,NA,NA
"MEGHALAYA",2,0,0,0,2
"MIZORAM",425,59,0,6,490
"NAGALAND",269,260,0,1,530
"ORISSA",233558,86376,1320,1843,323097
"PUNJAB",10164,364,1050,93,11671
"RAJASTHAN",866975,98529,75744,1829,1043077
"SIKKIM",NA,NA,NA,NA,NA
"TAMIL NADU",946748,299748,35955,27337,1309788
"TRIPURA",59,148,70,528,805
"UTTAR PRADESH",120074,9431,5843,976,136324
"WEST BENGAL",35108,19736,778,361,55983
"ANDAMAN & NICOBARS",NA,NA,NA,NA,NA
"CHANDIGARH",NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI",401,6,1,5,413
"DAMAN & DIU",NA,NA,NA,NA,NA
"DELHI",NA,NA,NA,NA,NA
"LAKSHADWEEP",NA,NA,NA,NA,NA
"PONDICHERRY",5,9,208,0,222
"ALL INDIA",3859827,1846562,341150,51066,6098605
