-----
{
 "description": "The table shows the Employment in Organised Sectors by Public and Private. It gives sector-wise employment figures (Public and Private sector) for the years 1995, 2000, 2003 to 2011. Further, details are given by Branch, Industry and Gender.", 
 "file_name": "tab31.xls", 
 "title": "Download XLS for Employment in Organised Sectors - Public and Private(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab31.xls"
}
-----
3.1,"  EMPLOYMENT IN ORGANISED SECTORS—PUBLIC AND PRIVATE","","","","","","","","","","","","","","","","","","A56"
"","","","(Lakh persons as on March 31)","","","","","","","","","","","","","","","",""
"","",1991.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0
"","PUBLIC SECTOR ","","","","","","","","","","","","","","","","","",""
"A. ","By branch","","","","","","","","","","","","","","","","","",""
1.0,"Central Government",34.11,33.95,33.66,32.95,32.53,33.13,32.73,32.61,31.95,31.33,30.27,29.38,28.6,28.0,27.39,26.6,25.52,24.63
2.0,"State Governments",71.12,73.55,74.14,74.85,74.58,74.58,74.6,74.25,73.84,73.67,72.22,72.02,73.0,72.09,71.71,72.38,73.53,72.18
3.0,"Quasi-Governments",62.22,65.2,64.58,65.35,64.61,63.85,63.26,61.92,60.2,59.01,58.22,57.48,59.09,58.61,57.96,58.44,58.68,58.14
4.0,"Local bodies",23.13,21.97,21.92,22.44,22.46,22.59,22.55,22.61,21.75,21.79,21.26,21.18,21.18,21.32,19.68,20.73,20.89,20.53
"","Total",190.58,194.66,194.29,195.59,194.18,194.15,193.14,191.38,187.73,185.8,181.97,180.07,181.88,180.02,176.74,177.95,178.62,175.48
"B. ","By industry","","","","","","","","","","","","","","","","","",""
1.0,"Agriculture, hunting etc.",5.56,5.39,5.4,5.33,5.3,5.15,5.14,5.02,4.83,5.06,4.93,4.96,4.69,4.75,4.71,4.77,4.78,4.77
2.0,"Mining and quarrying",9.99,10.16,9.93,9.78,9.37,9.26,9.24,8.75,8.61,8.47,10.3,10.14,11.46,11.37,11.21,11.12,11.03,10.9
3.0,"Manufacturing",18.52,17.56,17.38,16.61,16.16,15.69,15.31,14.3,13.5,12.6,11.89,11.3,10.92,10.87,10.44,10.6,10.66,10.16
4.0,"Electricity, gas and water",9.05,9.35,9.46,9.56,9.54,9.62,9.46,9.35,9.23,9.13,8.74,8.6,8.49,8.49,7.96,8.39,8.35,8.31
5.0,"Construction",11.49,11.64,11.59,11.34,11.09,11.07,10.92,10.81,10.26,9.48,9.32,9.11,8.94,8.66,8.52,8.45,8.59,8.47
6.0,"Wholesale and retail trade",1.5,1.62,1.62,1.64,1.64,1.63,1.63,1.63,1.57,1.82,1.81,1.84,1.82,1.78,1.65,1.74,1.71,1.7
7.0,"Transport, storage & communications","",31.06,30.92,30.92,30.84,30.84,30.77,30.42,30.09,29.39,28.15,27.51,26.75,26.37,26.34,26.01,25.29,23.84
8.0,"Finance, insurance, real estate etc.","",12.83,12.8,12.94,12.88,12.95,12.96,12.81,12.3,13.77,14.08,14.08,13.9,13.69,13.47,13.56,14.13,13.61
9.0,"Community, Social & personal services","",95.04,95.2,97.47,97.37,97.94,97.71,98.3,97.35,96.09,92.76,92.52,91.76,90.9,88.54,90.11,90.51,90.95
"","Total",190.58,194.66,194.29,195.59,194.18,194.15,193.14,191.38,187.73,185.8,181.97,180.07,178.73,176.88,172.84,174.75,175.05,172.71
"","PRIVATE SECTOR","","","","","","","","","","","","","","","","","",""
1.0,"Argiculture, hunting etc.",8.91,8.94,9.19,9.12,9.04,8.71,9.04,9.31,8.55,8.95,9.17,9.83,10.28,9.5,9.92,8.96,9.23,9.18
2.0,"Mining and quarrying",1.0,1.03,1.07,0.92,0.91,0.87,0.81,0.79,0.68,0.66,0.65,0.79,0.95,1.0,1.11,1.15,1.61,1.32
3.0,"Manufacturing",44.81,47.06,50.49,52.39,52.33,51.78,50.85,50.13,48.67,47.44,44.89,44.89,45.49,47.5,49.7,51.98,51.84,53.97
4.0,"Electricity, gas and water",0.4,0.4,0.42,0.41,0.42,0.41,0.41,0.52,0.42,0.5,0.47,0.49,0.4,0.5,0.51,0.64,0.64,0.7
5.0,"Construction",0.73,0.53,0.53,0.54,0.74,0.71,0.57,0.57,0.56,0.44,0.45,0.49,0.55,0.7,0.69,0.8,0.91,1.02
6.0,"Wholesale and retail trade",3.0,3.08,3.17,3.17,3.21,3.23,3.3,3.39,3.35,3.6,3.51,3.75,3.87,4.1,2.72,4.72,5.06,5.46
7.0,"Transport, storgage & communications","",0.58,0.6,0.63,0.65,0.69,0.7,0.76,0.76,0.79,0.81,0.85,0.87,1.0,1.04,1.32,1.66,1.89
8.0,"Finance, insurance,real estate etc.","",2.93,3.06,3.22,3.41,3.58,3.58,3.7,3.91,4.26,4.58,5.23,6.52,8.8,10.96,13.11,15.52,17.18
9.0,"Community, Social & personal services","",16.03,16.58,16.44,16.77,17.0,17.23,17.34,17.42,17.56,17.92,18.2,18.78,19.5,21.73,20.23,21.4,23.5
"","Total",76.77,80.59,85.12,86.86,87.48,86.98,86.46,86.52,84.32,84.21,82.46,84.52,87.71,92.4,98.38,102.91,107.87,114.22
"","BY SEX","","","","","","","","","","","","","","","","","",""
"","PUBLIC SECTOR ","","","","","","","","","","","","","","","","","",""
"","Male ",167.1,168.66,167.94,168.31,166.55,166.04,164.57,162.79,158.86,156.75,153.07,150.86,151.85,149.84,146.34,147.04,146.66,143.77
"","Female",23.47,26.0,26.35,27.28,27.63,28.11,28.57,28.59,28.87,29.05,28.9,29.21,30.03,30.18,30.4,30.91,31.96,31.71
"","Total",190.57,194.66,194.29,195.59,194.18,194.15,193.14,191.38,187.73,185.8,181.97,180.07,181.88,180.02,176.74,177.95,178.62,175.48
"","PRIVATE SECTOR","","","","","","","","","","","","","","","","","",""
"","Male ",62.42,64.31,67.2,67.77,67.37,66.8,65.8,65.62,63.83,63.57,62.02,63.57,66.87,69.8,74.03,78.88,81.83,86.69
"","Female",14.34,16.28,17.92,19.09,20.11,20.18,20.66,20.9,20.49,20.64,20.44,20.95,21.18,22.94,24.72,24.98,26.63,27.83
"","Total",76.76,80.59,85.12,86.86,87.48,86.98,86.46,86.52,84.32,84.21,82.46,84.52,88.05,92.74,98.75,103.77,108.46,114.52
"","PUBLIC AND PRIVATE SECTOR","","","","","","","","","","","","","","","","","",""
"","Male",229.52,232.97,235.14,236.08,233.92,232.84,230.37,228.4,222.71,220.32,215.09,214.42,218.72,219.64,220.37,225.92,228.49,230.45
"","Female",37.81,42.28,44.26,46.37,47.74,48.29,49.23,49.49,49.35,49.68,49.34,50.16,51.21,53.12,55.12,55.8,58.59,59.54
"","Total",267.33,275.25,279.41,282.45,281.66,281.13,279.6,277.89,272.06,270.0,264.43,264.58,269.93,272.76,275.49,281.72,287.08,289.99
"Source : Ministry of Labour  & Employment, Director General of Employment and Training.
Note     :  1.    Coverage in construction, particularly on private account, is known to be inadequate.
                  2. Employment in private sector relates to non-agriculture establishments in private sector employing 10 or more persons. Employment in public sector relate to all estalishments irrespective of size.
                 3. Excludes Sikkim, Arunachal Pradesh, Dadra & Nagar Haveli and Lakshadweep as these are not yet covered under the programme.
                  4. Industry-wise break-up not tally with public sector, private sector and grand total due to non-inclusion of data as per NIC 1998, information in respect of J&K , Manipur and Daman & Diu not included in 2011.","","","","","","","","","","","","","","","","","","",""
