-----
{
 "description": "The table refers to District wise Distribution of Surface Flow Schemes in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.13.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.13.csv"
}
-----
"State","District","No. of constraints in utilisation","Constraints in utilisation - Non-filling up of storage","Constraints in utilisation - Siltation of storage","Constraints in utilisation - Breakdown of channel","Constraints in utilisation - Other reason","Total - Constraints in utilisation","Total in use"
"ANDHRA PRADESH","ADILABAD",2380,632,3,15,30,680,3060
"ANDHRA PRADESH","ANANTHAPUR",150,205,26,189,213,633,783
"ANDHRA PRADESH","CHITTOOR",756,3084,48,795,231,4158,4914
"ANDHRA PRADESH","CUDDAPAH",307,261,59,164,70,554,861
"ANDHRA PRADESH","EAST GODAVARI",1184,332,74,28,45,479,1663
"ANDHRA PRADESH","GUNTUR",113,8,31,17,12,68,181
"ANDHRA PRADESH","KARIMNAGAR",859,747,43,282,169,1241,2100
"ANDHRA PRADESH","KHAMMAM",1945,666,0,4,0,670,2615
"ANDHRA PRADESH","KRISHNA",576,283,37,47,33,400,976
"ANDHRA PRADESH","KURNOOL",295,65,18,69,29,181,476
"ANDHRA PRADESH","MAHABOOBNAGAR",1625,1019,73,151,69,1312,2937
"ANDHRA PRADESH","MEDAK",121,1937,2,4,0,1943,2064
"ANDHRA PRADESH","NALGONDA",251,144,32,330,70,576,827
"ANDHRA PRADESH","NELLORE",466,710,36,338,29,1113,1579
"ANDHRA PRADESH","NIZAMABAD",588,864,9,23,47,943,1531
"ANDHRA PRADESH","PRAKASAM",564,17,7,268,28,320,884
"ANDHRA PRADESH","RANGAREDDY",64,151,4,102,12,269,333
"ANDHRA PRADESH","SRIKAKULAM",6339,913,17,287,52,1269,7608
"ANDHRA PRADESH","VISAKHAPATNAM",2748,495,2485,35,63,3078,5826
"ANDHRA PRADESH","VIZIANAGARAM",5311,1701,57,1587,538,3883,9194
"ANDHRA PRADESH","WARANGAL",2073,430,10,479,229,1148,3221
"ANDHRA PRADESH","WEST GODAVARI",1028,271,47,0,0,318,1346
"ARUNACHAL PRADESH","CHANGLANG",104,19,17,30,80,146,250
"ARUNACHAL PRADESH","DIBANG VALLEY",52,0,0,6,7,13,65
"ARUNACHAL PRADESH","EAST KAMENG",14,1,36,5,90,132,146
