-----
{
 "description": "The table refers to statewise distribution of Deep Tubewells according to irrigation through supplementary source . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Natdptbwltab3.15.csv", 
 "title": "Download CSV for Statewise Distribution of Deep Tubewells according to Irrigation through supplementary source  for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Natdptbwltab3.15.csv"
}
-----
"State","Supplementary irrigation (Ha) - Kharif","Supplementary irrigation (Ha) - Rabi","Supplementary irrigation (Ha) - Perennial","Supplementary irrigation (Ha) - Others","Total"
"ANDHRA PRADESH",825,288,267,0,1380
"ARUNACHAL PRADESH",NA,NA,NA,NA,NA
"ASSAM",0,0,0,0,0
"BIHAR",1156,1034,104,51,2345
"GOA",0,1,18,0,19
"GUJARAT",NA,NA,NA,NA,NA
"HARYANA",1394,1414,0,0,2808
"HIMACHAL PRADESH",0,0,0,0,0
"JAMMU & KASHMIR",8,8,0,0,16
"KARNATAKA",12698.41,9456.66,4493.68,2065.75,28714.5
"KERALA",0,4,0,0,4
"MADHYA PRADESH",255,723,7,8,993
"MAHARASHTRA",NA,NA,NA,NA,NA
"MANIPUR",NA,NA,NA,NA,NA
"MEGHALAYA",3,0,1,0,4
"MIZORAM",NA,NA,NA,NA,NA
"NAGALAND",0,0,0,0,0
"ORISSA",345,42,7,2,396
"PUNJAB",1135,1138,7,0,2280
"RAJASTHAN",48,77,0,0,125
"SIKKIM",NA,NA,NA,NA,NA
"TAMIL NADU",6540.67,4071.07,931.89,285.99,11829.62
"TRIPURA",0,0,0,0,0
"UTTAR PRADESH",15929,31993,5878,2090,55890
"WEST BENGAL",815,220,17,285,1337
"ANDAMAN & NICOBARS",NA,NA,NA,NA,NA
"CHANDIGARH",NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI",NA,NA,NA,NA,NA
"DAMAN & DIU",NA,NA,NA,NA,NA
"DELHI",0,0,0,0,0
"LAKSHADWEEP",NA,NA,NA,NA,NA
"PONDICHERRY",0,0,0,0,0
"ALL INDIA",41152.08,50469.73,11731.57,4787.74,108141.12
