-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "WbengalGSDPcurrent.csv", 
 "title": "Download CSV for West Bengal Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/WbengalGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","1482600","1794248","2081393","2372631","2952537","3418105","3485487","3496531","3751873","3636033","4014324","4124933"
"Foresty and Logging","46308","49792","62450","74798","94965","104396","101401","107240","102874","105718","107604","109339"
"Fishing","200137","230492","277543","314565","354282","400028","451839","524513","581537","635172","696592","742681"
"Mining and Quarrying","78988","87362","98738","104368","127486","130974","133052","195695","237624","227974","231450","236872"
"Sub total of primary","1808033","2161894","2520124","2866362","3529270","4053503","4171779","4323979","4673908","4604897","5049970","5213825"
"Manufacturing","899699","978555","1227784","1285006","1399734","1582292","1695442","1774429","1964751","1997685","2258265","2462783"
"Registered","471407","502485","617942","612247","658516","742117","686282","690558","752726","852002","955251","1036613"
"Unregistered","428292","476070","609842","672759","741218","840175","1009160","1083871","1212025","1145683","1303014","1426170"
"Construction","233352","254467","300675","322499","450398","563011","527129","712192","774006","925576","1126117","1381470"
"Electricity, Gas and water Supply","96720","115529","131713","141652","145905","153018","221081","259203","257835","287972","373063","406936"
"Sub total of secondary","1229771","1348551","1660172","1749157","1996037","2298321","2443652","2745824","2996592","3211233","3757445","4251189"
"Transport Storage and Communication","389537","453505","514312","587124","652546","752121","811140","906721","1038741","1115377","1258422","1359669"
"Railways","73702","87638","88805","93407","100503","101880","116841","123270","140816","155179","167749","188382"
"Transport by other means","256137","295535","336878","381039","435423","501777","535784","598146","690612","723047","804906","854086"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","59698","70332","88629","112678","116620","148464","158515","185305","207313","237151","285767","317201"
"Trade, hotels and restaurants","603544","706169","843895","976196","1185826","1322081","1377569","1509014","1746042","1921097","2271163","2619276"
"Banking and Insurance","300629","421620","570808","600760","758410","1038215","1276865","1544272","1702251","2049103","2233139","2445287"
"Real estate, ownership of dwelling and business","355261","388096","424551","452974","565022","671300","858531","1065498","1207128","1479287","1835460","2301818"
"Pubic Administration","271757","292967","348586","383424","462225","593116","719565","777619","815920","881208","876460","975743"
"Other Services","383882","430356","504013","591544","647304","822945","1024288","1113410","1205904","1279656","1360807","1521321"
"Sub total of tertiary","2304610","2692713","3206165","3592022","4271333","5199778","6067958","6916534","7715986","8725728","9835451","11223114"
"State domestic product","5342414","6203158","7386461","8207541","9796640","11551602","12683389","13986337","15386486","16541858","18642866","20688128"

"Figures are in Rs. Lakh"
