-----
{
 "description": "This table provides the details of import of different chemical fertilizers from different Ports of India in each month from 2008-09 to 2012-13.", 
 "file_name": "Month-wise_and_Port-wise_import_of_Fertilizer_Products.xls", 
 "title": "Download XLS for Month-wise And Port-wise Import Of Chemical Fertilizers", 
 "url": "http://data.gov.in/sites/default/files/Month-wise_and_Port-wise_import_of_Fertilizer_Products.xls"
}
-----
-----
{
 "description": "This dataset provides the details of Production of different chemical Fertilizers and their respective percentage of N,P and K in each month during 2012-2013 and 2013-2014.", 
 "file_name": "Product_wise_and_Monthwise_Production_of_chemical_Fertilizers.xls", 
 "title": "Download XLS for Product-wise And Month-wise Production Of Chemical Fertilizers", 
 "url": "http://data.gov.in/sites/default/files/Product_wise_and_Monthwise_Production_of_chemical_Fertilizers.xls"
}
-----
"Year","Month","Product","Quantity(In '000 MTS)"," N(In '000 MTS)"," P(In '000 MTS)","K(In '000 MTS)"
"2012-2013","April","UREA",1301.2,598.552,0.0,0.0
"2012-2013","April","DAP",39.9,7.182,18.354,0.0
"2012-2013","April","A/S",170.2,35.742,0.0,0.0
"2012-2013","April",0.847222222222,43.7,8.74,8.74,0.0
"2012-2013","April",0.635590277778,4.1,0.615,0.615,0.615
"2012-2013","April",0.720335648148,225.0,38.25,38.25,38.25
"2012-2013","April","SSP",19.4,0.0,3.104,0.0
"2012-2013","April",0.435023148148,45.3,4.53,11.778,11.778
"2012-2013","April",0.522407407407,326.7,39.204,104.544,52.272
"2012-2013","April",1.18611111111,15.3,4.284,4.284,0.0
"2012-2013","April",0.607800925926,0.0,0.0,0.0,0.0
"2012-2013","April",0.805081018519,7.9,1.501,1.501,1.501
"2012-2013","April",0.680555555556,10.8,1.728,2.16,0.0
"2012-2013","April","CAN",10.6,2.65,0.0,0.0
"2012-2013","April",0.974305555556,15.2,3.496,3.496,0.0
"2012-2013","April",0.602939814815,0.0,0.0,0.0,0.0
"2012-2013","May","UREA",1813.4,834.164,0.0,0.0
"2012-2013","May","DAP",22.6,4.068,10.396,0.0
"2012-2013","May","A/S",234.9,49.329,0.0,0.0
"2012-2013","May",0.847222222222,31.9,6.38,6.38,0.0
