-----
{
 "description": "The table refers to Statewise Distribution of Shallow Tubewells according to The Farmers holding size. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltubeNat2.3.csv", 
 "title": "Download CSV for Statewise Distribution of Shallow Tubewells according to The Farmers holding size", 
 "url": "http://data.gov.in/sites/default/files/shltubeNat2.3.csv"
}
-----
"State","Marginal (0-1 ha)","Small (1-2 ha)","Medium (2-10 ha)","Big ( > 10 ha)","Total"
"ANDHRA PRADESH",223244,240729,179532,8650,652155
"ASSAM",28758,31750,15959,1052,77519
"BIHAR",238106,255659,140219,16373,650357
"CHHATTISGARH",7525,12259,21390,3947,45121
"GOA",2,3,8,1,14
"GUJARAT",15175,15058,20283,1116,51632
"HARYANA",17223,46728,131217,165104,360272
"HIMACHAL PRADESH",625,546,732,665,2568
"JAMMU & KASHMIR",637,382,290,7,1316
"JHARKHAND",477,381,235,12,1105
"KARNATAKA",223648,206255,98223,1175,529301
"KERALA",2885,1241,436,10,4572
"MADHYA PRADESH",25069,64001,168695,19769,277534
"MAHARASHTRA",20407,17700,17690,1100,56897
"MANIPUR",0,0,0,0,0
"MEGHALAYA",3,24,16,6,49
"NAGALAND",0,1,1,0,2
"ORISSA",12871,17100,11854,880,42705
"PUNJAB",56018,173753,748927,83527,1062225
"RAJASTHAN",7330,27914,71707,5432,112383
"TAMIL NADU",71525,47462,29880,1879,150746
"TRIPURA",757,217,84,5,1063
"UTTAR PRADESH",1754984,1127358,597168,29325,3508835
"UTTARANCHAL",19195,17048,14804,715,51762
"WEST BENGAL",1,581666,0,0,581667
"CHANDIGARH",17,66,48,1,132
"DELHI",2859,3737,3585,88,10269
"PONDICHERRY",2185,1430,639,28,4282
"ALL INDIA",2731526,2890468,2273622,340867,8236483
