-----
{
 "description": "The table refers to statewise distribution of dugwells according to source of finance. The report has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Natdgwltab1.7.csv", 
 "title": "Download CSV for State wise Distribution of Dugwells according to Finance source for 2nd census of minor irrigation census", 
 "url": "http://data.gov.in/sites/default/files/Natdgwltab1.7.csv"
}
-----
"State","Farmers saving","Loan and Saving","Subsidy and Bank loan","Subsidy Only","Others","Total"
"ANDHRA PRADESH",1027580,87785,35569,50190,12996,1214120
"ARUNACHAL PRADESH",NA,NA,NA,NA,NA,NA
"ASSAM",6,12,2,11,7,38
"BIHAR",164702,6843,14387,177085,10482,373499
"GOA",2443,394,763,218,108,3926
"GUJARAT",NA,NA,NA,NA,NA,NA
"HARYANA",8223,15400,2281,169,272,26345
"HIMACHAL PRADESH",847,162,32,497,14,1552
"JAMMU & KASHMIR",942,269,139,65,10,1425
"KARNATAKA",238985,60434,9993,1767,10224,321403
"KERALA",52422,14020,43625,10402,5861,126330
"MADHYA PRADESH",802183,130848,63937,29307,81888,1108163
"MAHARASHTRA",NA,NA,NA,NA,NA,NA
"MANIPUR",NA,NA,NA,NA,NA,NA
"MEGHALAYA",0,0,0,0,0,0
"MIZORAM",35,0,5,383,66,489
"NAGALAND",25,0,0,502,3,530
"ORISSA",131422,33489,77729,72068,7217,321925
"PUNJAB",3072,8268,294,12,4,11650
"RAJASTHAN",913483,60628,20482,8862,12436,1015891
"SIKKIM",NA,NA,NA,NA,NA,NA
"TAMIL NADU",1200757,46725,26411,9300,24362,1307555
"TRIPURA",306,1,19,297,99,722
"UTTAR PRADESH",103935,17494,6592,6343,1830,136194
"WEST BENGAL",26494,2742,3615,16386,2541,51778
"ANDAMAN & NICOBARS",NA,NA,NA,NA,NA,NA
"CHANDIGARH",NA,NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI",109,18,118,139,29,413
"DAMAN & DIU",NA,NA,NA,NA,NA,NA
"DELHI",NA,NA,NA,NA,NA,NA
"LAKSHADWEEP",NA,NA,NA,NA,NA,NA
"PONDICHERRY",182,29,0,0,9,220
"ALL INDIA",4678153,485561,305993,384003,170458,6024168
