-----
{
 "description": "The table refers to state wise distribution of surface lift schemes according to horse power of lifting devices. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Natsrfclfttab5.10_1.csv", 
 "title": "Download CSV for Statewise Distribution of surface lift schemes according to horsepower for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Natsrfclfttab5.10_1.csv"
}
-----
State,Horse power (0-2),Horse power (2-4),Horse power (4-6),Horse power (6-8),Horse power (8-10),Horse power (Above 10),Unspecified,Total
ANDHRA PRADESH,466,2435,12631,1208,1660,1026,0,19426
ARUNACHAL PRADESH,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,7,8,8418,1,5,671,0,9110
BIHAR,1491,221,7612,492,211,941,98,11066
GOA,123,104,279,40,94,112,0,752
GUJARAT,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,13,0,1,148,2,18,0,182
HIMACHAL PRADESH,10,4,29,34,49,420,11,557
JAMMU & KASHMIR,73,107,52,22,0,97,0,351
KARNATAKA,2574,1591,11316,3217,10102,2938,610,32348
KERALA,4721,2070,2904,342,564,663,0,11264
MADHYA PRADESH,2734,47825,115208,6961,6998,2702,6447,188875
MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,0,0,0,0,0,20,0,20
MEGHALAYA,0,0,0,0,5,10,0,15
MIZORAM,0,0,0,0,6,6,0,12
NAGALAND,0,0,0,2,17,0,0,19
ORISSA,2306,1049,3267,1322,3481,1558,7621,20604
PUNJAB,10,188,244,277,41,4,0,764
RAJASTHAN,3,3,92,69,43,75,4,289
SIKKIM,NA,NA,NA,NA,NA,NA,NA,NA
TAMIL NADU,422,324,7701,946,151,120,1913,11577
TRIPURA,2,4,410,1,9,403,0,829
UTTAR PRADESH,146,25,270,2104,556,357,8,3466
WEST BENGAL,2847,12434,62737,1438,550,3639,0,83645
ANDAMAN & NICOBARS,78,1,785,4,0,0,342,1210
CHANDIGARH,NA,NA,NA,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,1,0,9,1,22,21,0,54
DAMAN & DIU,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,NA,NA,NA,NA,NA,NA,NA,NA
LAKSHADWEEP,NA,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,0,0,400,0,0,6,0,406
ALL INDIA,18027,68393,234365,18629,24566,15807,17054,396841
