-----
{
 "description": "The table refers to statewise distribution of dugwells by status. The report has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Natdgwltab1.6.csv", 
 "title": "Download CSV for State wise Distribution of Dugwells by its status for 2nd census of minor irrigation census", 
 "url": "http://data.gov.in/sites/default/files/Natdgwltab1.6.csv"
}
-----
"State","Wells in use","Not in use - Temporary","Not in use - Abandoned (Salinity)","Not in use - Dried up","Not in use - Destroyed","Not in use - Others","Total - Not in use","Grand total (Use + Not in use)"
"ANDHRA PRADESH",1018370,101833,7578,62782,15332,10517,198042,1216412
"ARUNACHAL PRADESH",NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM",28,9,0,0,1,0,10,38
"BIHAR",354682,18257,309,8479,3133,6338,36516,391198
"GOA",3888,59,11,1,4,12,87,3975
"GUJARAT",NA,NA,NA,NA,NA,NA,NA,NA
"HARYANA",26252,0,0,0,0,188,188,26440
"HIMACHAL PRADESH",1703,9,1,6,2,1,19,1722
"JAMMU & KASHMIR",1403,22,0,0,0,0,22,1425
"KARNATAKA",271245,17260,4928,25010,1449,1967,50614,321859
"KERALA",126536,133,3,9,8,6,159,126695
"MADHYA PRADESH",1070280,9754,5313,13084,2895,25113,56159,1126439
"MAHARASHTRA",NA,NA,NA,NA,NA,NA,NA,NA
"MANIPUR",NA,NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA",2,0,0,0,0,0,0,2
"MIZORAM",403,62,1,2,5,17,87,490
"NAGALAND",232,230,0,0,3,65,298,530
"ORISSA",266403,48864,1071,2262,1967,2530,56694,323097
"PUNJAB",11511,125,31,2,0,2,160,11671
"RAJASTHAN",820032,212951,2250,5184,1011,1649,223045,1043077
"SIKKIM",NA,NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU",1137980,92854,21563,28379,10559,18453,171808,1309788
"TRIPURA",800,2,1,1,1,0,5,805
"UTTAR PRADESH",121825,4540,6012,1791,263,1893,14499,136324
"WEST BENGAL",49862,4239,220,861,411,390,6121,55983
"ANDAMAN & NICOBARS",NA,NA,NA,NA,NA,NA,NA,NA
"CHANDIGARH",NA,NA,NA,NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI",409,4,0,0,0,0,4,413
"DAMAN & DIU",NA,NA,NA,NA,NA,NA,NA,NA
"DELHI",NA,NA,NA,NA,NA,NA,NA,NA
"LAKSHADWEEP",NA,NA,NA,NA,NA,NA,NA,NA
"PONDICHERRY",191,12,0,4,15,0,31,222
"ALL INDIA",5284037,511219,49292,147857,37059,69141,814568,6098605
