-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "GujaratNSDPconst.csv", 
 "title": "Download CSV for Gujarat Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/GujaratNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","923093","1356926","1173231","1623723","1462715","1569861","1062800","921900","1267200","1059900","1759300","1570400"
"Foresty and Logging","39315","40421","40810","40692","42964","42163","41300","42600","43600","44700","46700","46100"
"Fishing","69783","74475","65558","71920","75692","63430","70200","64600","60800","63800","61800","61400"
"Mining and Quarrying","111777","119220","123253","124820","122664","122968","116700","114600","120100","126800","138800","143800"
"Sub total of primary","1143968","1591042","1402852","1861155","1704035","1798422","1291000","1143700","1491700","1295200","2006600","1821700"
"Manufacturing","1110462","1370494","1486746","1701714","1509130","1621137","1752900","1624700","1649100","1972900","2204100","2420200"
"Registered","732449","963902","1035931","1209266","1032394","1073902","1118400","822600","831100","1118100","1293900","1459200"
"Unregistered","378013","406592","450815","492448","476736","547235","634500","802100","818000","854800","910200","961000"
"Construction","213642","208914","228090","228774","282876","308542","412800","341700","311400","405500","438600","518600"
"Electricity, Gas and water Supply","92773","91074","111583","114436","124417","135519","143600","144800","145700","198800","190500","207200"
"Sub total of secondary","1416877","1670482","1826419","2044924","1916423","2065198","2309300","2111200","2106200","2577200","2833200","3146000"
"Transport Storage and Communication","226167","248131","287711","307245","388790","409753","492300","540500","617500","684300","737000","841100"
"Railways","57650","60625","65877","57919","62139","67738","67700","66500","72800","73500","78600","83200"
"Transport by other means","116890","128739","141149","161225","209052","219977","269700","296400","314700","336500","318800","336100"
"Storage","1165","1008","1305","1042","1393","1371","1400","1500","1700","1400","1400","1500"
"Communication","50462","57759","79380","87059","116206","120667","153500","176100","228300","272900","338200","420300"
"Trade, hotels and restaurants","501234","584500","650894","756680","835246","864084","834000","882400","972900","1060400","1176000","1294600"
"Banking and Insurance","322701","336945","385017","348875","392656","422643","518800","450000","474000","529300","568800","615200"
"Real estate, ownership of dwelling and business","257833","264533","271388","277575","305772","323717","348000","380400","401900","425600","453200","484400"
"Pubic Administration","137179","140994","152275","153361","174194","228063","265600","252800","239100","235800","241500","238600"
"Other Services","250088","273735","286387","315442","347594","380182","457200","496500","526000","558000","597500","636700"
"Sub total of tertiary","1695202","1848838","2033672","2159178","2444252","2628442","2915900","3002600","3231400","3493400","3774000","4110600"
"State domestic product","4256047","5110362","5262943","6065257","6064710","6492062","6516300","6257500","6829300","7365800","8613800","9078300"

"Figures are in Rs. Lakh"
