-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "KeralaNSDPcurrent.csv", 
 "title": "Download CSV for Kerala Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/KeralaNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","625603","771327","956859","1078575","1068818","1114695","1222120","1067820","1026498","1186799","1219788","1247935"
"Foresty and Logging","74340","94561","95168","101481","97894","103613","121479","195541","118930","128418","142057","105426"
"Fishing","63849","66853","83515","102436","104198","111189","135343","136319","138132","124490","132312","137653"
"Mining and Quarrying","5010","5789","6371","6139","7067","9634","11249","15752","15299","12462","14201","15602"
"Sub total of primary","768802","938530","1141913","1288631","1277977","1339131","1490191","1415432","1298859","1452169","1508358","1506616"
"Manufacturing","269832","357673","441924","472480","493201","558175","612334","603075","550833","605471","609370","601584"
"Registered","135764","173906","216999","226908","250334","301905","344959","342089","308834","340225","336405","362701"
"Unregistered","134068","183767","224925","245572","242867","256270","267375","260986","241999","265246","272965","238883"
"Construction","197049","230912","284128","343518","432857","534385","490976","651710","701567","841174","833412","1051666"
"Electricity, Gas and water Supply","17658","20515","22590","32824","43362","57794","77090","137799","151264","188444","253459","330420"
"Sub total of secondary","484539","609100","748642","848822","969420","1150354","1180400","1392584","1403664","1635089","1696241","1983670"
"Transport Storage and Communication","134320","166724","207727","235240","279221","320325","378282","450271","519697","604343","712744","835230"
"Railways","4474","4985","6090","7253","8233","11155","12818","9170","12364","17172","15708","17330"
"Transport by other means","103789","129958","160177","186098","221920","245683","298910","353109","381115","441644","506536","581348"
"Storage","521","581","771","832","863","1069","1014","1195","1419","819","1021","1109"
"Communication","25536","31200","40689","41057","48205","62418","65540","86797","124799","144708","189479","235443"
"Trade, hotels and restaurants","448431","566227","707354","824432","991030","1167492","1295247","1534603","1470945","1643236","1892189","2089496"
"Banking and Insurance","111005","135337","174179","233927","221209","270687","300062","337028","391791","488258","538287","618264"
"Real estate, ownership of dwelling and business","131203","141543","161506","184811","211557","232654","269437","342265","389379","457841","547733","650511"
"Pubic Administration","116533","120368","140247","158079","190663","222145","307385","317024","313409","353682","358038","397027"
"Other Services","190274","224407","251463","295926","347270","399286","473431","584536","697607","735066","758022","864385"
"Sub total of tertiary","1131766","1354606","1642476","1932415","2240950","2612589","3023844","3565727","3782828","4282426","4807013","5454913"
"State domestic product","2385107","2902236","3533031","4069868","4488347","5102074","5694435","6373743","6485351","7369684","8011612","8945199"

"Figures are in Rs. Lakh"
