-----
{
 "description": "This data provides details of Hon\u2019ble Members of the Eighth Lok Sabha from 31st December 1984 to 27th November 1989. It consists of name of members, constituency name, state name and party name.", 
 "file_name": "Members_of_Eighth_Lok_Sabha_From_31st_December_1984_to_27th_November_1989.xls", 
 "title": "Download XLS for Members of Eighth Lok Sabha from 31st December 1984 to 27th November 1989", 
 "url": "http://data.gov.in/sites/default/files/Members_of_Eighth_Lok_Sabha_From_31st_December_1984_to_27th_November_1989.xls"
}
-----
"Lok Sabha","Member Name","Gender","Constituency Name","State Name","Party Name"
"Eighth Lok Sabha","Kazi Jalil Abbasi","Male","Domariaganj                                                                                         ","Uttar Pradesh                                               ","Congress (I)"
"Eighth Lok Sabha","Begum Akbar Jahan Abdullah","Female","Anantnag                                                                                            ","Jammu and Kashmir                                           ","National Conference"
"Eighth Lok Sabha","Shri Basudeb Acharia","Male","Bankura                                                                                             ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Eighth Lok Sabha","Shri Lourdusamy Adaikalaraj","Male","Tiruchirappalli                                                                                     ","Tamil Nadu                                                  ","Congress (I)"
"Eighth Lok Sabha","Dr. K.G. Adiyodi","Male","Calicut                                                                                             ","Kerala                                                      ","Congress (I)"
"Eighth Lok Sabha","Shri Jai Prakash Agarwal","Male","Chandni Chowk                                                                                       ","Delhi                                                       ","Congress (I)"
"Eighth Lok Sabha","Dr. Sarfaraz Ahmad","Male","Giridih                                                                                             ","Bihar                                                       ","Congress (I)"
"Eighth Lok Sabha","Begam Abida Ahmed","Female","Bareilly                                                                                            ","Uttar Pradesh                                               ","Congress (I)"
"Eighth Lok Sabha","Shri Saifuddin Ahmed","Male","Mangaldoi                                                                                           ","Assam                                                       ","Asom Gana Parishad"
"Eighth Lok Sabha","Shri Akhtar Hasan","Male","Kairana                                                                                             ","Uttar Pradesh                                               ","Congress (I)"
"Eighth Lok Sabha","Shri Alkha Ram","Male","Salumber-ST                                                                                         ","Rajasthan                                                   ","Congress (I)"
"Eighth Lok Sabha","Shri Anand Singh","Male","Gonda                                                                                               ","Uttar Pradesh                                               ","Congress (I)"
"Eighth Lok Sabha","Shri T. Anjaiah","Male","Secunderabad                                                                                        ","Andhra Pradesh                                              ","Congress (I)"
"Eighth Lok Sabha","Shri R. Anna Nambi","Male","Pollachi-SC                                                                                         ","Tamil Nadu                                                  ","All India Anna Dravida Munnetra Kazhagam"
"Eighth Lok Sabha","Shri Abdul Hannan Ansari","Male","Madhubani                                                                                           ","Bihar                                                       ","Congress (I)"
"Eighth Lok Sabha","Shri Ziaur Rahman Ansari","Male","Unnao                                                                                               ","Uttar Pradesh                                               ","Congress (I)"
"Eighth Lok Sabha","Shri Frank Anthony","Male","Nominated Anglo-Indian                                                                              ","NA","Nominated"
"Eighth Lok Sabha","Shri P.A. Antony","Male","Trichur                                                                                             ","Kerala                                                      ","Congress (I)"
"Eighth Lok Sabha","Shri Tariq Anwar Shah","Male","Katihar                                                                                             ","Bihar                                                       ","Congress (I)"
"Eighth Lok Sabha","Shri P. Appalanarasimham","Male","Anakapalli                                                                                          ","Andhra Pradesh                                              ","Telugu Desam Party"
"Eighth Lok Sabha","Shri Arjun Singh","Male","South Delhi                                                                                         ","Delhi                                                       ","Congress (I)"
"Eighth Lok Sabha","Shri Mookaiah Arunachalam","Male","Tenkasi-SC                                                                                          ","Tamil Nadu                                                  ","Congress (I)"
"Eighth Lok Sabha","Shri Dhanuskodi Athithan","Male","Tiruchendur                                                                                         ","Tamil Nadu                                                  ","Congress (I)"
"Eighth Lok Sabha","Shri Jagdish Awasthi","Male","Bilhaur                                                                                             ","Uttar Pradesh                                               ","Congress (I)"
"Eighth Lok Sabha","Shri Bhagwat Jha Azad","Male","Bhagalpur                                                                                           ","Bihar                                                       ","Congress (I)"
"Eighth Lok Sabha","Shri Ghulam Nabi Azad","Male","Washim                                                                                              ","Maharashtra                                                 ","Congress (I)"
"Eighth Lok Sabha","Shri Azeez Sait","Male","Dharwad South                                                                                       ","Karnataka                                                   ","Congress (I)"
"Eighth Lok Sabha","Shri Amitabh Bachchan","Male","Allahabad                                                                                           ","Uttar Pradesh                                               ","Congress (I)"
"Eighth Lok Sabha","Shri Pratap Singh Baghel","Male","Dhar-ST                                                                                             ","Madhya Pradesh                                              ","Congress (I)"
"Eighth Lok Sabha","Shri Balkavi Bairagi","Male","Mandsaur                                                                                            ","Madhya Pradesh                                              ","Congress (I)"
"Eighth Lok Sabha","Shri Banwari Lal Bairwa","Male","Tonk-SC                                                                                             ","Rajasthan                                                   ","Congress (I)"
"Eighth Lok Sabha","Shri Dumar Lal Baitha","Male","Araria-SC                                                                                           ","Bihar                                                       ","Congress (I)"
"Eighth Lok Sabha","Dr. Rajendra Kumari Bajpai","Female","Sitapur                                                                                             ","Uttar Pradesh                                               ","Congress (I)"
"Eighth Lok Sabha","Shri Tadur Bala Goud","Male","Nizamabad                                                                                           ","Andhra Pradesh                                              ","Congress (I)"
"Eighth Lok Sabha","Shri L. Balaraman","Male","Vandavasi                                                                                           ","Tamil Nadu                                                  ","Congress (I)"
"Eighth Lok Sabha","Dr. Vyjayantimala Bali","Female","Madras South                                                                                        ","Tamil Nadu                                                  ","Congress (I)"
"Eighth Lok Sabha","Shri Gulam Mehmood Banatwalla","Male","Ponnani                                                                                             ","Kerala                                                      ","Muslim League"
"Eighth Lok Sabha","Kum. Mamata Banerjee","Female","Jadavpur                                                                                            ","West Bengal                                                 ","Congress (I)"
"Eighth Lok Sabha","Shri Bansi Lal","Male","Bhiwani                                                                                             ","Haryana                                                     ","Congress (I)"
"Eighth Lok Sabha","Shri Palas Barman","Male","Balurghat-SC                                                                                        ","West Bengal                                                 ","Revolutionary Socialist Party"
"Eighth Lok Sabha","Shri A.E.T. Barrow","Male","Nominated Anglo-Indian                                                                              ","NA","Nominated"
"Eighth Lok Sabha","Smt. Basava Rajeswari","Female","Bellary                                                                                             ","Karnataka                                                   ","Congress (I)"
"Eighth Lok Sabha","Shri Gangasandra Siddappa Basavaraj","Male","Tumkur                                                                                              ","Karnataka                                                   ","Congress (I)"
"Eighth Lok Sabha","Shri Thalekkunil Basheer","Male","Chirayinkil                                                                                         ","Kerala                                                      ","Congress (I)"
"Eighth Lok Sabha","Shri Zainul Basher","Male","Ghazipur                                                                                            ","Uttar Pradesh                                               ","Congress (I)"
"Eighth Lok Sabha","Shri Anil Basu","Male","Arambagh                                                                                            ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Eighth Lok Sabha","Shri Bali Ram Bhagat","Male","Arrah                                                                                               ","Bihar                                                       ","Congress (I)"
"Eighth Lok Sabha","Shri H.K.L. Bhagat","Male","East Delhi                                                                                          ","Delhi                                                       ","Congress (I)"
"Eighth Lok Sabha","Shri Manoranjan Bhakta","Male","Andaman and Nicobar Islands                                                                         ","Andaman and Nicobar Islands                                 ","Congress (I)"
"Eighth Lok Sabha","Smt. Dil Kumari Bhandari","Female","Sikkim                                                                                              ","Sikkim                                                      ","Unattached"
"Eighth Lok Sabha","Shri N.B. Bhandari","Male","Sikkim                                                                                              ","Sikkim                                                      ","Independent"
"Eighth Lok Sabha","Choudhury Bharat Singh","Male","Outer Delhi-SC                                                                                      ","Delhi                                                       ","Congress (I)"
"Eighth Lok Sabha","Shri Paras Ram Bhardwaj","Male","Sarangarh-SC                                                                                        ","Madhya Pradesh                                              ","Congress (I)"
"Eighth Lok Sabha","Shri Raghunandan Lal Bhatia","Male","Amritsar                                                                                            ","Punjab                                                      ","Congress (I)"
"Eighth Lok Sabha","Smt. Indumati Bhattacharyya","Female","Hooghly                                                                                             ","West Bengal                                                 ","Congress (I)"
"Eighth Lok Sabha","Shri Srirama Murthy Bhattam","Male","Visakhapatnam                                                                                       ","Andhra Pradesh                                              ","Telugu Desam Party"
