-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "HimachalNSDPcurrent.csv", 
 "title": "Download CSV for Himachal Pradesh Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/HimachalNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","115477","135345","151727","172176","190389","232027","252574","274890","324325","322447","367950","414397","466707"
"Foresty and Logging","33017","35212","34033","38170","42318","44038","47399","55382","63474","71516","69441","70040","70644"
"Fishing","1661","1354","1761","1877","2309","2297","2544","2549","2698","2788","2539","3108","3804"
"Mining and Quarrying","2819","4088","5528","5168","7470","7829","8836","8931","10621","9141","10493","12468","14816"
"Sub total of primary","152974","175999","193049","217391","242486","286191","311353","341752","401118","405892","450423","500013","555971"
"Manufacturing","29952","47648","60689","77556","85647","96337","125167","147056","150360","163734","193922","241477","296155"
"Registered","22529","37194","46850","59836","64410","73851","99544","114679","112338","124079","141080","160791","182291"
"Unregistered","7423","10454","13839","17720","21237","22486","25623","32377","38022","39655","52842","80686","113864"
"Construction","63867","75754","92140","106031","114033","141996","154783","177086","193918","212285","239595","269054","300867"
"Electricity, Gas and water Supply","13660","34779","35646","35607","43773","55322","52634","64302","60807","68170","76504","81151","86173"
"Sub total of secondary","107479","158181","188475","219194","243453","293655","332584","388444","405085","444189","510021","591682","683195"
"Transport Storage and Communication","7633","7999","9246","10383","17926","25249","29447","35654","45171","58354","72164","86707","98896"
"Railways","280","135","298","338","350","482","534","534","534","534","534","534","534"
"Transport by other means","4682","4936","6643","7715","15011","21715","24567","29950","40324","51372","61925","68349","75598"
"Storage","26","31","35","38","42","45","45","45","56","56","56","56","56"
"Communication","2645","2897","2270","2292","2523","3007","4301","5125","4257","6392","9649","17768","22708"
"Trade, hotels and restaurants","38262","46629","51659","60764","72290","81967","101623","117131","124075","138029","154620","171317","179883"
"Banking and Insurance","18487","23359","26538","31804","32988","43930","51381","53694","56111","59262","68238","68238","71902"
"Real estate, ownership of dwelling and business","23474","24425","25043","26231","26588","27990","29768","30664","32985","37671","40660","43101","45712"
"Pubic Administration","32439","33454","38810","47175","57341","72502","89265","94283","111044","122844","130110","139519","152707"
"Other Services","44255","49200","60204","67345","87626","119262","142729","149209","158076","174512","177035","187848","206062"
"Sub total of tertiary","164550","185066","211500","243702","294759","370900","444213","480635","527462","590672","642827","696730","755162"
"State domestic product","425003","519246","593024","680287","780698","950746","1088150","1210831","1333665","1440754","1603271","1788425","1994328"

"Figures are in Rs. Lakh"
