-----
{
 "description": "The table refers to District wise Deep Tubewells in the command of Major/Medium Projects and Supplimentary Irrigation. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.13.csv", 
 "title": "Download CSV for Districtwise Deep Tubewells in the command of Major/Medium Projects and Supplimentary Irrigation", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.13.csv"
}
-----
"State","District","Location of Tubewell (Nos) - Inside Command","Location of Tubewell (Nos) - Outside Command","Augmentation","Total","Supplementary Irrigation (Ha) - Kharif","Supplementary Irrigation (Ha) - Rabi","Supplementary Irrigation (Ha) - Perennial","Supplementary Irrigation (Ha) - Others","Total.1"
"ANDHRA PRADESH","ADILABAD",0,68,0,68,0,0,0,0,0
"ANDHRA PRADESH","ANANTHAPUR",0,561,0,561,0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR",0,28906,27,28933,0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH",209,20062,9,20280,300,10,0,0,310
"ANDHRA PRADESH","EAST GODAVARI",228,3857,2,4087,483,114,270,4,871
"ANDHRA PRADESH","GUNTUR",15,2439,0,2454,3,0,0,0,3
"ANDHRA PRADESH","KARIMNAGAR",102,235,1,338,6,4,0,0,10
"ANDHRA PRADESH","KHAMMAM",0,1112,0,1112,15,58,0,0,73
"ANDHRA PRADESH","KRISHNA",1,953,1,955,14,0,0,0,14
"ANDHRA PRADESH","KURNOOL",0,2577,0,2577,1,0,0,0,1
"ANDHRA PRADESH","MEDAK",0,539,0,539,0,0,0,0,0
"ANDHRA PRADESH","NALGONDA",4,58,0,62,6,3,5,0,15
"ANDHRA PRADESH","NELLORE",0,333,0,333,0,0,0,0,0
"ANDHRA PRADESH","NIZAMABAD",0,10,0,10,0,0,0,0,0
"ANDHRA PRADESH","PRAKASAM",40,1653,1,1694,37,2,0,0,40
"ANDHRA PRADESH","RANGAREDDY",0,1550,3,1553,0,0,0,0,0
"ANDHRA PRADESH","SRIKAKULAM",0,57,0,57,0,0,0,0,0
