-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "MadhyaPradeshGSDPconst_1.csv", 
 "title": "Download CSV for Madhya Pradesh Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/MadhyaPradeshGSDPconst_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","1408457","1373986","1416799","1497628","1525436","1556800","1663757","1205921","1489563","1205936","1687314","1628961","1463150"
"Foresty and Logging","98003","103349","100031","104398","107045","105460","94980","103652","115378","111076","110191","122223","125817"
"Fishing","3691","5060","6995","7573","8767","8152","8990","8825","9772","8683","10464","12779","12766"
"Mining and Quarrying","129815","123451","128602","133552","131227","161717","168420","174944","184754","191136","206776","221108","221812"
"Sub total of primary","1639966","1605846","1652427","1743151","1772475","1832129","1936147","1493342","1799467","1516831","2014745","1985071","1823545"
"Manufacturing","482839","584052","632515","658114","737876","768198","825777","882862","866183","698694","710976","738667","792574"
"Registered","279441","332943","372360","376800","439103","455092","507034","540330","517621","457936","458999","483554","527498"
"Unregistered","203398","251109","260155","281314","298773","313106","318743","342532","348562","240758","251977","255113","265076"
"Construction","192060","199611","211269","219979","227474","273982","522904","397447","420292","491241","565071","628123","701610"
"Electricity, Gas and water Supply","128060","135777","150523","155354","158235","189498","181438","169063","166372","162737","177810","189099","203121"
"Sub total of secondary","802959","919440","994307","1033447","1123585","1231678","1530119","1449372","1452847","1352672","1453857","1555889","1697305"
"Transport Storage and Communication","218120","231261","251060","276736","296589","296319","343131","364232","418227","460349","514495","568999","635343"
"Railways","105838","109254","116761","115039","119081","98917","130800","135320","150461","160425","170720","181015","192522"
"Transport by other means","86582","91117","102525","115313","127807","138708","150095","153375","162027","169909","182592","195125","207157"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","25700","30890","31774","46384","49701","58694","62236","75537","105739","130015","161183","192859","235664"
"Trade, hotels and restaurants","420438","406476","452686","487288","534958","569753","574309","483882","533784","475118","592848","588507","582234"
"Banking and Insurance","86831","96159","108669","142428","168631","164801","174552","188460","201630","236541","254155","271769","300478"
"Real estate, ownership of dwelling and business","237626","245200","253038","261132","269505","278197","287175","338648","356614","374500","382224","390258","401286"
"Pubic Administration","164771","167923","179098","188341","186535","238392","241461","230363","228591","232827","221882","234420","245207"
"Other Services","226387","234672","255069","284476","285755","331143","374531","381080","369436","372565","399002","437533","463969"
"Sub total of tertiary","1354173","1381691","1499620","1640401","1741973","1878605","1995159","1986665","2108282","2151900","2364606","2491486","2628517"
"State domestic product","3797098","3906977","4146354","4416999","4638033","4942412","5461425","4929379","5360596","5021403","5833208","6032446","6149367"

"Figures are in Rs. Lakh"
