-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells according to ownership. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.2.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells according to ownership", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.2.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Government,Cooperative Societies,Panchayat,Group of farmers,Individual farmers,Others,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,0,0,0,0,204,0,204
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,0,0,0,0,140,0,140
ANDHRA PRADESH,ADILABAD,BEJJUR,0,0,0,0,17,0,17
ANDHRA PRADESH,ADILABAD,BELA,0,0,0,0,6,0,6
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,0,0,0,0,3,0,3
ANDHRA PRADESH,ADILABAD,BHAINSA,0,0,3,0,1769,0,1772
ANDHRA PRADESH,ADILABAD,BHEEMINI,0,0,0,0,54,0,54
ANDHRA PRADESH,ADILABAD,BOATH,0,0,0,0,730,0,730
ANDHRA PRADESH,ADILABAD,CHENNUR,0,0,0,0,287,0,287
ANDHRA PRADESH,ADILABAD,DAHEGAON,0,0,0,0,53,0,53
ANDHRA PRADESH,ADILABAD,DILAWARPUR,0,0,0,0,1091,0,1091
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,0,0,0,0,107,0,107
ANDHRA PRADESH,ADILABAD,ICHODA,0,0,0,0,368,0,368
ANDHRA PRADESH,ADILABAD,INDERAVELLY,0,0,0,0,65,0,65
ANDHRA PRADESH,ADILABAD,JAINAD,0,0,0,1,140,0,141
ANDHRA PRADESH,ADILABAD,JAIPUR,0,0,0,0,130,0,130
ANDHRA PRADESH,ADILABAD,KERAMERI,0,0,0,0,9,0,9
ANDHRA PRADESH,ADILABAD,KOTAPALLE,0,0,0,0,490,0,490
ANDHRA PRADESH,ADILABAD,KOUTHALA,0,0,0,0,33,0,33
ANDHRA PRADESH,ADILABAD,KUBEER,0,0,0,0,611,0,611
ANDHRA PRADESH,ADILABAD,KUNTALA,0,0,0,0,1290,0,1290
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,0,0,0,0,164,0,164
ANDHRA PRADESH,ADILABAD,LOHESRA,0,0,0,0,1510,0,1510
ANDHRA PRADESH,ADILABAD,MAMDA,0,0,1,0,868,5,874
ANDHRA PRADESH,ADILABAD,MANCHERIAL,0,0,0,0,14,0,14
ANDHRA PRADESH,ADILABAD,MUDHOLE,0,0,0,0,1325,0,1325
ANDHRA PRADESH,ADILABAD,NARNOOR,0,0,0,0,94,0,94
ANDHRA PRADESH,ADILABAD,NERADIGONDA,0,0,0,0,270,0,270
ANDHRA PRADESH,ADILABAD,NIRMAL,0,0,0,0,456,0,456
ANDHRA PRADESH,ADILABAD,REBBANA,0,0,0,0,10,0,10
ANDHRA PRADESH,ADILABAD,SARANGAPUR,0,0,0,0,1630,0,1630
ANDHRA PRADESH,ADILABAD,TALAMADUGU,0,6,0,0,273,0,279
ANDHRA PRADESH,ADILABAD,TAMSI,0,0,0,0,205,0,205
ANDHRA PRADESH,ADILABAD,TANDUR,0,0,0,0,17,0,17
ANDHRA PRADESH,ADILABAD,TANUR,0,0,0,0,596,0,596
ANDHRA PRADESH,ADILABAD,UTNUR,0,0,0,0,43,0,43
ANDHRA PRADESH,ADILABAD,VEMANPALLE,0,0,0,0,104,0,104
ANDHRA PRADESH,ADILABAD,WANKDI,0,0,0,0,1,0,1
ANDHRA PRADESH,ANANTHAPUR,AGALI,0,1,1,0,718,1,721
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,0,0,0,0,286,0,286
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,0,0,0,1,344,0,345
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,0,0,0,0,323,0,323
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,0,0,0,149,0,149
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,0,0,0,3,487,0,490
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,4,0,0,0,535,0,539
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,0,0,0,0,588,0,588
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,0,0,0,5,559,0,564
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,0,0,0,0,142,0,142
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,8,0,0,233,807,0,1048
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,0,0,0,10,681,0,691
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,0,0,0,10,516,3,529
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,0,0,0,0,1483,2,1485
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,1,0,0,3,305,0,309
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,0,0,0,4,92,0,96
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,0,0,0,0,1144,0,1144
ANDHRA PRADESH,ANANTHAPUR,GOOTY,1,1,0,7,404,0,413
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,0,0,0,0,384,0,384
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,0,0,0,53,247,0,300
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,1,0,0,130,467,0,598
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,0,0,0,5,446,0,451
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,3,0,0,4,556,0,563
ANDHRA PRADESH,ANANTHAPUR,KADIRI,1,0,0,0,265,0,266
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,0,9,0,5,411,0,425
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,0,0,5,142,203,0,350
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,1,3,1,51,430,0,486
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,3,0,0,0,980,0,983
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,0,0,0,58,343,1,402
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,1,0,0,6,402,0,409
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,0,0,0,0,97,6,103
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,1,0,2,23,940,0,966
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,1,3,0,33,441,0,478
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,0,0,0,2,320,0,322
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,0,0,0,0,368,0,368
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,0,0,0,24,241,1,266
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,0,0,0,46,334,0,380
ANDHRA PRADESH,ANANTHAPUR,NARPALA,0,0,0,31,358,1,390
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,0,0,15,2,273,0,290
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,0,0,0,1,686,0,687
ANDHRA PRADESH,ANANTHAPUR,PARIGI,0,0,0,1,566,2,569
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,41,0,0,3,1685,0,1729
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,3,0,0,22,688,1,714
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,2,0,0,2,439,0,443
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,0,0,0,6,1497,1,1504
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,0,0,0,7,331,0,338
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,0,0,6,8,313,0,327
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,0,0,0,50,562,1,613
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,0,0,0,11,733,0,744
ANDHRA PRADESH,ANANTHAPUR,RODDAM,0,0,1,0,1089,0,1090
ANDHRA PRADESH,ANANTHAPUR,ROLLA,0,0,0,1,536,0,537
ANDHRA PRADESH,ANANTHAPUR,SETTUR,0,0,0,20,81,0,101
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,0,0,0,0,692,1,693
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,11,2,0,9,408,1,431
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,2,0,0,0,380,0,382
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,1,0,0,13,971,0,985
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,0,0,0,282,123,0,405
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,0,0,0,0,133,0,133
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,0,0,0,0,175,0,175
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,0,0,0,31,166,1,198
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,0,0,0,0,159,0,159
ANDHRA PRADESH,ANANTHAPUR,YADIKI,0,0,0,9,750,0,759
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,0,0,0,0,1206,0,1206
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,20,0,0,28,195,0,243
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,0,0,0,2,380,0,382
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,0,0,0,0,99,0,99
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,0,0,0,0,120,0,120
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,0,0,0,0,114,0,114
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,0,1,0,17,741,1,760
ANDHRA PRADESH,CHITTOOR,CHITTOOR,0,0,0,2,62,0,64
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,0,0,0,6,90,0,96
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,0,0,0,2,145,0,147
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,0,0,0,0,104,0,104
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,4,0,0,0,0,0,4
ANDHRA PRADESH,CHITTOOR,GUDIPALA,0,0,0,0,22,0,22
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,0,0,0,0,61,0,61
ANDHRA PRADESH,CHITTOOR,K V P PURAM,0,0,0,20,616,0,636
ANDHRA PRADESH,CHITTOOR,KALAKADA,0,0,0,19,352,0,371
ANDHRA PRADESH,CHITTOOR,KALIKIRI,0,0,0,0,453,0,453
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,0,0,0,0,101,0,101
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,0,0,0,0,979,0,979
ANDHRA PRADESH,CHITTOOR,KUPPAM,20,0,0,0,0,2,22
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,1,0,0,40,134,3,178
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,26,0,0,0,730,0,756
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,1,0,0,24,84,0,109
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,0,0,0,0,538,0,538
ANDHRA PRADESH,CHITTOOR,NAGARI,1,0,0,0,574,0,575
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,8,6,0,11,410,0,435
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,0,0,0,0,183,0,183
ANDHRA PRADESH,CHITTOOR,NINDRA,0,0,0,9,861,0,870
ANDHRA PRADESH,CHITTOOR,PAKALA,0,1,0,27,283,0,311
ANDHRA PRADESH,CHITTOOR,PALAMANER,0,0,0,0,204,0,204
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,0,0,0,0,151,0,151
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,0,0,0,0,198,0,198
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,1,0,0,0,70,0,71
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,0,0,0,0,210,0,210
ANDHRA PRADESH,CHITTOOR,PENUMURU,0,0,0,6,110,0,116
ANDHRA PRADESH,CHITTOOR,PICHATUR,0,0,0,0,197,0,197
ANDHRA PRADESH,CHITTOOR,PILERU,0,0,0,0,68,0,68
ANDHRA PRADESH,CHITTOOR,PULICHERLA,34,0,0,1,38,0,73
ANDHRA PRADESH,CHITTOOR,PUNGANUR,0,1,0,0,284,0,285
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,0,0,0,12,913,0,925
ANDHRA PRADESH,CHITTOOR,PUTTUR,0,0,0,3,567,0,570
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,4,0,0,3,69,0,76
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,7,0,0,0,548,0,555
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,0,0,0,0,67,0,67
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,4,0,0,40,508,0,552
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,0,0,0,1,104,0,105
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,0,0,0,0,13,0,13
ANDHRA PRADESH,CHITTOOR,SODAM,0,0,0,0,84,0,84
ANDHRA PRADESH,CHITTOOR,SOMALA,0,0,0,1,61,0,62
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,0,1,0,29,371,0,401
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,0,0,0,0,338,0,338
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,2,1,0,31,632,0,666
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,14,0,0,8,701,0,723
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,0,0,0,0,20,4,24
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,2,0,0,37,591,2,632
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,0,0,2,0,370,1,373
ANDHRA PRADESH,CHITTOOR,VAYALPAD,0,0,0,2,102,0,104
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,1,0,645,0,0,0,646
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,0,0,0,1,108,10,119
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,0,1,0,0,485,0,486
ANDHRA PRADESH,CHITTOOR,YADAMARI,0,0,0,0,27,0,27
ANDHRA PRADESH,CHITTOOR,YERPEDU,5,1,1,101,1496,0,1604
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,0,1,0,2,388,0,391
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,0,0,0,44,9,0,53
ANDHRA PRADESH,CUDDAPAH,ATLUR,0,0,1,73,0,0,74
ANDHRA PRADESH,CUDDAPAH,B KODUR,0,0,0,0,1,0,1
ANDHRA PRADESH,CUDDAPAH,BADVEL,1,4,3,44,30,4,86
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,0,0,0,6,14,0,20
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,0,0,0,10,439,0,449
ANDHRA PRADESH,CUDDAPAH,CHAPAD,0,0,0,32,1133,0,1165
ANDHRA PRADESH,CUDDAPAH,CHENNUR,0,0,0,1,279,0,280
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,0,0,0,0,23,0,23
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,0,0,0,0,30,0,30
ANDHRA PRADESH,CUDDAPAH,CHITVEL,0,0,0,1,245,0,246
ANDHRA PRADESH,CUDDAPAH,DUVVUR,0,0,0,0,236,0,236
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,0,0,0,0,40,0,40
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,0,0,0,6,4,0,10
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,0,1,0,109,267,0,377
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,0,0,0,1,1359,0,1360
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,3,0,0,3,619,0,625
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,1,0,0,7,1373,0,1381
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,0,0,0,1,91,0,92
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,0,0,0,1,323,0,324
ANDHRA PRADESH,CUDDAPAH,NANDALUR,0,0,0,1,260,1,262
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,0,0,1,247,0,248
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,0,0,0,0,444,0,444
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,0,0,0,342,1279,0,1621
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,0,0,0,72,205,2,279
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,0,0,0,1,1036,6,1043
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,0,0,0,0,120,0,120
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,1,0,0,0,265,0,266
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,0,0,0,0,124,0,124
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,0,0,0,5,58,0,63
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,2,0,1,329,791,7,1130
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,0,0,0,23,15,0,38
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,1,0,0,9,775,0,785
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,0,0,0,22,777,0,799
ANDHRA PRADESH,CUDDAPAH,THANDUR,0,0,0,8,21,0,29
ANDHRA PRADESH,CUDDAPAH,VALLUR,0,0,0,0,498,0,498
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,0,0,53,388,0,441
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,0,0,0,0,551,0,551
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,0,0,0,5,920,1,926
ANDHRA PRADESH,CUDDAPAH,VEMULA,0,0,0,75,149,0,224
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,0,0,0,0,28,0,28
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,0,0,0,0,268,0,268
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,0,0,0,0,31,0,31
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,6,0,0,3,718,0,727
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,0,0,0,0,794,0,794
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,0,0,0,0,109,0,109
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,0,0,0,0,513,0,513
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,0,0,0,0,1390,0,1390
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHI,1,0,0,0,229,0,230
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,0,0,0,0,1350,1,1351
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,1,0,0,0,142,0,143
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,1,0,0,0,212,0,213
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,0,0,0,0,5,0,5
ANDHRA PRADESH,EAST GODAVARI,I POLAVARAM,0,0,0,0,62,0,62
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,0,0,0,0,139,0,139
ANDHRA PRADESH,EAST GODAVARI,KADIAM,0,1,0,0,1797,0,1798
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,0,0,0,1,49,0,50
ANDHRA PRADESH,EAST GODAVARI,KAKINADA (RURAL),0,0,0,1,55,0,56
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,0,0,0,59,684,3,746
ANDHRA PRADESH,EAST GODAVARI,KARAPA,0,0,0,0,24,0,24
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,0,0,1,0,682,0,683
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,0,0,0,0,386,0,386
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,0,0,0,0,250,1,251
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLI,0,0,0,0,65,0,65
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,0,0,0,0,1563,0,1563
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,0,0,0,1,2035,0,2036
