-----
{
 "description": "The table refers to Block wise Culturable Command Area and Potential Created through Dugwells. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.12.csv", 
 "title": "Download CSV for Blockwise Culturable Command Area and Potential Created through Dugwells", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.12.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others,Total,
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,5,3,3,1,0,6,
ANDHRA PRADESH,ADILABAD,ADILABAD,521,511,74,0,0,585,
ANDHRA PRADESH,ADILABAD,ASIFABAD,65,70,2,0,0,71,
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,616,469,249,11,0,729,
ANDHRA PRADESH,ADILABAD,BEJJUR,131,132,0,0,0,132,
ANDHRA PRADESH,ADILABAD,BELA,178,84,99,0,0,183,
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,328,307,68,0,0,375,
ANDHRA PRADESH,ADILABAD,BHAINSA,21,21,0,0,0,21,
ANDHRA PRADESH,ADILABAD,BHEEMINI,180,69,168,0,0,237,
ANDHRA PRADESH,ADILABAD,BOATH,114,120,63,32,0,215,
ANDHRA PRADESH,ADILABAD,CHENNUR,249,248,2,0,0,250,
ANDHRA PRADESH,ADILABAD,DAHEGAON,412,414,0,0,0,414,
ANDHRA PRADESH,ADILABAD,DANDEPALLE,1487,1458,194,0,4,1656,
ANDHRA PRADESH,ADILABAD,DILAWARPUR,804,804,10,0,0,813,
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,495,497,76,1,0,573,
ANDHRA PRADESH,ADILABAD,ICHODA,490,435,96,42,40,614,
ANDHRA PRADESH,ADILABAD,INDERAVELLY,652,622,159,0,0,781,
ANDHRA PRADESH,ADILABAD,JAINAD,257,252,70,70,2,395,
ANDHRA PRADESH,ADILABAD,JAINOOR,239,239,0,0,0,239,
ANDHRA PRADESH,ADILABAD,JAIPUR,460,405,143,0,0,549,
ANDHRA PRADESH,ADILABAD,JANNARAM,322,311,37,9,0,358,
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,1285,1197,474,0,1,1672,
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,332,288,163,2,1,454,
ANDHRA PRADESH,ADILABAD,KASIPET,123,124,34,0,0,158,
ANDHRA PRADESH,ADILABAD,KERAMERI,238,173,150,0,0,323,
ANDHRA PRADESH,ADILABAD,KHANPUR,1765,1713,187,0,1,1902,
ANDHRA PRADESH,ADILABAD,KOTAPALLE,188,118,104,0,0,222,
ANDHRA PRADESH,ADILABAD,KOUTHALA,371,372,29,3,1,405,
ANDHRA PRADESH,ADILABAD,KUBEER,64,63,10,0,0,74,
ANDHRA PRADESH,ADILABAD,KUNTALA,39,38,8,0,0,47,
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,972,945,572,32,0,1549,
ANDHRA PRADESH,ADILABAD,LOHESRA,187,187,24,0,0,211,
ANDHRA PRADESH,ADILABAD,LUXETTIPET,1385,1429,60,19,0,1508,
ANDHRA PRADESH,ADILABAD,MAMDA,473,446,267,0,0,713,
ANDHRA PRADESH,ADILABAD,MANCHERIAL,1776,1669,452,8,0,2130,
ANDHRA PRADESH,ADILABAD,MANDAMARRI,730,768,192,0,0,960,
ANDHRA PRADESH,ADILABAD,NARNOOR,618,408,294,54,0,756,
ANDHRA PRADESH,ADILABAD,NENNAL,211,175,47,0,0,223,
ANDHRA PRADESH,ADILABAD,NERADIGONDA,99,101,41,3,0,145,
ANDHRA PRADESH,ADILABAD,NIRMAL,1570,1526,934,69,0,2529,
ANDHRA PRADESH,ADILABAD,REBBANA,268,228,87,0,0,315,
ANDHRA PRADESH,ADILABAD,SARANGAPUR,164,163,82,0,0,245,
ANDHRA PRADESH,ADILABAD,SIRPUR (T),229,233,20,0,0,253,
ANDHRA PRADESH,ADILABAD,SIRPUR (U),340,145,204,0,0,349,
ANDHRA PRADESH,ADILABAD,TALAMADUGU,1031,1031,586,0,0,1618,
ANDHRA PRADESH,ADILABAD,TAMSI,690,685,8,0,0,694,
ANDHRA PRADESH,ADILABAD,TANDUR,169,176,3,0,0,178,
ANDHRA PRADESH,ADILABAD,TIRYANI,184,184,2,0,0,186,
ANDHRA PRADESH,ADILABAD,UTNUR,739,1055,398,3,1,1457,
ANDHRA PRADESH,ADILABAD,VEMANPALLE,185,185,5,0,1,191,
ANDHRA PRADESH,ADILABAD,WANKDI,107,89,18,0,0,107,
ANDHRA PRADESH,ANANTHAPUR,AGALI,975,863,821,66,3,1753,
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,1284,1308,3641,399,26,5375,
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,685,601,401,62,2,1066,
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,1439,1381,295,0,0,1676,
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,1358,805,547,78,0,1431,
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,1372,707,501,248,0,1456,
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,818,786,332,0,0,1118,
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,449,413,224,14,0,651,
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,900,789,648,0,0,1438,
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,1063,425,669,78,0,1171,
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,2508,1902,1294,402,0,3598,
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,1017,954,625,25,29,1633,
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,1534,1132,472,270,1,1875,
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,1345,930,421,19,0,1370,
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,3517,2162,1366,10,0,3538,
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,745,717,461,28,0,1205,
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,1583,906,351,622,2,1880,
ANDHRA PRADESH,ANANTHAPUR,GOOTY,866,642,235,82,0,958,
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,1542,1262,443,16,0,1720,
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,870,754,496,106,0,1355,
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,1039,992,650,16,0,1658,
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,705,533,234,0,0,767,
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,996,995,425,81,0,1501,
ANDHRA PRADESH,ANANTHAPUR,KADIRI,801,335,469,0,0,804,
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,1592,1286,818,22,0,2125,
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,1440,1062,808,0,0,1869,
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,1330,1066,815,45,51,1976,
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,993,952,766,0,0,1718,
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,1237,744,633,210,0,1587,
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,1281,1049,704,99,0,1853,
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,1809,1452,951,1,0,2404,
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,819,710,172,30,0,911,
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,1639,1258,386,168,7,1819,
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,1891,1471,790,16,0,2278,
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,795,792,754,2,0,1548,
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,1442,1129,806,174,73,2182,
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,1075,805,541,26,0,1372,
ANDHRA PRADESH,ANANTHAPUR,NARPALA,3875,2715,1350,1121,12,5199,
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,1864,868,672,769,15,2324,
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,625,341,162,282,0,785,
ANDHRA PRADESH,ANANTHAPUR,PARIGI,1039,666,420,190,5,1281,
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,558,183,80,373,0,636,
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,52,50,18,0,0,69,
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,2005,1513,687,71,0,2272,
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,3395,2089,1816,1235,2,5141,
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,1001,607,550,142,0,1300,
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,1100,973,752,3,0,1728,
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,902,711,502,60,0,1273,
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,1521,1432,920,0,0,2352,
ANDHRA PRADESH,ANANTHAPUR,RODDAM,1590,1321,920,49,1,2291,
ANDHRA PRADESH,ANANTHAPUR,ROLLA,753,752,687,43,0,1483,
ANDHRA PRADESH,ANANTHAPUR,SETTUR,1034,999,534,0,0,1532,
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,1928,1108,682,575,0,2366,
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,815,703,159,27,2,891,
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,1914,1162,749,369,1,2282,
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,1691,994,559,689,0,2242,
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,1417,1289,710,24,2,2024,
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,1517,994,868,0,0,1862,
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,856,810,437,0,0,1247,
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,523,488,405,6,0,898,
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,333,408,24,0,0,432,
ANDHRA PRADESH,ANANTHAPUR,YADIKI,1164,1060,515,25,0,1600,
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,2240,1426,1158,750,0,3335,
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,574,468,219,4,1,692,
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,2767,2049,994,429,4,3476,
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,3968,3640,2208,20,0,5868,
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,1052,362,690,0,0,1053,
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,2543,2191,877,51,0,3119,
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,1332,1322,1316,7,2,2647,
ANDHRA PRADESH,CHITTOOR,CHITTOOR,2451,1894,667,130,10,2702,
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,1357,1303,537,2,0,1841,
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,3804,2827,1530,0,0,4357,
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,1996,1842,924,0,0,2766,
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,707,648,311,0,0,959,
ANDHRA PRADESH,CHITTOOR,GUDIPALA,2603,2159,723,0,0,2883,
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,1540,1230,742,36,21,2031,
ANDHRA PRADESH,CHITTOOR,IRALA,2148,1889,862,0,0,2751,
ANDHRA PRADESH,CHITTOOR,K V P PURAM,1813,674,1473,22,0,2170,
ANDHRA PRADESH,CHITTOOR,KALAKADA,1573,1296,809,0,0,2106,
ANDHRA PRADESH,CHITTOOR,KALIKIRI,1142,725,567,0,0,1292,
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,1912,1449,1335,1,0,2785,
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,2571,1918,1565,0,0,3483,
ANDHRA PRADESH,CHITTOOR,KUPPAM,2206,1888,1268,10,3,3169,
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,1030,964,517,3,0,1483,
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,1389,882,508,0,0,1389,
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,1099,984,528,0,0,1512,
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,1359,1228,1179,14,0,2422,
ANDHRA PRADESH,CHITTOOR,NAGARI,2625,1407,1660,15,0,3082,
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,988,403,355,211,20,988,
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,992,814,608,0,0,1422,
ANDHRA PRADESH,CHITTOOR,NINDRA,2134,1292,1371,0,0,2664,
ANDHRA PRADESH,CHITTOOR,PAKALA,2378,1420,976,0,0,2395,
ANDHRA PRADESH,CHITTOOR,PALAMANER,1431,1264,904,0,0,2168,
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,1837,1356,1213,1,0,2570,
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,2181,1740,1023,0,0,2763,
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,755,673,498,1,0,1173,
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,994,631,343,19,3,996,
ANDHRA PRADESH,CHITTOOR,PENUMURU,2246,1953,530,0,0,2483,
