-----
{
 "description": "According to the 2001 Census, the total urban population is 285.35 million, which accounts for 27.78 per cent of the total population. While the total population in the country increased by 21.34 per cent in 1991-2001, urban population grew by 31.36 per cent during the same period. However the ...", 
 "file_name": "Growth_Of_Urban_Population.xls", 
 "title": "Download XLS for Growth Of Urban Population", 
 "url": "http://data.gov.in/sites/default/files/Growth_Of_Urban_Population.xls"
}
-----
"Year","Percentage of urban to total","Decadal urban population growth"
1981.0,23.34,46.14
1991.0,25.72,36.46
2001.0,27.78,31.36
