-----
{
 "description": "The table refers to Block wise Distribution of Deep Tubewells according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.9.csv", 
 "title": "Download CSV for Blockwise Distribution of Deep Tubewells according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.9.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Horse Power (0 - 6),Horse Power (6 - 12),Horse Power (12 - 18),Horse Power ( > 18),Total
ANDHRA PRADESH,ADILABAD,CHENNUR,20,0,0,0,20
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,1,2,0,0,3
ANDHRA PRADESH,ADILABAD,JAIPUR,15,1,0,1,17
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,4,21,0,0,25
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,0,2,0,0,2
ANDHRA PRADESH,ADILABAD,SIRPUR (T),0,1,0,0,1
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,48,512,1,0,561
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,181,643,0,4,828
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,208,129,1,0,338
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,407,214,1,0,622
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,170,0,0,0,170
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,76,0,0,0,76
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,4,94,0,2,100
ANDHRA PRADESH,CHITTOOR,CHITTOOR,110,303,0,1,414
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,525,69,1,1,596
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,671,624,1,0,1296
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,849,175,0,5,1029
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,3,507,0,0,510
ANDHRA PRADESH,CHITTOOR,GUDIPALA,119,168,0,0,287
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,70,753,0,0,823
ANDHRA PRADESH,CHITTOOR,IRALA,461,311,2,0,774
ANDHRA PRADESH,CHITTOOR,K V P PURAM,78,4,0,0,82
ANDHRA PRADESH,CHITTOOR,KALAKADA,70,73,0,0,143
ANDHRA PRADESH,CHITTOOR,KALIKIRI,18,3,0,0,21
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,191,46,6,0,243
ANDHRA PRADESH,CHITTOOR,KUPPAM,10,1384,0,0,1394
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,323,267,1,3,594
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,177,526,0,8,711
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,167,235,0,2,404
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,114,339,0,0,453
ANDHRA PRADESH,CHITTOOR,PAKALA,0,2,0,0,2
ANDHRA PRADESH,CHITTOOR,PALAMANER,349,25,0,1,375
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,109,77,0,0,186
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,625,155,0,1,781
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,208,195,0,0,403
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,348,785,0,22,1155
ANDHRA PRADESH,CHITTOOR,PENUMURU,567,446,4,2,1019
ANDHRA PRADESH,CHITTOOR,PICHATUR,50,16,0,0,66
ANDHRA PRADESH,CHITTOOR,PILERU,280,143,0,2,425
ANDHRA PRADESH,CHITTOOR,PULICHERLA,201,680,0,1,882
ANDHRA PRADESH,CHITTOOR,PUNGANUR,1002,483,0,3,1488
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,69,38,0,0,107
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,165,12,0,0,177
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,672,531,3,2,1208
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,86,759,0,8,853
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,0,1394,0,0,1394
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,65,0,0,0,65
ANDHRA PRADESH,CHITTOOR,SODAM,357,318,1,0,676
ANDHRA PRADESH,CHITTOOR,SOMALA,152,488,0,0,640
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,12,1,0,0,13
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,36,20,15,0,71
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,176,291,0,1,468
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,97,1620,28,1,1746
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,0,1,0,0,1
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,0,5,0,0,5
ANDHRA PRADESH,CHITTOOR,VAYALPAD,264,449,4,11,728
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,125,70,0,0,195
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,251,803,0,0,1054
ANDHRA PRADESH,CHITTOOR,YADAMARI,237,441,0,15,693
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,67,81,0,1,149
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,0,590,5,0,595
ANDHRA PRADESH,CUDDAPAH,ATLUR,177,366,4,0,547
ANDHRA PRADESH,CUDDAPAH,B KODUR,35,444,4,0,483
ANDHRA PRADESH,CUDDAPAH,BADVEL,58,360,5,0,423
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,18,827,5,0,850
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,70,28,0,0,98
ANDHRA PRADESH,CUDDAPAH,CHENNUR,0,31,0,0,31
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,32,225,0,0,257
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,9,686,23,0,718
ANDHRA PRADESH,CUDDAPAH,CHITVEL,67,742,1,0,810
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,16,143,1,0,160
ANDHRA PRADESH,CUDDAPAH,DUVVUR,2,623,208,0,833
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,104,180,6,0,290
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,90,40,0,0,130
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,17,4,0,0,21
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,4,967,2,0,973
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,28,60,2,0,90
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,11,474,8,0,493
ANDHRA PRADESH,CUDDAPAH,KODUR,1,691,3,0,695
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,59,12,0,0,71
ANDHRA PRADESH,CUDDAPAH,LINGALA,683,18,10,0,711
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,55,547,5,0,607
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,19,29,0,0,48
ANDHRA PRADESH,CUDDAPAH,NANDALUR,94,125,0,0,219
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,22,1181,9,0,1212
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,43,64,0,0,107
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,159,564,11,0,734
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,24,196,35,0,255
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,22,755,0,0,777
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,148,526,4,0,678
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,47,1238,33,0,1318
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,235,649,26,0,910
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,0,177,0,0,177
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,122,35,0,0,157
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,8,183,42,0,233
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,211,73,3,0,287
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,498,103,4,0,605
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,50,175,0,0,225
ANDHRA PRADESH,CUDDAPAH,THANDUR,34,453,2,0,489
ANDHRA PRADESH,CUDDAPAH,VALLUR,62,55,1,0,118
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,63,2,0,65
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,13,57,2,0,72
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,29,87,0,0,116
ANDHRA PRADESH,CUDDAPAH,VEMULA,10,802,2,0,814
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,44,652,4,0,700
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,0,78,0,0,78
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHI,0,11,66,3,80
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,2,48,133,17,200
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,32,350,580,36,998
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,2,3,0,5,10
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,2,64,123,42,231
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,0,0,5,1,6
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,1,0,0,0,1
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,0,1,0,0,1
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,26,408,15,0,449
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,0,2,80,5,87
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,2,23,240,4,269
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,1,1,8,0,10
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,12,21,27,0,60
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),56,197,3,1,257
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,11,213,392,259,875
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,29,135,132,90,386
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,0,2,3,0,5
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,0,8,0,0,8
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,7,84,11,0,102
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,0,43,9,0,52
ANDHRA PRADESH,GUNTUR,DACHEPALLE,2,0,0,0,2
ANDHRA PRADESH,GUNTUR,DURGI,967,1,0,1,969
ANDHRA PRADESH,GUNTUR,MACHERLA,398,51,0,0,449
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,0,1,0,0,1
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,2,0,0,0,2
ANDHRA PRADESH,GUNTUR,VELDURTHI,1011,18,1,1,1031
ANDHRA PRADESH,KARIMNAGAR,KATARAM,4,9,7,6,26
ANDHRA PRADESH,KARIMNAGAR,MAHADEVPUR,0,0,2,30,32
ANDHRA PRADESH,KARIMNAGAR,MALHARRAO,32,1,1,3,37
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,8,3,1,1,13
ANDHRA PRADESH,KARIMNAGAR,MUSTABAD,211,0,0,0,211
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MAHADEVPUR,0,10,7,1,18
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MANTHANI,1,0,0,0,1
ANDHRA PRADESH,KHAMMAM,ASWAPURAM,1,0,0,0,1
ANDHRA PRADESH,KHAMMAM,ASWARAOPETA,102,120,0,0,222
ANDHRA PRADESH,KHAMMAM,CHANDRUGONDA,59,0,0,0,59
ANDHRA PRADESH,KHAMMAM,DAMMAPETA,345,112,1,0,458
ANDHRA PRADESH,KHAMMAM,JULURPAD,53,0,0,0,53
ANDHRA PRADESH,KHAMMAM,KUSUMANCHI,1,0,0,0,1
ANDHRA PRADESH,KHAMMAM,SATHUPALLE,317,0,0,0,317
